Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.50 ,mcc scores: 0.05 ,roc-auc scores: 0.75 ,cohen scores: 0.01 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.02 ,Accuracy: 0.51 ,mcc scores: 0.10 ,roc-auc scores: 0.75 ,cohen scores: 0.02 
Threshold: 0.20 ,Senstivity: 0.99 ,Specificity: 0.07 ,Accuracy: 0.53 ,mcc scores: 0.17 ,roc-auc scores: 0.75 ,cohen scores: 0.06 
Threshold: 0.25 ,Senstivity: 0.98 ,Specificity: 0.13 ,Accuracy: 0.56 ,mcc scores: 0.23 ,roc-auc scores: 0.75 ,cohen scores: 0.12 
Threshold: 0.30 ,Senstivity: 0.95 ,Specificity: 0.20 ,Accuracy: 0.58 ,mcc scores: 0.23 ,roc-auc scores: 0.75 ,cohen scores: 0.15 
Threshold: 0.35 ,Senstivity: 0.91 ,Specificity: 0.31 ,Accuracy: 0.61 ,mcc scores: 0.28 ,roc-auc scores: 0.75 ,cohen scores: 0.22 
Threshold: 0.40 ,Senstivity: 0.86 ,Specificity: 0.40 ,Accuracy: 0.63 ,mcc scores: 0.30 ,roc-auc scores: 0.75 ,cohen scores: 0.26 
Threshold: 0.45 ,Senstivity: 0.76 ,Specificity: 0.54 ,Accuracy: 0.65 ,mcc scores: 0.31 ,roc-auc scores: 0.75 ,cohen scores: 0.30 
Threshold: 0.50 ,Senstivity: 0.70 ,Specificity: 0.66 ,Accuracy: 0.68 ,mcc scores: 0.36 ,roc-auc scores: 0.75 ,cohen scores: 0.36 
Threshold: 0.55 ,Senstivity: 0.53 ,Specificity: 0.80 ,Accuracy: 0.67 ,mcc scores: 0.35 ,roc-auc scores: 0.75 ,cohen scores: 0.34 
Threshold: 0.60 ,Senstivity: 0.39 ,Specificity: 0.87 ,Accuracy: 0.63 ,mcc scores: 0.30 ,roc-auc scores: 0.75 ,cohen scores: 0.26 
Threshold: 0.65 ,Senstivity: 0.30 ,Specificity: 0.95 ,Accuracy: 0.62 ,mcc scores: 0.33 ,roc-auc scores: 0.75 ,cohen scores: 0.25 
Threshold: 0.70 ,Senstivity: 0.22 ,Specificity: 0.97 ,Accuracy: 0.60 ,mcc scores: 0.29 ,roc-auc scores: 0.75 ,cohen scores: 0.19 
Threshold: 0.75 ,Senstivity: 0.19 ,Specificity: 0.98 ,Accuracy: 0.59 ,mcc scores: 0.29 ,roc-auc scores: 0.75 ,cohen scores: 0.18 
Threshold: 0.80 ,Senstivity: 0.15 ,Specificity: 1.00 ,Accuracy: 0.57 ,mcc scores: 0.28 ,roc-auc scores: 0.75 ,cohen scores: 0.15 
Threshold: 0.85 ,Senstivity: 0.12 ,Specificity: 1.00 ,Accuracy: 0.56 ,mcc scores: 0.26 ,roc-auc scores: 0.75 ,cohen scores: 0.12 
Threshold: 0.90 ,Senstivity: 0.08 ,Specificity: 1.00 ,Accuracy: 0.54 ,mcc scores: 0.21 ,roc-auc scores: 0.75 ,cohen scores: 0.08 
Threshold: 0.95 ,Senstivity: 0.07 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.19 ,roc-auc scores: 0.75 ,cohen scores: 0.07 
