Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -1.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -1.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -1.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -1.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -1.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: -1.30 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.49 ,mcc scores: 0.11 ,roc-auc scores: 0.73 ,cohen scores: 0.02 
Threshold: -1.20 ,Senstivity: 0.97 ,Specificity: 0.05 ,Accuracy: 0.49 ,mcc scores: 0.06 ,roc-auc scores: 0.73 ,cohen scores: 0.02 
Threshold: -1.10 ,Senstivity: 0.97 ,Specificity: 0.10 ,Accuracy: 0.52 ,mcc scores: 0.15 ,roc-auc scores: 0.73 ,cohen scores: 0.07 
Threshold: -1.00 ,Senstivity: 0.89 ,Specificity: 0.17 ,Accuracy: 0.52 ,mcc scores: 0.10 ,roc-auc scores: 0.73 ,cohen scores: 0.06 
Threshold: -0.90 ,Senstivity: 0.86 ,Specificity: 0.23 ,Accuracy: 0.53 ,mcc scores: 0.12 ,roc-auc scores: 0.73 ,cohen scores: 0.09 
Threshold: -0.80 ,Senstivity: 0.84 ,Specificity: 0.25 ,Accuracy: 0.53 ,mcc scores: 0.11 ,roc-auc scores: 0.73 ,cohen scores: 0.09 
Threshold: -0.70 ,Senstivity: 0.84 ,Specificity: 0.28 ,Accuracy: 0.55 ,mcc scores: 0.14 ,roc-auc scores: 0.73 ,cohen scores: 0.11 
Threshold: -0.60 ,Senstivity: 0.84 ,Specificity: 0.40 ,Accuracy: 0.61 ,mcc scores: 0.26 ,roc-auc scores: 0.73 ,cohen scores: 0.23 
Threshold: -0.50 ,Senstivity: 0.84 ,Specificity: 0.47 ,Accuracy: 0.65 ,mcc scores: 0.33 ,roc-auc scores: 0.73 ,cohen scores: 0.31 
Threshold: -0.40 ,Senstivity: 0.81 ,Specificity: 0.50 ,Accuracy: 0.65 ,mcc scores: 0.33 ,roc-auc scores: 0.73 ,cohen scores: 0.31 
Threshold: -0.30 ,Senstivity: 0.70 ,Specificity: 0.62 ,Accuracy: 0.66 ,mcc scores: 0.33 ,roc-auc scores: 0.73 ,cohen scores: 0.33 
Threshold: -0.20 ,Senstivity: 0.62 ,Specificity: 0.70 ,Accuracy: 0.66 ,mcc scores: 0.32 ,roc-auc scores: 0.73 ,cohen scores: 0.32 
Threshold: -0.10 ,Senstivity: 0.57 ,Specificity: 0.78 ,Accuracy: 0.68 ,mcc scores: 0.35 ,roc-auc scores: 0.73 ,cohen scores: 0.35 
Threshold: 0.00 ,Senstivity: 0.54 ,Specificity: 0.80 ,Accuracy: 0.68 ,mcc scores: 0.35 ,roc-auc scores: 0.73 ,cohen scores: 0.34 
Threshold: 0.10 ,Senstivity: 0.54 ,Specificity: 0.82 ,Accuracy: 0.69 ,mcc scores: 0.38 ,roc-auc scores: 0.73 ,cohen scores: 0.37 
Threshold: 0.20 ,Senstivity: 0.54 ,Specificity: 0.82 ,Accuracy: 0.69 ,mcc scores: 0.38 ,roc-auc scores: 0.73 ,cohen scores: 0.37 
Threshold: 0.30 ,Senstivity: 0.51 ,Specificity: 0.85 ,Accuracy: 0.69 ,mcc scores: 0.39 ,roc-auc scores: 0.73 ,cohen scores: 0.37 
Threshold: 0.40 ,Senstivity: 0.46 ,Specificity: 0.90 ,Accuracy: 0.69 ,mcc scores: 0.40 ,roc-auc scores: 0.73 ,cohen scores: 0.37 
Threshold: 0.50 ,Senstivity: 0.43 ,Specificity: 0.90 ,Accuracy: 0.68 ,mcc scores: 0.38 ,roc-auc scores: 0.73 ,cohen scores: 0.34 
Threshold: 0.60 ,Senstivity: 0.41 ,Specificity: 0.90 ,Accuracy: 0.66 ,mcc scores: 0.35 ,roc-auc scores: 0.73 ,cohen scores: 0.31 
Threshold: 0.70 ,Senstivity: 0.38 ,Specificity: 0.95 ,Accuracy: 0.68 ,mcc scores: 0.40 ,roc-auc scores: 0.73 ,cohen scores: 0.34 
Threshold: 0.80 ,Senstivity: 0.30 ,Specificity: 0.97 ,Accuracy: 0.65 ,mcc scores: 0.38 ,roc-auc scores: 0.73 ,cohen scores: 0.28 
Threshold: 0.90 ,Senstivity: 0.24 ,Specificity: 0.97 ,Accuracy: 0.62 ,mcc scores: 0.32 ,roc-auc scores: 0.73 ,cohen scores: 0.22 
Threshold: 1.00 ,Senstivity: 0.16 ,Specificity: 0.97 ,Accuracy: 0.58 ,mcc scores: 0.24 ,roc-auc scores: 0.73 ,cohen scores: 0.14 
Threshold: 1.10 ,Senstivity: 0.11 ,Specificity: 0.97 ,Accuracy: 0.56 ,mcc scores: 0.17 ,roc-auc scores: 0.73 ,cohen scores: 0.09 
Threshold: 1.20 ,Senstivity: 0.08 ,Specificity: 0.97 ,Accuracy: 0.55 ,mcc scores: 0.13 ,roc-auc scores: 0.73 ,cohen scores: 0.06 
Threshold: 1.30 ,Senstivity: 0.08 ,Specificity: 0.97 ,Accuracy: 0.55 ,mcc scores: 0.13 ,roc-auc scores: 0.73 ,cohen scores: 0.06 
Threshold: 1.40 ,Senstivity: 0.08 ,Specificity: 1.00 ,Accuracy: 0.56 ,mcc scores: 0.21 ,roc-auc scores: 0.73 ,cohen scores: 0.08 
Threshold: 1.50 ,Senstivity: 0.08 ,Specificity: 1.00 ,Accuracy: 0.56 ,mcc scores: 0.21 ,roc-auc scores: 0.73 ,cohen scores: 0.08 
Threshold: 1.60 ,Senstivity: 0.08 ,Specificity: 1.00 ,Accuracy: 0.56 ,mcc scores: 0.21 ,roc-auc scores: 0.73 ,cohen scores: 0.08 
Threshold: 1.70 ,Senstivity: 0.08 ,Specificity: 1.00 ,Accuracy: 0.56 ,mcc scores: 0.21 ,roc-auc scores: 0.73 ,cohen scores: 0.08 
Threshold: 1.80 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: 1.90 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: 2.00 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: 2.10 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: 2.20 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: 2.30 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: 2.40 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: 2.50 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: 2.60 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: 2.70 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: 2.80 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: 2.90 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
