Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
Threshold: 0.20 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.51 ,mcc scores: 0.05 ,roc-auc scores: 0.74 ,cohen scores: 0.01 
Threshold: 0.25 ,Senstivity: 1.00 ,Specificity: 0.02 ,Accuracy: 0.51 ,mcc scores: 0.09 ,roc-auc scores: 0.74 ,cohen scores: 0.02 
Threshold: 0.30 ,Senstivity: 0.98 ,Specificity: 0.09 ,Accuracy: 0.54 ,mcc scores: 0.17 ,roc-auc scores: 0.74 ,cohen scores: 0.08 
Threshold: 0.35 ,Senstivity: 0.95 ,Specificity: 0.22 ,Accuracy: 0.59 ,mcc scores: 0.24 ,roc-auc scores: 0.74 ,cohen scores: 0.17 
Threshold: 0.40 ,Senstivity: 0.88 ,Specificity: 0.34 ,Accuracy: 0.61 ,mcc scores: 0.26 ,roc-auc scores: 0.74 ,cohen scores: 0.22 
Threshold: 0.45 ,Senstivity: 0.74 ,Specificity: 0.52 ,Accuracy: 0.63 ,mcc scores: 0.27 ,roc-auc scores: 0.74 ,cohen scores: 0.27 
Threshold: 0.50 ,Senstivity: 0.64 ,Specificity: 0.71 ,Accuracy: 0.67 ,mcc scores: 0.35 ,roc-auc scores: 0.74 ,cohen scores: 0.35 
Threshold: 0.55 ,Senstivity: 0.50 ,Specificity: 0.87 ,Accuracy: 0.68 ,mcc scores: 0.40 ,roc-auc scores: 0.74 ,cohen scores: 0.37 
Threshold: 0.60 ,Senstivity: 0.41 ,Specificity: 0.93 ,Accuracy: 0.66 ,mcc scores: 0.39 ,roc-auc scores: 0.74 ,cohen scores: 0.33 
Threshold: 0.65 ,Senstivity: 0.32 ,Specificity: 0.96 ,Accuracy: 0.63 ,mcc scores: 0.36 ,roc-auc scores: 0.74 ,cohen scores: 0.28 
Threshold: 0.70 ,Senstivity: 0.25 ,Specificity: 0.99 ,Accuracy: 0.62 ,mcc scores: 0.36 ,roc-auc scores: 0.74 ,cohen scores: 0.24 
Threshold: 0.75 ,Senstivity: 0.17 ,Specificity: 1.00 ,Accuracy: 0.58 ,mcc scores: 0.30 ,roc-auc scores: 0.74 ,cohen scores: 0.17 
Threshold: 0.80 ,Senstivity: 0.09 ,Specificity: 1.00 ,Accuracy: 0.54 ,mcc scores: 0.22 ,roc-auc scores: 0.74 ,cohen scores: 0.09 
Threshold: 0.85 ,Senstivity: 0.05 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.15 ,roc-auc scores: 0.74 ,cohen scores: 0.05 
Threshold: 0.90 ,Senstivity: 0.03 ,Specificity: 1.00 ,Accuracy: 0.51 ,mcc scores: 0.11 ,roc-auc scores: 0.74 ,cohen scores: 0.03 
Threshold: 0.95 ,Senstivity: 0.01 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.05 ,roc-auc scores: 0.74 ,cohen scores: 0.01 
