Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.51 ,mcc scores: 0.05 ,roc-auc scores: 0.73 ,cohen scores: 0.01 
Threshold: 0.15 ,Senstivity: 0.99 ,Specificity: 0.06 ,Accuracy: 0.53 ,mcc scores: 0.14 ,roc-auc scores: 0.73 ,cohen scores: 0.06 
Threshold: 0.20 ,Senstivity: 0.95 ,Specificity: 0.13 ,Accuracy: 0.55 ,mcc scores: 0.15 ,roc-auc scores: 0.73 ,cohen scores: 0.08 
Threshold: 0.25 ,Senstivity: 0.92 ,Specificity: 0.28 ,Accuracy: 0.60 ,mcc scores: 0.25 ,roc-auc scores: 0.73 ,cohen scores: 0.19 
Threshold: 0.30 ,Senstivity: 0.88 ,Specificity: 0.33 ,Accuracy: 0.61 ,mcc scores: 0.25 ,roc-auc scores: 0.73 ,cohen scores: 0.21 
Threshold: 0.35 ,Senstivity: 0.83 ,Specificity: 0.41 ,Accuracy: 0.62 ,mcc scores: 0.26 ,roc-auc scores: 0.73 ,cohen scores: 0.24 
Threshold: 0.40 ,Senstivity: 0.76 ,Specificity: 0.50 ,Accuracy: 0.63 ,mcc scores: 0.27 ,roc-auc scores: 0.73 ,cohen scores: 0.26 
Threshold: 0.45 ,Senstivity: 0.71 ,Specificity: 0.58 ,Accuracy: 0.65 ,mcc scores: 0.30 ,roc-auc scores: 0.73 ,cohen scores: 0.29 
Threshold: 0.50 ,Senstivity: 0.66 ,Specificity: 0.65 ,Accuracy: 0.66 ,mcc scores: 0.31 ,roc-auc scores: 0.73 ,cohen scores: 0.31 
Threshold: 0.55 ,Senstivity: 0.61 ,Specificity: 0.74 ,Accuracy: 0.67 ,mcc scores: 0.35 ,roc-auc scores: 0.73 ,cohen scores: 0.35 
Threshold: 0.60 ,Senstivity: 0.56 ,Specificity: 0.78 ,Accuracy: 0.67 ,mcc scores: 0.36 ,roc-auc scores: 0.73 ,cohen scores: 0.35 
Threshold: 0.65 ,Senstivity: 0.47 ,Specificity: 0.86 ,Accuracy: 0.66 ,mcc scores: 0.36 ,roc-auc scores: 0.73 ,cohen scores: 0.33 
Threshold: 0.70 ,Senstivity: 0.38 ,Specificity: 0.91 ,Accuracy: 0.64 ,mcc scores: 0.35 ,roc-auc scores: 0.73 ,cohen scores: 0.29 
Threshold: 0.75 ,Senstivity: 0.27 ,Specificity: 0.95 ,Accuracy: 0.61 ,mcc scores: 0.30 ,roc-auc scores: 0.73 ,cohen scores: 0.22 
Threshold: 0.80 ,Senstivity: 0.19 ,Specificity: 0.99 ,Accuracy: 0.58 ,mcc scores: 0.30 ,roc-auc scores: 0.73 ,cohen scores: 0.18 
Threshold: 0.85 ,Senstivity: 0.12 ,Specificity: 0.99 ,Accuracy: 0.55 ,mcc scores: 0.24 ,roc-auc scores: 0.73 ,cohen scores: 0.11 
Threshold: 0.90 ,Senstivity: 0.04 ,Specificity: 1.00 ,Accuracy: 0.51 ,mcc scores: 0.14 ,roc-auc scores: 0.73 ,cohen scores: 0.04 
Threshold: 0.95 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
