Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.77 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.77 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.77 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.77 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.77 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.77 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.77 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.77 ,cohen scores: 0.00 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.77 ,cohen scores: 0.00 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.77 ,cohen scores: 0.00 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.77 ,cohen scores: 0.00 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.77 ,cohen scores: 0.00 
Threshold: -1.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.77 ,cohen scores: 0.00 
Threshold: -1.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.77 ,cohen scores: 0.00 
Threshold: -1.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.77 ,cohen scores: 0.00 
Threshold: -1.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.77 ,cohen scores: 0.00 
Threshold: -1.40 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.51 ,mcc scores: 0.05 ,roc-auc scores: 0.77 ,cohen scores: 0.01 
Threshold: -1.30 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.51 ,mcc scores: 0.05 ,roc-auc scores: 0.77 ,cohen scores: 0.01 
Threshold: -1.20 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.51 ,mcc scores: 0.07 ,roc-auc scores: 0.77 ,cohen scores: 0.01 
Threshold: -1.10 ,Senstivity: 1.00 ,Specificity: 0.02 ,Accuracy: 0.51 ,mcc scores: 0.09 ,roc-auc scores: 0.77 ,cohen scores: 0.02 
Threshold: -1.00 ,Senstivity: 1.00 ,Specificity: 0.02 ,Accuracy: 0.51 ,mcc scores: 0.09 ,roc-auc scores: 0.77 ,cohen scores: 0.02 
Threshold: -0.90 ,Senstivity: 1.00 ,Specificity: 0.04 ,Accuracy: 0.53 ,mcc scores: 0.14 ,roc-auc scores: 0.77 ,cohen scores: 0.04 
Threshold: -0.80 ,Senstivity: 0.99 ,Specificity: 0.09 ,Accuracy: 0.54 ,mcc scores: 0.18 ,roc-auc scores: 0.77 ,cohen scores: 0.08 
Threshold: -0.70 ,Senstivity: 0.97 ,Specificity: 0.14 ,Accuracy: 0.56 ,mcc scores: 0.19 ,roc-auc scores: 0.77 ,cohen scores: 0.10 
Threshold: -0.60 ,Senstivity: 0.94 ,Specificity: 0.20 ,Accuracy: 0.57 ,mcc scores: 0.20 ,roc-auc scores: 0.77 ,cohen scores: 0.14 
Threshold: -0.50 ,Senstivity: 0.93 ,Specificity: 0.26 ,Accuracy: 0.60 ,mcc scores: 0.26 ,roc-auc scores: 0.77 ,cohen scores: 0.20 
Threshold: -0.40 ,Senstivity: 0.90 ,Specificity: 0.35 ,Accuracy: 0.63 ,mcc scores: 0.30 ,roc-auc scores: 0.77 ,cohen scores: 0.25 
Threshold: -0.30 ,Senstivity: 0.85 ,Specificity: 0.44 ,Accuracy: 0.65 ,mcc scores: 0.32 ,roc-auc scores: 0.77 ,cohen scores: 0.29 
Threshold: -0.20 ,Senstivity: 0.82 ,Specificity: 0.48 ,Accuracy: 0.65 ,mcc scores: 0.32 ,roc-auc scores: 0.77 ,cohen scores: 0.30 
Threshold: -0.10 ,Senstivity: 0.77 ,Specificity: 0.58 ,Accuracy: 0.68 ,mcc scores: 0.36 ,roc-auc scores: 0.77 ,cohen scores: 0.35 
Threshold: 0.00 ,Senstivity: 0.72 ,Specificity: 0.68 ,Accuracy: 0.70 ,mcc scores: 0.40 ,roc-auc scores: 0.77 ,cohen scores: 0.40 
Threshold: 0.10 ,Senstivity: 0.64 ,Specificity: 0.75 ,Accuracy: 0.69 ,mcc scores: 0.39 ,roc-auc scores: 0.77 ,cohen scores: 0.39 
Threshold: 0.20 ,Senstivity: 0.56 ,Specificity: 0.84 ,Accuracy: 0.70 ,mcc scores: 0.42 ,roc-auc scores: 0.77 ,cohen scores: 0.40 
Threshold: 0.30 ,Senstivity: 0.49 ,Specificity: 0.88 ,Accuracy: 0.69 ,mcc scores: 0.41 ,roc-auc scores: 0.77 ,cohen scores: 0.37 
Threshold: 0.40 ,Senstivity: 0.41 ,Specificity: 0.92 ,Accuracy: 0.66 ,mcc scores: 0.38 ,roc-auc scores: 0.77 ,cohen scores: 0.33 
Threshold: 0.50 ,Senstivity: 0.31 ,Specificity: 0.96 ,Accuracy: 0.63 ,mcc scores: 0.35 ,roc-auc scores: 0.77 ,cohen scores: 0.26 
Threshold: 0.60 ,Senstivity: 0.24 ,Specificity: 0.97 ,Accuracy: 0.60 ,mcc scores: 0.31 ,roc-auc scores: 0.77 ,cohen scores: 0.21 
Threshold: 0.70 ,Senstivity: 0.15 ,Specificity: 0.99 ,Accuracy: 0.57 ,mcc scores: 0.26 ,roc-auc scores: 0.77 ,cohen scores: 0.14 
Threshold: 0.80 ,Senstivity: 0.11 ,Specificity: 0.99 ,Accuracy: 0.54 ,mcc scores: 0.22 ,roc-auc scores: 0.77 ,cohen scores: 0.10 
Threshold: 0.90 ,Senstivity: 0.08 ,Specificity: 1.00 ,Accuracy: 0.54 ,mcc scores: 0.21 ,roc-auc scores: 0.77 ,cohen scores: 0.08 
Threshold: 1.00 ,Senstivity: 0.06 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.18 ,roc-auc scores: 0.77 ,cohen scores: 0.06 
Threshold: 1.10 ,Senstivity: 0.03 ,Specificity: 1.00 ,Accuracy: 0.51 ,mcc scores: 0.13 ,roc-auc scores: 0.77 ,cohen scores: 0.03 
Threshold: 1.20 ,Senstivity: 0.02 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.09 ,roc-auc scores: 0.77 ,cohen scores: 0.02 
Threshold: 1.30 ,Senstivity: 0.01 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.05 ,roc-auc scores: 0.77 ,cohen scores: 0.01 
Threshold: 1.40 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.77 ,cohen scores: 0.00 
Threshold: 1.50 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.77 ,cohen scores: 0.00 
Threshold: 1.60 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.77 ,cohen scores: 0.00 
Threshold: 1.70 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.77 ,cohen scores: 0.00 
Threshold: 1.80 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.77 ,cohen scores: 0.00 
Threshold: 1.90 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.77 ,cohen scores: 0.00 
Threshold: 2.00 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.77 ,cohen scores: 0.00 
Threshold: 2.10 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.77 ,cohen scores: 0.00 
Threshold: 2.20 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.77 ,cohen scores: 0.00 
