extra_trees_bin_nc15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.47,0.00,0.74,0.00
0.05,1.00,0.00,0.47,0.00,0.74,0.00
0.10,1.00,0.00,0.47,0.00,0.74,0.00
0.15,1.00,0.00,0.47,0.00,0.74,0.00
0.20,1.00,0.01,0.48,0.08,0.74,0.01
0.25,0.99,0.06,0.50,0.11,0.74,0.04
0.30,0.97,0.17,0.55,0.23,0.74,0.14
0.35,0.91,0.31,0.59,0.27,0.74,0.21
0.40,0.80,0.53,0.66,0.34,0.74,0.33
0.45,0.59,0.72,0.66,0.31,0.74,0.31
0.50,0.47,0.85,0.67,0.35,0.74,0.32
0.55,0.35,0.94,0.66,0.36,0.74,0.30
0.60,0.33,0.99,0.68,0.43,0.74,0.33
0.65,0.25,0.99,0.64,0.37,0.74,0.25
0.70,0.18,1.00,0.61,0.32,0.74,0.19
0.75,0.15,1.00,0.60,0.30,0.74,0.16
0.80,0.10,1.00,0.57,0.23,0.74,0.10
0.85,0.06,1.00,0.55,0.17,0.74,0.06
0.90,0.01,1.00,0.53,0.06,0.74,0.01
0.95,0.00,1.00,0.53,0.00,0.74,0.00

extra_trees_kfold_bin_nc15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.45,0.00,0.74,0.00
0.05,1.00,0.00,0.45,0.00,0.73,0.00
0.10,1.00,0.00,0.45,0.00,0.84,0.00
0.15,1.00,0.00,0.45,0.00,0.71,0.00
0.20,1.00,0.00,0.45,0.00,0.74,0.00
0.25,1.00,0.00,0.45,0.00,0.69,0.00
0.30,1.00,0.03,0.47,0.12,0.80,0.03
0.35,0.93,0.06,0.45,-0.03,0.74,-0.01
0.40,0.89,0.24,0.53,0.17,0.77,0.12
0.45,0.85,0.52,0.67,0.38,0.77,0.35
0.50,0.74,0.76,0.75,0.50,0.76,0.50
0.55,0.52,0.88,0.72,0.43,0.77,0.41
0.60,0.33,0.97,0.68,0.40,0.72,0.32
0.65,0.19,1.00,0.63,0.33,0.80,0.20
0.70,0.15,1.00,0.62,0.30,0.74,0.16
0.75,0.11,1.00,0.60,0.25,0.78,0.12
0.80,0.00,1.00,0.55,0.00,0.74,0.00
0.85,0.00,1.00,0.55,0.00,0.76,0.00
0.90,0.00,1.00,0.55,0.00,0.77,0.00
0.95,0.00,1.00,0.55,0.00,0.71,0.00

knn_bin_nc15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.47,0.00,0.72,0.00
0.05,0.88,0.31,0.58,0.24,0.72,0.19
0.10,0.88,0.31,0.58,0.24,0.72,0.19
0.15,0.88,0.31,0.58,0.24,0.72,0.19
0.20,0.88,0.31,0.58,0.24,0.72,0.19
0.25,0.88,0.31,0.58,0.24,0.72,0.19
0.30,0.88,0.31,0.58,0.24,0.72,0.19
0.35,0.73,0.60,0.66,0.33,0.72,0.33
0.40,0.73,0.60,0.66,0.33,0.72,0.33
0.45,0.73,0.60,0.66,0.33,0.72,0.33
0.50,0.73,0.60,0.66,0.33,0.72,0.33
0.55,0.73,0.60,0.66,0.33,0.72,0.33
0.60,0.73,0.60,0.66,0.33,0.72,0.33
0.65,0.73,0.60,0.66,0.33,0.72,0.33
0.70,0.48,0.87,0.69,0.39,0.72,0.36
0.75,0.48,0.87,0.69,0.39,0.72,0.36
0.80,0.48,0.87,0.69,0.39,0.72,0.36
0.85,0.48,0.87,0.69,0.39,0.72,0.36
0.90,0.48,0.87,0.69,0.39,0.72,0.36
0.95,0.48,0.87,0.69,0.39,0.72,0.36

knn_kfold_bin_nc15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.45,0.00,0.71,0.00
0.05,0.93,0.21,0.53,0.19,0.71,0.13
0.10,0.93,0.21,0.53,0.19,0.71,0.13
0.15,0.93,0.21,0.53,0.19,0.71,0.13
0.20,0.93,0.21,0.53,0.19,0.71,0.13
0.25,0.93,0.21,0.53,0.19,0.71,0.13
0.30,0.93,0.21,0.53,0.19,0.71,0.13
0.35,0.70,0.58,0.63,0.28,0.71,0.27
0.40,0.70,0.58,0.63,0.28,0.71,0.27
0.45,0.70,0.58,0.63,0.28,0.71,0.27
0.50,0.70,0.58,0.63,0.28,0.71,0.27
0.55,0.70,0.58,0.63,0.28,0.71,0.27
0.60,0.70,0.58,0.63,0.28,0.71,0.27
0.65,0.70,0.58,0.63,0.28,0.71,0.27
0.70,0.56,0.85,0.72,0.43,0.71,0.41
0.75,0.56,0.85,0.72,0.43,0.71,0.41
0.80,0.56,0.85,0.72,0.43,0.71,0.41
0.85,0.56,0.85,0.72,0.43,0.71,0.41
0.90,0.56,0.85,0.72,0.43,0.71,0.41
0.95,0.56,0.85,0.72,0.43,0.71,0.41

mlp_bin_nc15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.47,0.00,0.74,0.00
0.05,1.00,0.00,0.47,0.00,0.74,0.00
0.10,0.99,0.07,0.51,0.16,0.74,0.06
0.15,0.97,0.15,0.54,0.21,0.74,0.12
0.20,0.92,0.28,0.58,0.25,0.74,0.19
0.25,0.90,0.37,0.62,0.31,0.74,0.26
0.30,0.83,0.48,0.65,0.33,0.74,0.31
0.35,0.79,0.54,0.66,0.34,0.74,0.33
0.40,0.73,0.60,0.66,0.33,0.74,0.32
0.45,0.66,0.64,0.65,0.29,0.74,0.29
0.50,0.58,0.75,0.67,0.34,0.74,0.34
0.55,0.51,0.81,0.67,0.33,0.74,0.32
0.60,0.47,0.84,0.67,0.34,0.74,0.32
0.65,0.43,0.87,0.66,0.34,0.74,0.31
0.70,0.36,0.89,0.64,0.30,0.74,0.26
0.75,0.30,0.95,0.64,0.33,0.74,0.26
0.80,0.22,0.97,0.62,0.29,0.74,0.20
0.85,0.11,0.99,0.57,0.21,0.74,0.10
0.90,0.05,1.00,0.55,0.16,0.74,0.05
0.95,0.00,1.00,0.53,0.00,0.74,0.00

mlp_kfold_bin_nc15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.45,0.00,0.71,0.00
0.05,1.00,0.00,0.45,0.00,0.67,0.00
0.10,1.00,0.00,0.45,0.00,0.65,0.00
0.15,1.00,0.00,0.45,0.00,0.67,0.00
0.20,1.00,0.00,0.45,0.00,0.69,0.00
0.25,1.00,0.00,0.45,0.00,0.55,0.00
0.30,0.93,0.09,0.47,0.03,0.63,0.02
0.35,0.85,0.30,0.55,0.18,0.68,0.15
0.40,0.81,0.45,0.62,0.28,0.67,0.26
0.45,0.67,0.55,0.60,0.21,0.65,0.21
0.50,0.67,0.61,0.63,0.27,0.73,0.27
0.55,0.52,0.76,0.65,0.29,0.67,0.28
0.60,0.15,1.00,0.62,0.30,0.56,0.16
0.65,0.33,0.85,0.62,0.21,0.73,0.19
0.70,0.07,0.97,0.57,0.10,0.62,0.05
0.75,0.00,1.00,0.55,0.00,0.63,0.00
0.80,0.00,1.00,0.55,0.00,0.70,0.00
0.85,0.00,1.00,0.55,0.00,0.73,0.00
0.90,0.00,1.00,0.55,0.00,0.70,0.00
0.95,0.00,1.00,0.55,0.00,0.59,0.00

rf_bin_nc15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.47,0.00,0.73,0.00
0.05,1.00,0.00,0.47,0.00,0.73,0.00
0.10,1.00,0.00,0.47,0.00,0.73,0.00
0.15,1.00,0.00,0.47,0.00,0.73,0.00
0.20,1.00,0.00,0.47,0.00,0.73,0.00
0.25,1.00,0.01,0.48,0.08,0.73,0.01
0.30,0.99,0.07,0.51,0.16,0.73,0.06
0.35,0.97,0.19,0.56,0.25,0.73,0.15
0.40,0.85,0.40,0.61,0.28,0.73,0.24
0.45,0.63,0.66,0.65,0.29,0.73,0.29
0.50,0.46,0.86,0.67,0.36,0.73,0.33
0.55,0.29,0.97,0.65,0.36,0.73,0.27
0.60,0.17,0.99,0.61,0.30,0.73,0.18
0.65,0.08,1.00,0.57,0.21,0.73,0.09
0.70,0.02,1.00,0.54,0.11,0.73,0.02
0.75,0.00,1.00,0.53,0.00,0.73,0.00
0.80,0.00,1.00,0.53,0.00,0.73,0.00
0.85,0.00,1.00,0.53,0.00,0.73,0.00
0.90,0.00,1.00,0.53,0.00,0.73,0.00
0.95,0.00,1.00,0.53,0.00,0.73,0.00

rf_kfold_bin_nc15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.45,0.00,0.65,0.00
0.05,1.00,0.00,0.45,0.00,0.70,0.00
0.10,1.00,0.00,0.45,0.00,0.72,0.00
0.15,1.00,0.00,0.45,0.00,0.70,0.00
0.20,1.00,0.00,0.45,0.00,0.77,0.00
0.25,1.00,0.00,0.45,0.00,0.69,0.00
0.30,1.00,0.00,0.45,0.00,0.64,0.00
0.35,1.00,0.09,0.50,0.21,0.69,0.08
0.40,1.00,0.24,0.58,0.35,0.73,0.22
0.45,0.78,0.48,0.62,0.27,0.70,0.25
0.50,0.67,0.88,0.78,0.56,0.78,0.55
0.55,0.33,0.82,0.60,0.17,0.72,0.16
0.60,0.15,0.97,0.60,0.21,0.72,0.13
0.65,0.04,0.97,0.55,0.02,0.80,0.01
0.70,0.00,1.00,0.55,0.00,0.68,0.00
0.75,0.00,1.00,0.55,0.00,0.82,0.00
0.80,0.00,1.00,0.55,0.00,0.78,0.00
0.85,0.00,1.00,0.55,0.00,0.68,0.00
0.90,0.00,1.00,0.55,0.00,0.68,0.00
0.95,0.00,1.00,0.55,0.00,0.74,0.00

ridge_bin_nc15.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.00,0.47,0.00,0.76,0.00
-2.90,1.00,0.00,0.47,0.00,0.76,0.00
-2.80,1.00,0.00,0.47,0.00,0.76,0.00
-2.70,1.00,0.00,0.47,0.00,0.76,0.00
-2.60,1.00,0.00,0.47,0.00,0.76,0.00
-2.50,1.00,0.00,0.47,0.00,0.76,0.00
-2.40,1.00,0.00,0.47,0.00,0.76,0.00
-2.30,1.00,0.00,0.47,0.00,0.76,0.00
-2.20,1.00,0.00,0.47,0.00,0.76,0.00
-2.10,1.00,0.00,0.47,0.00,0.76,0.00
-2.00,1.00,0.00,0.47,0.00,0.76,0.00
-1.90,1.00,0.00,0.47,0.00,0.76,0.00
-1.80,1.00,0.00,0.47,0.00,0.76,0.00
-1.70,1.00,0.00,0.47,0.00,0.76,0.00
-1.60,1.00,0.00,0.47,0.00,0.76,0.00
-1.50,1.00,0.00,0.47,0.00,0.76,0.00
-1.40,1.00,0.00,0.47,0.00,0.76,0.00
-1.30,1.00,0.00,0.47,0.00,0.76,0.00
-1.20,1.00,0.00,0.47,0.00,0.76,0.00
-1.10,1.00,0.01,0.48,0.05,0.76,0.01
-1.00,0.99,0.03,0.48,0.07,0.76,0.02
-0.90,0.99,0.05,0.49,0.10,0.76,0.03
-0.80,0.97,0.10,0.51,0.15,0.76,0.07
-0.70,0.97,0.16,0.54,0.20,0.76,0.12
-0.60,0.94,0.21,0.56,0.23,0.76,0.15
-0.50,0.91,0.31,0.59,0.27,0.76,0.21
-0.40,0.85,0.41,0.62,0.28,0.76,0.25
-0.30,0.82,0.52,0.66,0.35,0.76,0.33
-0.20,0.76,0.60,0.68,0.37,0.76,0.36
-0.10,0.72,0.69,0.71,0.41,0.76,0.41
0.00,0.59,0.76,0.68,0.36,0.76,0.36
0.10,0.51,0.81,0.67,0.33,0.76,0.32
0.20,0.48,0.89,0.70,0.41,0.76,0.38
0.30,0.41,0.94,0.69,0.42,0.76,0.36
0.40,0.34,0.97,0.67,0.40,0.76,0.31
0.50,0.29,0.98,0.65,0.38,0.76,0.28
0.60,0.22,0.99,0.63,0.34,0.76,0.22
0.70,0.13,0.99,0.58,0.25,0.76,0.13
0.80,0.08,0.99,0.56,0.18,0.76,0.07
0.90,0.05,1.00,0.55,0.16,0.76,0.05
1.00,0.03,1.00,0.54,0.14,0.76,0.04
1.10,0.03,1.00,0.54,0.14,0.76,0.04
1.20,0.02,1.00,0.54,0.11,0.76,0.02
1.30,0.01,1.00,0.53,0.09,0.76,0.01
1.40,0.01,1.00,0.53,0.06,0.76,0.01
