Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: 0.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: 0.25 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.48 ,mcc scores: 0.08 ,roc-auc scores: 0.73 ,cohen scores: 0.01 
Threshold: 0.30 ,Senstivity: 0.99 ,Specificity: 0.07 ,Accuracy: 0.51 ,mcc scores: 0.16 ,roc-auc scores: 0.73 ,cohen scores: 0.06 
Threshold: 0.35 ,Senstivity: 0.97 ,Specificity: 0.19 ,Accuracy: 0.56 ,mcc scores: 0.25 ,roc-auc scores: 0.73 ,cohen scores: 0.15 
Threshold: 0.40 ,Senstivity: 0.85 ,Specificity: 0.40 ,Accuracy: 0.61 ,mcc scores: 0.28 ,roc-auc scores: 0.73 ,cohen scores: 0.24 
Threshold: 0.45 ,Senstivity: 0.63 ,Specificity: 0.66 ,Accuracy: 0.65 ,mcc scores: 0.29 ,roc-auc scores: 0.73 ,cohen scores: 0.29 
Threshold: 0.50 ,Senstivity: 0.46 ,Specificity: 0.86 ,Accuracy: 0.67 ,mcc scores: 0.36 ,roc-auc scores: 0.73 ,cohen scores: 0.33 
Threshold: 0.55 ,Senstivity: 0.29 ,Specificity: 0.97 ,Accuracy: 0.65 ,mcc scores: 0.36 ,roc-auc scores: 0.73 ,cohen scores: 0.27 
Threshold: 0.60 ,Senstivity: 0.17 ,Specificity: 0.99 ,Accuracy: 0.61 ,mcc scores: 0.30 ,roc-auc scores: 0.73 ,cohen scores: 0.18 
Threshold: 0.65 ,Senstivity: 0.08 ,Specificity: 1.00 ,Accuracy: 0.57 ,mcc scores: 0.21 ,roc-auc scores: 0.73 ,cohen scores: 0.09 
Threshold: 0.70 ,Senstivity: 0.02 ,Specificity: 1.00 ,Accuracy: 0.54 ,mcc scores: 0.11 ,roc-auc scores: 0.73 ,cohen scores: 0.02 
Threshold: 0.75 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: 0.80 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: 0.85 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: 0.90 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
Threshold: 0.95 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.73 ,cohen scores: 0.00 
