Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.45 ,mcc scores: 0.00 ,roc-auc scores: 0.65 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.45 ,mcc scores: 0.00 ,roc-auc scores: 0.70 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.45 ,mcc scores: 0.00 ,roc-auc scores: 0.72 ,cohen scores: 0.00 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.45 ,mcc scores: 0.00 ,roc-auc scores: 0.70 ,cohen scores: 0.00 
Threshold: 0.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.45 ,mcc scores: 0.00 ,roc-auc scores: 0.77 ,cohen scores: 0.00 
Threshold: 0.25 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.45 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 0.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.45 ,mcc scores: 0.00 ,roc-auc scores: 0.64 ,cohen scores: 0.00 
Threshold: 0.35 ,Senstivity: 1.00 ,Specificity: 0.09 ,Accuracy: 0.50 ,mcc scores: 0.21 ,roc-auc scores: 0.69 ,cohen scores: 0.08 
Threshold: 0.40 ,Senstivity: 1.00 ,Specificity: 0.24 ,Accuracy: 0.58 ,mcc scores: 0.35 ,roc-auc scores: 0.73 ,cohen scores: 0.22 
Threshold: 0.45 ,Senstivity: 0.78 ,Specificity: 0.48 ,Accuracy: 0.62 ,mcc scores: 0.27 ,roc-auc scores: 0.70 ,cohen scores: 0.25 
Threshold: 0.50 ,Senstivity: 0.67 ,Specificity: 0.88 ,Accuracy: 0.78 ,mcc scores: 0.56 ,roc-auc scores: 0.78 ,cohen scores: 0.55 
Threshold: 0.55 ,Senstivity: 0.33 ,Specificity: 0.82 ,Accuracy: 0.60 ,mcc scores: 0.17 ,roc-auc scores: 0.72 ,cohen scores: 0.16 
Threshold: 0.60 ,Senstivity: 0.15 ,Specificity: 0.97 ,Accuracy: 0.60 ,mcc scores: 0.21 ,roc-auc scores: 0.72 ,cohen scores: 0.13 
Threshold: 0.65 ,Senstivity: 0.04 ,Specificity: 0.97 ,Accuracy: 0.55 ,mcc scores: 0.02 ,roc-auc scores: 0.80 ,cohen scores: 0.01 
Threshold: 0.70 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.55 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
Threshold: 0.75 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.55 ,mcc scores: 0.00 ,roc-auc scores: 0.82 ,cohen scores: 0.00 
Threshold: 0.80 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.55 ,mcc scores: 0.00 ,roc-auc scores: 0.78 ,cohen scores: 0.00 
Threshold: 0.85 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.55 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
Threshold: 0.90 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.55 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
Threshold: 0.95 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.55 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
