Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.72 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 0.98 ,Specificity: 0.13 ,Accuracy: 0.56 ,mcc scores: 0.23 ,roc-auc scores: 0.72 ,cohen scores: 0.12 
Threshold: 0.10 ,Senstivity: 0.98 ,Specificity: 0.13 ,Accuracy: 0.56 ,mcc scores: 0.23 ,roc-auc scores: 0.72 ,cohen scores: 0.12 
Threshold: 0.15 ,Senstivity: 0.98 ,Specificity: 0.13 ,Accuracy: 0.56 ,mcc scores: 0.23 ,roc-auc scores: 0.72 ,cohen scores: 0.12 
Threshold: 0.20 ,Senstivity: 0.98 ,Specificity: 0.13 ,Accuracy: 0.56 ,mcc scores: 0.23 ,roc-auc scores: 0.72 ,cohen scores: 0.12 
Threshold: 0.25 ,Senstivity: 0.92 ,Specificity: 0.27 ,Accuracy: 0.59 ,mcc scores: 0.24 ,roc-auc scores: 0.72 ,cohen scores: 0.19 
Threshold: 0.30 ,Senstivity: 0.92 ,Specificity: 0.27 ,Accuracy: 0.59 ,mcc scores: 0.24 ,roc-auc scores: 0.72 ,cohen scores: 0.19 
Threshold: 0.35 ,Senstivity: 0.92 ,Specificity: 0.27 ,Accuracy: 0.59 ,mcc scores: 0.24 ,roc-auc scores: 0.72 ,cohen scores: 0.19 
Threshold: 0.40 ,Senstivity: 0.92 ,Specificity: 0.27 ,Accuracy: 0.59 ,mcc scores: 0.24 ,roc-auc scores: 0.72 ,cohen scores: 0.19 
Threshold: 0.45 ,Senstivity: 0.82 ,Specificity: 0.51 ,Accuracy: 0.67 ,mcc scores: 0.35 ,roc-auc scores: 0.72 ,cohen scores: 0.33 
Threshold: 0.50 ,Senstivity: 0.82 ,Specificity: 0.51 ,Accuracy: 0.67 ,mcc scores: 0.35 ,roc-auc scores: 0.72 ,cohen scores: 0.33 
Threshold: 0.55 ,Senstivity: 0.82 ,Specificity: 0.51 ,Accuracy: 0.67 ,mcc scores: 0.35 ,roc-auc scores: 0.72 ,cohen scores: 0.33 
Threshold: 0.60 ,Senstivity: 0.64 ,Specificity: 0.69 ,Accuracy: 0.66 ,mcc scores: 0.33 ,roc-auc scores: 0.72 ,cohen scores: 0.33 
Threshold: 0.65 ,Senstivity: 0.64 ,Specificity: 0.69 ,Accuracy: 0.66 ,mcc scores: 0.33 ,roc-auc scores: 0.72 ,cohen scores: 0.33 
Threshold: 0.70 ,Senstivity: 0.64 ,Specificity: 0.69 ,Accuracy: 0.66 ,mcc scores: 0.33 ,roc-auc scores: 0.72 ,cohen scores: 0.33 
Threshold: 0.75 ,Senstivity: 0.64 ,Specificity: 0.69 ,Accuracy: 0.66 ,mcc scores: 0.33 ,roc-auc scores: 0.72 ,cohen scores: 0.33 
Threshold: 0.80 ,Senstivity: 0.64 ,Specificity: 0.69 ,Accuracy: 0.66 ,mcc scores: 0.33 ,roc-auc scores: 0.72 ,cohen scores: 0.33 
Threshold: 0.85 ,Senstivity: 0.48 ,Specificity: 0.84 ,Accuracy: 0.66 ,mcc scores: 0.35 ,roc-auc scores: 0.72 ,cohen scores: 0.32 
Threshold: 0.90 ,Senstivity: 0.48 ,Specificity: 0.84 ,Accuracy: 0.66 ,mcc scores: 0.35 ,roc-auc scores: 0.72 ,cohen scores: 0.32 
Threshold: 0.95 ,Senstivity: 0.48 ,Specificity: 0.84 ,Accuracy: 0.66 ,mcc scores: 0.35 ,roc-auc scores: 0.72 ,cohen scores: 0.32 
