Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 0.84 ,Specificity: 0.42 ,Accuracy: 0.62 ,mcc scores: 0.29 ,roc-auc scores: 0.67 ,cohen scores: 0.26 
Threshold: 0.10 ,Senstivity: 0.70 ,Specificity: 0.53 ,Accuracy: 0.61 ,mcc scores: 0.23 ,roc-auc scores: 0.67 ,cohen scores: 0.23 
Threshold: 0.15 ,Senstivity: 0.68 ,Specificity: 0.60 ,Accuracy: 0.64 ,mcc scores: 0.28 ,roc-auc scores: 0.68 ,cohen scores: 0.27 
Threshold: 0.20 ,Senstivity: 0.68 ,Specificity: 0.60 ,Accuracy: 0.64 ,mcc scores: 0.28 ,roc-auc scores: 0.67 ,cohen scores: 0.27 
Threshold: 0.25 ,Senstivity: 0.59 ,Specificity: 0.65 ,Accuracy: 0.62 ,mcc scores: 0.24 ,roc-auc scores: 0.68 ,cohen scores: 0.24 
Threshold: 0.30 ,Senstivity: 0.57 ,Specificity: 0.65 ,Accuracy: 0.61 ,mcc scores: 0.22 ,roc-auc scores: 0.69 ,cohen scores: 0.22 
Threshold: 0.35 ,Senstivity: 0.57 ,Specificity: 0.65 ,Accuracy: 0.61 ,mcc scores: 0.22 ,roc-auc scores: 0.68 ,cohen scores: 0.22 
Threshold: 0.40 ,Senstivity: 0.54 ,Specificity: 0.65 ,Accuracy: 0.60 ,mcc scores: 0.19 ,roc-auc scores: 0.68 ,cohen scores: 0.19 
Threshold: 0.45 ,Senstivity: 0.54 ,Specificity: 0.62 ,Accuracy: 0.58 ,mcc scores: 0.17 ,roc-auc scores: 0.69 ,cohen scores: 0.17 
Threshold: 0.50 ,Senstivity: 0.49 ,Specificity: 0.68 ,Accuracy: 0.58 ,mcc scores: 0.16 ,roc-auc scores: 0.64 ,cohen scores: 0.16 
Threshold: 0.55 ,Senstivity: 0.57 ,Specificity: 0.70 ,Accuracy: 0.64 ,mcc scores: 0.27 ,roc-auc scores: 0.71 ,cohen scores: 0.27 
Threshold: 0.60 ,Senstivity: 0.51 ,Specificity: 0.72 ,Accuracy: 0.62 ,mcc scores: 0.24 ,roc-auc scores: 0.70 ,cohen scores: 0.24 
Threshold: 0.65 ,Senstivity: 0.51 ,Specificity: 0.65 ,Accuracy: 0.58 ,mcc scores: 0.17 ,roc-auc scores: 0.69 ,cohen scores: 0.16 
Threshold: 0.70 ,Senstivity: 0.46 ,Specificity: 0.68 ,Accuracy: 0.57 ,mcc scores: 0.14 ,roc-auc scores: 0.67 ,cohen scores: 0.14 
Threshold: 0.75 ,Senstivity: 0.43 ,Specificity: 0.78 ,Accuracy: 0.61 ,mcc scores: 0.22 ,roc-auc scores: 0.68 ,cohen scores: 0.21 
Threshold: 0.80 ,Senstivity: 0.43 ,Specificity: 0.80 ,Accuracy: 0.62 ,mcc scores: 0.25 ,roc-auc scores: 0.67 ,cohen scores: 0.24 
Threshold: 0.85 ,Senstivity: 0.38 ,Specificity: 0.80 ,Accuracy: 0.60 ,mcc scores: 0.20 ,roc-auc scores: 0.67 ,cohen scores: 0.18 
Threshold: 0.90 ,Senstivity: 0.35 ,Specificity: 0.82 ,Accuracy: 0.60 ,mcc scores: 0.20 ,roc-auc scores: 0.67 ,cohen scores: 0.18 
Threshold: 0.95 ,Senstivity: 0.35 ,Specificity: 0.85 ,Accuracy: 0.61 ,mcc scores: 0.23 ,roc-auc scores: 0.67 ,cohen scores: 0.21 
