Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
Threshold: 0.20 ,Senstivity: 0.99 ,Specificity: 0.02 ,Accuracy: 0.50 ,mcc scores: 0.05 ,roc-auc scores: 0.74 ,cohen scores: 0.01 
Threshold: 0.25 ,Senstivity: 0.99 ,Specificity: 0.05 ,Accuracy: 0.52 ,mcc scores: 0.11 ,roc-auc scores: 0.74 ,cohen scores: 0.04 
Threshold: 0.30 ,Senstivity: 0.95 ,Specificity: 0.11 ,Accuracy: 0.53 ,mcc scores: 0.12 ,roc-auc scores: 0.74 ,cohen scores: 0.06 
Threshold: 0.35 ,Senstivity: 0.90 ,Specificity: 0.25 ,Accuracy: 0.58 ,mcc scores: 0.20 ,roc-auc scores: 0.74 ,cohen scores: 0.15 
Threshold: 0.40 ,Senstivity: 0.83 ,Specificity: 0.41 ,Accuracy: 0.62 ,mcc scores: 0.26 ,roc-auc scores: 0.74 ,cohen scores: 0.24 
Threshold: 0.45 ,Senstivity: 0.75 ,Specificity: 0.59 ,Accuracy: 0.67 ,mcc scores: 0.34 ,roc-auc scores: 0.74 ,cohen scores: 0.34 
Threshold: 0.50 ,Senstivity: 0.62 ,Specificity: 0.74 ,Accuracy: 0.68 ,mcc scores: 0.36 ,roc-auc scores: 0.74 ,cohen scores: 0.35 
Threshold: 0.55 ,Senstivity: 0.50 ,Specificity: 0.87 ,Accuracy: 0.69 ,mcc scores: 0.40 ,roc-auc scores: 0.74 ,cohen scores: 0.37 
Threshold: 0.60 ,Senstivity: 0.37 ,Specificity: 0.95 ,Accuracy: 0.66 ,mcc scores: 0.39 ,roc-auc scores: 0.74 ,cohen scores: 0.32 
Threshold: 0.65 ,Senstivity: 0.31 ,Specificity: 0.99 ,Accuracy: 0.65 ,mcc scores: 0.42 ,roc-auc scores: 0.74 ,cohen scores: 0.31 
Threshold: 0.70 ,Senstivity: 0.25 ,Specificity: 1.00 ,Accuracy: 0.63 ,mcc scores: 0.38 ,roc-auc scores: 0.74 ,cohen scores: 0.25 
Threshold: 0.75 ,Senstivity: 0.21 ,Specificity: 1.00 ,Accuracy: 0.61 ,mcc scores: 0.35 ,roc-auc scores: 0.74 ,cohen scores: 0.21 
Threshold: 0.80 ,Senstivity: 0.18 ,Specificity: 1.00 ,Accuracy: 0.59 ,mcc scores: 0.31 ,roc-auc scores: 0.74 ,cohen scores: 0.18 
Threshold: 0.85 ,Senstivity: 0.13 ,Specificity: 1.00 ,Accuracy: 0.57 ,mcc scores: 0.26 ,roc-auc scores: 0.74 ,cohen scores: 0.13 
Threshold: 0.90 ,Senstivity: 0.08 ,Specificity: 1.00 ,Accuracy: 0.54 ,mcc scores: 0.21 ,roc-auc scores: 0.74 ,cohen scores: 0.08 
Threshold: 0.95 ,Senstivity: 0.03 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.13 ,roc-auc scores: 0.74 ,cohen scores: 0.03 
