Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.75 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 0.89 ,Specificity: 0.29 ,Accuracy: 0.59 ,mcc scores: 0.23 ,roc-auc scores: 0.75 ,cohen scores: 0.18 
Threshold: 0.10 ,Senstivity: 0.89 ,Specificity: 0.29 ,Accuracy: 0.59 ,mcc scores: 0.23 ,roc-auc scores: 0.75 ,cohen scores: 0.18 
Threshold: 0.15 ,Senstivity: 0.89 ,Specificity: 0.29 ,Accuracy: 0.59 ,mcc scores: 0.23 ,roc-auc scores: 0.75 ,cohen scores: 0.18 
Threshold: 0.20 ,Senstivity: 0.89 ,Specificity: 0.29 ,Accuracy: 0.59 ,mcc scores: 0.23 ,roc-auc scores: 0.75 ,cohen scores: 0.18 
Threshold: 0.25 ,Senstivity: 0.75 ,Specificity: 0.58 ,Accuracy: 0.66 ,mcc scores: 0.33 ,roc-auc scores: 0.75 ,cohen scores: 0.33 
Threshold: 0.30 ,Senstivity: 0.75 ,Specificity: 0.58 ,Accuracy: 0.66 ,mcc scores: 0.33 ,roc-auc scores: 0.75 ,cohen scores: 0.33 
Threshold: 0.35 ,Senstivity: 0.75 ,Specificity: 0.58 ,Accuracy: 0.66 ,mcc scores: 0.33 ,roc-auc scores: 0.75 ,cohen scores: 0.33 
Threshold: 0.40 ,Senstivity: 0.75 ,Specificity: 0.58 ,Accuracy: 0.66 ,mcc scores: 0.33 ,roc-auc scores: 0.75 ,cohen scores: 0.33 
Threshold: 0.45 ,Senstivity: 0.60 ,Specificity: 0.79 ,Accuracy: 0.70 ,mcc scores: 0.40 ,roc-auc scores: 0.75 ,cohen scores: 0.39 
Threshold: 0.50 ,Senstivity: 0.60 ,Specificity: 0.79 ,Accuracy: 0.70 ,mcc scores: 0.40 ,roc-auc scores: 0.75 ,cohen scores: 0.39 
Threshold: 0.55 ,Senstivity: 0.60 ,Specificity: 0.79 ,Accuracy: 0.70 ,mcc scores: 0.40 ,roc-auc scores: 0.75 ,cohen scores: 0.39 
Threshold: 0.60 ,Senstivity: 0.44 ,Specificity: 0.91 ,Accuracy: 0.67 ,mcc scores: 0.40 ,roc-auc scores: 0.75 ,cohen scores: 0.35 
Threshold: 0.65 ,Senstivity: 0.44 ,Specificity: 0.91 ,Accuracy: 0.67 ,mcc scores: 0.40 ,roc-auc scores: 0.75 ,cohen scores: 0.35 
Threshold: 0.70 ,Senstivity: 0.44 ,Specificity: 0.91 ,Accuracy: 0.67 ,mcc scores: 0.40 ,roc-auc scores: 0.75 ,cohen scores: 0.35 
Threshold: 0.75 ,Senstivity: 0.44 ,Specificity: 0.91 ,Accuracy: 0.67 ,mcc scores: 0.40 ,roc-auc scores: 0.75 ,cohen scores: 0.35 
Threshold: 0.80 ,Senstivity: 0.44 ,Specificity: 0.91 ,Accuracy: 0.67 ,mcc scores: 0.40 ,roc-auc scores: 0.75 ,cohen scores: 0.35 
Threshold: 0.85 ,Senstivity: 0.35 ,Specificity: 0.99 ,Accuracy: 0.67 ,mcc scores: 0.45 ,roc-auc scores: 0.75 ,cohen scores: 0.34 
Threshold: 0.90 ,Senstivity: 0.35 ,Specificity: 0.99 ,Accuracy: 0.67 ,mcc scores: 0.45 ,roc-auc scores: 0.75 ,cohen scores: 0.34 
Threshold: 0.95 ,Senstivity: 0.35 ,Specificity: 0.99 ,Accuracy: 0.67 ,mcc scores: 0.45 ,roc-auc scores: 0.75 ,cohen scores: 0.34 
