Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 0.97 ,Specificity: 0.05 ,Accuracy: 0.49 ,mcc scores: 0.06 ,roc-auc scores: 0.69 ,cohen scores: 0.02 
Threshold: 0.10 ,Senstivity: 0.97 ,Specificity: 0.05 ,Accuracy: 0.49 ,mcc scores: 0.06 ,roc-auc scores: 0.69 ,cohen scores: 0.02 
Threshold: 0.15 ,Senstivity: 0.97 ,Specificity: 0.05 ,Accuracy: 0.49 ,mcc scores: 0.06 ,roc-auc scores: 0.69 ,cohen scores: 0.02 
Threshold: 0.20 ,Senstivity: 0.97 ,Specificity: 0.05 ,Accuracy: 0.49 ,mcc scores: 0.06 ,roc-auc scores: 0.69 ,cohen scores: 0.02 
Threshold: 0.25 ,Senstivity: 0.78 ,Specificity: 0.45 ,Accuracy: 0.61 ,mcc scores: 0.25 ,roc-auc scores: 0.69 ,cohen scores: 0.23 
Threshold: 0.30 ,Senstivity: 0.78 ,Specificity: 0.45 ,Accuracy: 0.61 ,mcc scores: 0.25 ,roc-auc scores: 0.69 ,cohen scores: 0.23 
Threshold: 0.35 ,Senstivity: 0.78 ,Specificity: 0.45 ,Accuracy: 0.61 ,mcc scores: 0.25 ,roc-auc scores: 0.69 ,cohen scores: 0.23 
Threshold: 0.40 ,Senstivity: 0.78 ,Specificity: 0.45 ,Accuracy: 0.61 ,mcc scores: 0.25 ,roc-auc scores: 0.69 ,cohen scores: 0.23 
Threshold: 0.45 ,Senstivity: 0.59 ,Specificity: 0.72 ,Accuracy: 0.66 ,mcc scores: 0.32 ,roc-auc scores: 0.69 ,cohen scores: 0.32 
Threshold: 0.50 ,Senstivity: 0.59 ,Specificity: 0.72 ,Accuracy: 0.66 ,mcc scores: 0.32 ,roc-auc scores: 0.69 ,cohen scores: 0.32 
Threshold: 0.55 ,Senstivity: 0.59 ,Specificity: 0.72 ,Accuracy: 0.66 ,mcc scores: 0.32 ,roc-auc scores: 0.69 ,cohen scores: 0.32 
Threshold: 0.60 ,Senstivity: 0.35 ,Specificity: 0.90 ,Accuracy: 0.64 ,mcc scores: 0.30 ,roc-auc scores: 0.69 ,cohen scores: 0.26 
Threshold: 0.65 ,Senstivity: 0.35 ,Specificity: 0.90 ,Accuracy: 0.64 ,mcc scores: 0.30 ,roc-auc scores: 0.69 ,cohen scores: 0.26 
Threshold: 0.70 ,Senstivity: 0.35 ,Specificity: 0.90 ,Accuracy: 0.64 ,mcc scores: 0.30 ,roc-auc scores: 0.69 ,cohen scores: 0.26 
Threshold: 0.75 ,Senstivity: 0.35 ,Specificity: 0.90 ,Accuracy: 0.64 ,mcc scores: 0.30 ,roc-auc scores: 0.69 ,cohen scores: 0.26 
Threshold: 0.80 ,Senstivity: 0.35 ,Specificity: 0.90 ,Accuracy: 0.64 ,mcc scores: 0.30 ,roc-auc scores: 0.69 ,cohen scores: 0.26 
Threshold: 0.85 ,Senstivity: 0.16 ,Specificity: 0.97 ,Accuracy: 0.58 ,mcc scores: 0.24 ,roc-auc scores: 0.69 ,cohen scores: 0.14 
Threshold: 0.90 ,Senstivity: 0.16 ,Specificity: 0.97 ,Accuracy: 0.58 ,mcc scores: 0.24 ,roc-auc scores: 0.69 ,cohen scores: 0.14 
Threshold: 0.95 ,Senstivity: 0.16 ,Specificity: 0.97 ,Accuracy: 0.58 ,mcc scores: 0.24 ,roc-auc scores: 0.69 ,cohen scores: 0.14 
