Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.50 ,mcc scores: 0.05 ,roc-auc scores: 0.74 ,cohen scores: 0.01 
Threshold: 0.10 ,Senstivity: 0.97 ,Specificity: 0.12 ,Accuracy: 0.55 ,mcc scores: 0.18 ,roc-auc scores: 0.74 ,cohen scores: 0.09 
Threshold: 0.15 ,Senstivity: 0.93 ,Specificity: 0.22 ,Accuracy: 0.57 ,mcc scores: 0.21 ,roc-auc scores: 0.74 ,cohen scores: 0.15 
Threshold: 0.20 ,Senstivity: 0.88 ,Specificity: 0.30 ,Accuracy: 0.59 ,mcc scores: 0.22 ,roc-auc scores: 0.74 ,cohen scores: 0.18 
Threshold: 0.25 ,Senstivity: 0.84 ,Specificity: 0.40 ,Accuracy: 0.62 ,mcc scores: 0.27 ,roc-auc scores: 0.74 ,cohen scores: 0.24 
Threshold: 0.30 ,Senstivity: 0.79 ,Specificity: 0.46 ,Accuracy: 0.63 ,mcc scores: 0.27 ,roc-auc scores: 0.74 ,cohen scores: 0.26 
Threshold: 0.35 ,Senstivity: 0.75 ,Specificity: 0.54 ,Accuracy: 0.65 ,mcc scores: 0.30 ,roc-auc scores: 0.74 ,cohen scores: 0.29 
Threshold: 0.40 ,Senstivity: 0.70 ,Specificity: 0.58 ,Accuracy: 0.64 ,mcc scores: 0.28 ,roc-auc scores: 0.74 ,cohen scores: 0.28 
Threshold: 0.45 ,Senstivity: 0.66 ,Specificity: 0.64 ,Accuracy: 0.65 ,mcc scores: 0.30 ,roc-auc scores: 0.74 ,cohen scores: 0.30 
Threshold: 0.50 ,Senstivity: 0.63 ,Specificity: 0.72 ,Accuracy: 0.68 ,mcc scores: 0.36 ,roc-auc scores: 0.74 ,cohen scores: 0.35 
Threshold: 0.55 ,Senstivity: 0.60 ,Specificity: 0.74 ,Accuracy: 0.67 ,mcc scores: 0.34 ,roc-auc scores: 0.74 ,cohen scores: 0.33 
Threshold: 0.60 ,Senstivity: 0.58 ,Specificity: 0.78 ,Accuracy: 0.68 ,mcc scores: 0.37 ,roc-auc scores: 0.74 ,cohen scores: 0.36 
Threshold: 0.65 ,Senstivity: 0.52 ,Specificity: 0.81 ,Accuracy: 0.67 ,mcc scores: 0.35 ,roc-auc scores: 0.74 ,cohen scores: 0.33 
Threshold: 0.70 ,Senstivity: 0.49 ,Specificity: 0.84 ,Accuracy: 0.66 ,mcc scores: 0.35 ,roc-auc scores: 0.74 ,cohen scores: 0.33 
Threshold: 0.75 ,Senstivity: 0.45 ,Specificity: 0.88 ,Accuracy: 0.66 ,mcc scores: 0.36 ,roc-auc scores: 0.74 ,cohen scores: 0.33 
Threshold: 0.80 ,Senstivity: 0.40 ,Specificity: 0.91 ,Accuracy: 0.66 ,mcc scores: 0.36 ,roc-auc scores: 0.74 ,cohen scores: 0.31 
Threshold: 0.85 ,Senstivity: 0.38 ,Specificity: 0.95 ,Accuracy: 0.67 ,mcc scores: 0.41 ,roc-auc scores: 0.74 ,cohen scores: 0.34 
Threshold: 0.90 ,Senstivity: 0.33 ,Specificity: 0.97 ,Accuracy: 0.65 ,mcc scores: 0.40 ,roc-auc scores: 0.74 ,cohen scores: 0.31 
Threshold: 0.95 ,Senstivity: 0.19 ,Specificity: 1.00 ,Accuracy: 0.60 ,mcc scores: 0.33 ,roc-auc scores: 0.74 ,cohen scores: 0.19 
