Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.50 ,mcc scores: 0.05 ,roc-auc scores: 0.73 ,cohen scores: 0.01 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.50 ,mcc scores: 0.05 ,roc-auc scores: 0.73 ,cohen scores: 0.01 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.50 ,mcc scores: 0.05 ,roc-auc scores: 0.73 ,cohen scores: 0.01 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.50 ,mcc scores: 0.07 ,roc-auc scores: 0.73 ,cohen scores: 0.01 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.50 ,mcc scores: 0.07 ,roc-auc scores: 0.73 ,cohen scores: 0.01 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.50 ,mcc scores: 0.07 ,roc-auc scores: 0.73 ,cohen scores: 0.01 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.50 ,mcc scores: 0.07 ,roc-auc scores: 0.73 ,cohen scores: 0.01 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.50 ,mcc scores: 0.07 ,roc-auc scores: 0.73 ,cohen scores: 0.01 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.02 ,Accuracy: 0.51 ,mcc scores: 0.09 ,roc-auc scores: 0.73 ,cohen scores: 0.02 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.02 ,Accuracy: 0.51 ,mcc scores: 0.10 ,roc-auc scores: 0.73 ,cohen scores: 0.02 
Threshold: -2.00 ,Senstivity: 0.99 ,Specificity: 0.02 ,Accuracy: 0.51 ,mcc scores: 0.07 ,roc-auc scores: 0.73 ,cohen scores: 0.02 
Threshold: -1.90 ,Senstivity: 0.99 ,Specificity: 0.02 ,Accuracy: 0.51 ,mcc scores: 0.07 ,roc-auc scores: 0.73 ,cohen scores: 0.02 
Threshold: -1.80 ,Senstivity: 0.99 ,Specificity: 0.04 ,Accuracy: 0.51 ,mcc scores: 0.11 ,roc-auc scores: 0.73 ,cohen scores: 0.03 
