Threshold: -3.00 ,Senstivity: 0.97 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: -0.12 ,roc-auc scores: 0.66 ,cohen scores: -0.03 
Threshold: -2.90 ,Senstivity: 0.97 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: -0.12 ,roc-auc scores: 0.66 ,cohen scores: -0.03 
Threshold: -2.80 ,Senstivity: 0.97 ,Specificity: 0.03 ,Accuracy: 0.48 ,mcc scores: -0.01 ,roc-auc scores: 0.66 ,cohen scores: -0.00 
Threshold: -2.70 ,Senstivity: 0.97 ,Specificity: 0.03 ,Accuracy: 0.48 ,mcc scores: -0.01 ,roc-auc scores: 0.66 ,cohen scores: -0.00 
Threshold: -2.60 ,Senstivity: 0.97 ,Specificity: 0.03 ,Accuracy: 0.48 ,mcc scores: -0.01 ,roc-auc scores: 0.66 ,cohen scores: -0.00 
Threshold: -2.50 ,Senstivity: 0.97 ,Specificity: 0.03 ,Accuracy: 0.48 ,mcc scores: -0.01 ,roc-auc scores: 0.66 ,cohen scores: -0.00 
Threshold: -2.40 ,Senstivity: 0.97 ,Specificity: 0.03 ,Accuracy: 0.48 ,mcc scores: -0.01 ,roc-auc scores: 0.66 ,cohen scores: -0.00 
Threshold: -2.30 ,Senstivity: 0.97 ,Specificity: 0.03 ,Accuracy: 0.48 ,mcc scores: -0.01 ,roc-auc scores: 0.66 ,cohen scores: -0.00 
Threshold: -2.20 ,Senstivity: 0.97 ,Specificity: 0.05 ,Accuracy: 0.49 ,mcc scores: 0.06 ,roc-auc scores: 0.66 ,cohen scores: 0.02 
Threshold: -2.10 ,Senstivity: 0.97 ,Specificity: 0.05 ,Accuracy: 0.49 ,mcc scores: 0.06 ,roc-auc scores: 0.66 ,cohen scores: 0.02 
Threshold: -2.00 ,Senstivity: 0.97 ,Specificity: 0.07 ,Accuracy: 0.51 ,mcc scores: 0.11 ,roc-auc scores: 0.66 ,cohen scores: 0.05 
Threshold: -1.90 ,Senstivity: 0.97 ,Specificity: 0.07 ,Accuracy: 0.51 ,mcc scores: 0.11 ,roc-auc scores: 0.66 ,cohen scores: 0.05 
Threshold: -1.80 ,Senstivity: 0.97 ,Specificity: 0.10 ,Accuracy: 0.52 ,mcc scores: 0.15 ,roc-auc scores: 0.66 ,cohen scores: 0.07 
Threshold: -1.70 ,Senstivity: 0.97 ,Specificity: 0.10 ,Accuracy: 0.52 ,mcc scores: 0.15 ,roc-auc scores: 0.66 ,cohen scores: 0.07 
Threshold: -1.60 ,Senstivity: 0.95 ,Specificity: 0.10 ,Accuracy: 0.51 ,mcc scores: 0.09 ,roc-auc scores: 0.66 ,cohen scores: 0.04 
Threshold: -1.50 ,Senstivity: 0.95 ,Specificity: 0.17 ,Accuracy: 0.55 ,mcc scores: 0.19 ,roc-auc scores: 0.66 ,cohen scores: 0.12 
Threshold: -1.40 ,Senstivity: 0.92 ,Specificity: 0.17 ,Accuracy: 0.53 ,mcc scores: 0.14 ,roc-auc scores: 0.66 ,cohen scores: 0.09 
Threshold: -1.30 ,Senstivity: 0.89 ,Specificity: 0.17 ,Accuracy: 0.52 ,mcc scores: 0.10 ,roc-auc scores: 0.66 ,cohen scores: 0.06 
Threshold: -1.20 ,Senstivity: 0.89 ,Specificity: 0.17 ,Accuracy: 0.52 ,mcc scores: 0.10 ,roc-auc scores: 0.66 ,cohen scores: 0.06 
Threshold: -1.10 ,Senstivity: 0.89 ,Specificity: 0.23 ,Accuracy: 0.55 ,mcc scores: 0.16 ,roc-auc scores: 0.66 ,cohen scores: 0.11 
Threshold: -1.00 ,Senstivity: 0.89 ,Specificity: 0.28 ,Accuracy: 0.57 ,mcc scores: 0.21 ,roc-auc scores: 0.66 ,cohen scores: 0.16 
