Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
Threshold: -1.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
Threshold: -1.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.74 ,cohen scores: 0.00 
Threshold: -1.60 ,Senstivity: 0.99 ,Specificity: 0.01 ,Accuracy: 0.50 ,mcc scores: -0.00 ,roc-auc scores: 0.74 ,cohen scores: -0.00 
Threshold: -1.50 ,Senstivity: 0.99 ,Specificity: 0.02 ,Accuracy: 0.51 ,mcc scores: 0.07 ,roc-auc scores: 0.74 ,cohen scores: 0.02 
Threshold: -1.40 ,Senstivity: 0.99 ,Specificity: 0.03 ,Accuracy: 0.51 ,mcc scores: 0.07 ,roc-auc scores: 0.74 ,cohen scores: 0.02 
Threshold: -1.30 ,Senstivity: 0.98 ,Specificity: 0.07 ,Accuracy: 0.53 ,mcc scores: 0.14 ,roc-auc scores: 0.74 ,cohen scores: 0.06 
Threshold: -1.20 ,Senstivity: 0.98 ,Specificity: 0.10 ,Accuracy: 0.54 ,mcc scores: 0.16 ,roc-auc scores: 0.74 ,cohen scores: 0.08 
Threshold: -1.10 ,Senstivity: 0.95 ,Specificity: 0.16 ,Accuracy: 0.56 ,mcc scores: 0.19 ,roc-auc scores: 0.74 ,cohen scores: 0.12 
Threshold: -1.00 ,Senstivity: 0.91 ,Specificity: 0.19 ,Accuracy: 0.55 ,mcc scores: 0.14 ,roc-auc scores: 0.74 ,cohen scores: 0.10 
Threshold: -0.90 ,Senstivity: 0.88 ,Specificity: 0.27 ,Accuracy: 0.57 ,mcc scores: 0.19 ,roc-auc scores: 0.74 ,cohen scores: 0.15 
Threshold: -0.80 ,Senstivity: 0.84 ,Specificity: 0.32 ,Accuracy: 0.58 ,mcc scores: 0.19 ,roc-auc scores: 0.74 ,cohen scores: 0.16 
Threshold: -0.70 ,Senstivity: 0.82 ,Specificity: 0.40 ,Accuracy: 0.61 ,mcc scores: 0.24 ,roc-auc scores: 0.74 ,cohen scores: 0.22 
Threshold: -0.60 ,Senstivity: 0.79 ,Specificity: 0.46 ,Accuracy: 0.62 ,mcc scores: 0.26 ,roc-auc scores: 0.74 ,cohen scores: 0.25 
Threshold: -0.50 ,Senstivity: 0.77 ,Specificity: 0.53 ,Accuracy: 0.65 ,mcc scores: 0.31 ,roc-auc scores: 0.74 ,cohen scores: 0.30 
Threshold: -0.40 ,Senstivity: 0.75 ,Specificity: 0.59 ,Accuracy: 0.67 ,mcc scores: 0.34 ,roc-auc scores: 0.74 ,cohen scores: 0.34 
Threshold: -0.30 ,Senstivity: 0.72 ,Specificity: 0.65 ,Accuracy: 0.68 ,mcc scores: 0.37 ,roc-auc scores: 0.74 ,cohen scores: 0.36 
Threshold: -0.20 ,Senstivity: 0.68 ,Specificity: 0.71 ,Accuracy: 0.70 ,mcc scores: 0.40 ,roc-auc scores: 0.74 ,cohen scores: 0.40 
Threshold: -0.10 ,Senstivity: 0.65 ,Specificity: 0.73 ,Accuracy: 0.69 ,mcc scores: 0.38 ,roc-auc scores: 0.74 ,cohen scores: 0.38 
Threshold: 0.00 ,Senstivity: 0.62 ,Specificity: 0.76 ,Accuracy: 0.69 ,mcc scores: 0.39 ,roc-auc scores: 0.74 ,cohen scores: 0.38 
