Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: -1.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: -1.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: -1.60 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.48 ,mcc scores: 0.05 ,roc-auc scores: 0.71 ,cohen scores: 0.01 
Threshold: -1.50 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.48 ,mcc scores: 0.05 ,roc-auc scores: 0.71 ,cohen scores: 0.01 
Threshold: -1.40 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.48 ,mcc scores: 0.05 ,roc-auc scores: 0.71 ,cohen scores: 0.01 
Threshold: -1.30 ,Senstivity: 0.99 ,Specificity: 0.03 ,Accuracy: 0.48 ,mcc scores: 0.07 ,roc-auc scores: 0.71 ,cohen scores: 0.02 
Threshold: -1.20 ,Senstivity: 0.99 ,Specificity: 0.06 ,Accuracy: 0.50 ,mcc scores: 0.11 ,roc-auc scores: 0.71 ,cohen scores: 0.04 
Threshold: -1.10 ,Senstivity: 0.99 ,Specificity: 0.09 ,Accuracy: 0.52 ,mcc scores: 0.17 ,roc-auc scores: 0.71 ,cohen scores: 0.08 
Threshold: -1.00 ,Senstivity: 0.94 ,Specificity: 0.17 ,Accuracy: 0.53 ,mcc scores: 0.16 ,roc-auc scores: 0.71 ,cohen scores: 0.10 
Threshold: -0.90 ,Senstivity: 0.85 ,Specificity: 0.25 ,Accuracy: 0.54 ,mcc scores: 0.13 ,roc-auc scores: 0.71 ,cohen scores: 0.10 
Threshold: -0.80 ,Senstivity: 0.81 ,Specificity: 0.35 ,Accuracy: 0.57 ,mcc scores: 0.18 ,roc-auc scores: 0.71 ,cohen scores: 0.15 
Threshold: -0.70 ,Senstivity: 0.76 ,Specificity: 0.41 ,Accuracy: 0.57 ,mcc scores: 0.17 ,roc-auc scores: 0.71 ,cohen scores: 0.16 
Threshold: -0.60 ,Senstivity: 0.74 ,Specificity: 0.50 ,Accuracy: 0.61 ,mcc scores: 0.24 ,roc-auc scores: 0.71 ,cohen scores: 0.23 
Threshold: -0.50 ,Senstivity: 0.67 ,Specificity: 0.54 ,Accuracy: 0.60 ,mcc scores: 0.21 ,roc-auc scores: 0.71 ,cohen scores: 0.21 
Threshold: -0.40 ,Senstivity: 0.66 ,Specificity: 0.62 ,Accuracy: 0.64 ,mcc scores: 0.28 ,roc-auc scores: 0.71 ,cohen scores: 0.28 
Threshold: -0.30 ,Senstivity: 0.62 ,Specificity: 0.66 ,Accuracy: 0.64 ,mcc scores: 0.28 ,roc-auc scores: 0.71 ,cohen scores: 0.28 
Threshold: -0.20 ,Senstivity: 0.58 ,Specificity: 0.70 ,Accuracy: 0.65 ,mcc scores: 0.29 ,roc-auc scores: 0.71 ,cohen scores: 0.29 
Threshold: -0.10 ,Senstivity: 0.56 ,Specificity: 0.75 ,Accuracy: 0.66 ,mcc scores: 0.32 ,roc-auc scores: 0.71 ,cohen scores: 0.32 
Threshold: 0.00 ,Senstivity: 0.54 ,Specificity: 0.81 ,Accuracy: 0.68 ,mcc scores: 0.36 ,roc-auc scores: 0.71 ,cohen scores: 0.35 
Threshold: 0.10 ,Senstivity: 0.48 ,Specificity: 0.84 ,Accuracy: 0.67 ,mcc scores: 0.35 ,roc-auc scores: 0.71 ,cohen scores: 0.33 
Threshold: 0.20 ,Senstivity: 0.43 ,Specificity: 0.87 ,Accuracy: 0.66 ,mcc scores: 0.34 ,roc-auc scores: 0.71 ,cohen scores: 0.31 
Threshold: 0.30 ,Senstivity: 0.43 ,Specificity: 0.92 ,Accuracy: 0.69 ,mcc scores: 0.40 ,roc-auc scores: 0.71 ,cohen scores: 0.35 
Threshold: 0.40 ,Senstivity: 0.41 ,Specificity: 0.92 ,Accuracy: 0.68 ,mcc scores: 0.39 ,roc-auc scores: 0.71 ,cohen scores: 0.34 
Threshold: 0.50 ,Senstivity: 0.38 ,Specificity: 0.96 ,Accuracy: 0.69 ,mcc scores: 0.42 ,roc-auc scores: 0.71 ,cohen scores: 0.35 
Threshold: 0.60 ,Senstivity: 0.36 ,Specificity: 0.97 ,Accuracy: 0.68 ,mcc scores: 0.42 ,roc-auc scores: 0.71 ,cohen scores: 0.34 
Threshold: 0.70 ,Senstivity: 0.31 ,Specificity: 0.99 ,Accuracy: 0.67 ,mcc scores: 0.41 ,roc-auc scores: 0.71 ,cohen scores: 0.31 
Threshold: 0.80 ,Senstivity: 0.26 ,Specificity: 0.99 ,Accuracy: 0.64 ,mcc scores: 0.37 ,roc-auc scores: 0.71 ,cohen scores: 0.26 
Threshold: 0.90 ,Senstivity: 0.22 ,Specificity: 0.99 ,Accuracy: 0.62 ,mcc scores: 0.33 ,roc-auc scores: 0.71 ,cohen scores: 0.21 
Threshold: 1.00 ,Senstivity: 0.13 ,Specificity: 1.00 ,Accuracy: 0.59 ,mcc scores: 0.27 ,roc-auc scores: 0.71 ,cohen scores: 0.14 
Threshold: 1.10 ,Senstivity: 0.08 ,Specificity: 1.00 ,Accuracy: 0.56 ,mcc scores: 0.21 ,roc-auc scores: 0.71 ,cohen scores: 0.08 
Threshold: 1.20 ,Senstivity: 0.01 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.09 ,roc-auc scores: 0.71 ,cohen scores: 0.01 
Threshold: 1.30 ,Senstivity: 0.01 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.06 ,roc-auc scores: 0.71 ,cohen scores: 0.01 
Threshold: 1.40 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: 1.50 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: 1.60 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: 1.70 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: 1.80 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
Threshold: 1.90 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.71 ,cohen scores: 0.00 
