Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.72 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.72 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.72 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.72 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.72 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.72 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.72 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.72 ,cohen scores: 0.00 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.72 ,cohen scores: 0.00 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.72 ,cohen scores: 0.00 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.72 ,cohen scores: 0.00 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.72 ,cohen scores: 0.00 
Threshold: -1.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.72 ,cohen scores: 0.00 
Threshold: -1.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.72 ,cohen scores: 0.00 
Threshold: -1.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.72 ,cohen scores: 0.00 
Threshold: -1.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.72 ,cohen scores: 0.00 
Threshold: -1.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.72 ,cohen scores: 0.00 
Threshold: -1.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.72 ,cohen scores: 0.00 
Threshold: -1.20 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.50 ,mcc scores: 0.05 ,roc-auc scores: 0.72 ,cohen scores: 0.01 
Threshold: -1.10 ,Senstivity: 1.00 ,Specificity: 0.02 ,Accuracy: 0.51 ,mcc scores: 0.09 ,roc-auc scores: 0.72 ,cohen scores: 0.02 
Threshold: -1.00 ,Senstivity: 0.99 ,Specificity: 0.07 ,Accuracy: 0.53 ,mcc scores: 0.17 ,roc-auc scores: 0.72 ,cohen scores: 0.07 
Threshold: -0.90 ,Senstivity: 0.95 ,Specificity: 0.13 ,Accuracy: 0.54 ,mcc scores: 0.15 ,roc-auc scores: 0.72 ,cohen scores: 0.08 
Threshold: -0.80 ,Senstivity: 0.91 ,Specificity: 0.20 ,Accuracy: 0.56 ,mcc scores: 0.16 ,roc-auc scores: 0.72 ,cohen scores: 0.11 
Threshold: -0.70 ,Senstivity: 0.88 ,Specificity: 0.31 ,Accuracy: 0.60 ,mcc scores: 0.23 ,roc-auc scores: 0.72 ,cohen scores: 0.19 
Threshold: -0.60 ,Senstivity: 0.81 ,Specificity: 0.38 ,Accuracy: 0.60 ,mcc scores: 0.22 ,roc-auc scores: 0.72 ,cohen scores: 0.20 
Threshold: -0.50 ,Senstivity: 0.76 ,Specificity: 0.51 ,Accuracy: 0.63 ,mcc scores: 0.28 ,roc-auc scores: 0.72 ,cohen scores: 0.27 
Threshold: -0.40 ,Senstivity: 0.68 ,Specificity: 0.62 ,Accuracy: 0.65 ,mcc scores: 0.31 ,roc-auc scores: 0.72 ,cohen scores: 0.31 
Threshold: -0.30 ,Senstivity: 0.66 ,Specificity: 0.68 ,Accuracy: 0.67 ,mcc scores: 0.34 ,roc-auc scores: 0.72 ,cohen scores: 0.34 
Threshold: -0.20 ,Senstivity: 0.63 ,Specificity: 0.75 ,Accuracy: 0.69 ,mcc scores: 0.38 ,roc-auc scores: 0.72 ,cohen scores: 0.38 
Threshold: -0.10 ,Senstivity: 0.56 ,Specificity: 0.80 ,Accuracy: 0.68 ,mcc scores: 0.37 ,roc-auc scores: 0.72 ,cohen scores: 0.36 
Threshold: 0.00 ,Senstivity: 0.54 ,Specificity: 0.82 ,Accuracy: 0.68 ,mcc scores: 0.38 ,roc-auc scores: 0.72 ,cohen scores: 0.37 
Threshold: 0.10 ,Senstivity: 0.51 ,Specificity: 0.83 ,Accuracy: 0.67 ,mcc scores: 0.36 ,roc-auc scores: 0.72 ,cohen scores: 0.34 
Threshold: 0.20 ,Senstivity: 0.47 ,Specificity: 0.87 ,Accuracy: 0.67 ,mcc scores: 0.37 ,roc-auc scores: 0.72 ,cohen scores: 0.34 
Threshold: 0.30 ,Senstivity: 0.42 ,Specificity: 0.90 ,Accuracy: 0.66 ,mcc scores: 0.37 ,roc-auc scores: 0.72 ,cohen scores: 0.32 
Threshold: 0.40 ,Senstivity: 0.39 ,Specificity: 0.91 ,Accuracy: 0.65 ,mcc scores: 0.36 ,roc-auc scores: 0.72 ,cohen scores: 0.31 
Threshold: 0.50 ,Senstivity: 0.35 ,Specificity: 0.93 ,Accuracy: 0.64 ,mcc scores: 0.35 ,roc-auc scores: 0.72 ,cohen scores: 0.28 
Threshold: 0.60 ,Senstivity: 0.31 ,Specificity: 0.94 ,Accuracy: 0.62 ,mcc scores: 0.32 ,roc-auc scores: 0.72 ,cohen scores: 0.25 
Threshold: 0.70 ,Senstivity: 0.27 ,Specificity: 0.94 ,Accuracy: 0.61 ,mcc scores: 0.28 ,roc-auc scores: 0.72 ,cohen scores: 0.21 
Threshold: 0.80 ,Senstivity: 0.24 ,Specificity: 0.95 ,Accuracy: 0.60 ,mcc scores: 0.27 ,roc-auc scores: 0.72 ,cohen scores: 0.19 
Threshold: 0.90 ,Senstivity: 0.23 ,Specificity: 0.96 ,Accuracy: 0.60 ,mcc scores: 0.28 ,roc-auc scores: 0.72 ,cohen scores: 0.19 
Threshold: 1.00 ,Senstivity: 0.17 ,Specificity: 0.99 ,Accuracy: 0.58 ,mcc scores: 0.27 ,roc-auc scores: 0.72 ,cohen scores: 0.16 
Threshold: 1.10 ,Senstivity: 0.12 ,Specificity: 1.00 ,Accuracy: 0.56 ,mcc scores: 0.26 ,roc-auc scores: 0.72 ,cohen scores: 0.12 
Threshold: 1.20 ,Senstivity: 0.09 ,Specificity: 1.00 ,Accuracy: 0.54 ,mcc scores: 0.21 ,roc-auc scores: 0.72 ,cohen scores: 0.09 
Threshold: 1.30 ,Senstivity: 0.08 ,Specificity: 1.00 ,Accuracy: 0.54 ,mcc scores: 0.20 ,roc-auc scores: 0.72 ,cohen scores: 0.08 
Threshold: 1.40 ,Senstivity: 0.06 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.17 ,roc-auc scores: 0.72 ,cohen scores: 0.06 
Threshold: 1.50 ,Senstivity: 0.04 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.14 ,roc-auc scores: 0.72 ,cohen scores: 0.04 
Threshold: 1.60 ,Senstivity: 0.02 ,Specificity: 1.00 ,Accuracy: 0.51 ,mcc scores: 0.10 ,roc-auc scores: 0.72 ,cohen scores: 0.02 
Threshold: 1.70 ,Senstivity: 0.02 ,Specificity: 1.00 ,Accuracy: 0.51 ,mcc scores: 0.10 ,roc-auc scores: 0.72 ,cohen scores: 0.02 
Threshold: 1.80 ,Senstivity: 0.01 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.05 ,roc-auc scores: 0.72 ,cohen scores: 0.01 
Threshold: 1.90 ,Senstivity: 0.01 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.05 ,roc-auc scores: 0.72 ,cohen scores: 0.01 
Threshold: 2.00 ,Senstivity: 0.01 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.05 ,roc-auc scores: 0.72 ,cohen scores: 0.01 
Threshold: 2.10 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.72 ,cohen scores: 0.00 
Threshold: 2.20 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.72 ,cohen scores: 0.00 
Threshold: 2.30 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.72 ,cohen scores: 0.00 
Threshold: 2.40 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.72 ,cohen scores: 0.00 
Threshold: 2.50 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.72 ,cohen scores: 0.00 
Threshold: 2.60 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.72 ,cohen scores: 0.00 
Threshold: 2.70 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.72 ,cohen scores: 0.00 
Threshold: 2.80 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.72 ,cohen scores: 0.00 
Threshold: 2.90 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.72 ,cohen scores: 0.00 
