Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.97 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.24 ,Accuracy: 0.62 ,mcc scores: 0.37 ,roc-auc scores: 0.97 ,cohen scores: 0.24 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.40 ,Accuracy: 0.70 ,mcc scores: 0.50 ,roc-auc scores: 0.97 ,cohen scores: 0.40 
Threshold: 0.15 ,Senstivity: 0.99 ,Specificity: 0.56 ,Accuracy: 0.77 ,mcc scores: 0.61 ,roc-auc scores: 0.97 ,cohen scores: 0.55 
Threshold: 0.20 ,Senstivity: 0.98 ,Specificity: 0.67 ,Accuracy: 0.83 ,mcc scores: 0.69 ,roc-auc scores: 0.97 ,cohen scores: 0.65 
Threshold: 0.25 ,Senstivity: 0.97 ,Specificity: 0.74 ,Accuracy: 0.86 ,mcc scores: 0.73 ,roc-auc scores: 0.97 ,cohen scores: 0.71 
Threshold: 0.30 ,Senstivity: 0.96 ,Specificity: 0.78 ,Accuracy: 0.87 ,mcc scores: 0.75 ,roc-auc scores: 0.97 ,cohen scores: 0.74 
Threshold: 0.35 ,Senstivity: 0.95 ,Specificity: 0.84 ,Accuracy: 0.89 ,mcc scores: 0.79 ,roc-auc scores: 0.97 ,cohen scores: 0.79 
Threshold: 0.40 ,Senstivity: 0.93 ,Specificity: 0.87 ,Accuracy: 0.90 ,mcc scores: 0.81 ,roc-auc scores: 0.97 ,cohen scores: 0.80 
Threshold: 0.45 ,Senstivity: 0.90 ,Specificity: 0.91 ,Accuracy: 0.91 ,mcc scores: 0.81 ,roc-auc scores: 0.97 ,cohen scores: 0.81 
Threshold: 0.50 ,Senstivity: 0.89 ,Specificity: 0.93 ,Accuracy: 0.91 ,mcc scores: 0.82 ,roc-auc scores: 0.97 ,cohen scores: 0.82 
Threshold: 0.55 ,Senstivity: 0.88 ,Specificity: 0.95 ,Accuracy: 0.91 ,mcc scores: 0.83 ,roc-auc scores: 0.97 ,cohen scores: 0.83 
Threshold: 0.60 ,Senstivity: 0.85 ,Specificity: 0.96 ,Accuracy: 0.91 ,mcc scores: 0.82 ,roc-auc scores: 0.97 ,cohen scores: 0.81 
Threshold: 0.65 ,Senstivity: 0.85 ,Specificity: 0.97 ,Accuracy: 0.91 ,mcc scores: 0.83 ,roc-auc scores: 0.97 ,cohen scores: 0.82 
Threshold: 0.70 ,Senstivity: 0.82 ,Specificity: 0.98 ,Accuracy: 0.90 ,mcc scores: 0.82 ,roc-auc scores: 0.97 ,cohen scores: 0.81 
Threshold: 0.75 ,Senstivity: 0.76 ,Specificity: 0.99 ,Accuracy: 0.88 ,mcc scores: 0.78 ,roc-auc scores: 0.97 ,cohen scores: 0.76 
Threshold: 0.80 ,Senstivity: 0.72 ,Specificity: 0.99 ,Accuracy: 0.86 ,mcc scores: 0.74 ,roc-auc scores: 0.97 ,cohen scores: 0.71 
Threshold: 0.85 ,Senstivity: 0.69 ,Specificity: 0.99 ,Accuracy: 0.84 ,mcc scores: 0.72 ,roc-auc scores: 0.97 ,cohen scores: 0.68 
Threshold: 0.90 ,Senstivity: 0.64 ,Specificity: 0.99 ,Accuracy: 0.82 ,mcc scores: 0.68 ,roc-auc scores: 0.97 ,cohen scores: 0.63 
Threshold: 0.95 ,Senstivity: 0.52 ,Specificity: 0.99 ,Accuracy: 0.76 ,mcc scores: 0.59 ,roc-auc scores: 0.97 ,cohen scores: 0.52 
