Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.96 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.12 ,Accuracy: 0.55 ,mcc scores: 0.25 ,roc-auc scores: 0.95 ,cohen scores: 0.12 
Threshold: 0.10 ,Senstivity: 0.97 ,Specificity: 0.10 ,Accuracy: 0.52 ,mcc scores: 0.15 ,roc-auc scores: 0.95 ,cohen scores: 0.07 
Threshold: 0.15 ,Senstivity: 0.97 ,Specificity: 0.47 ,Accuracy: 0.71 ,mcc scores: 0.51 ,roc-auc scores: 0.95 ,cohen scores: 0.44 
Threshold: 0.20 ,Senstivity: 0.97 ,Specificity: 0.68 ,Accuracy: 0.82 ,mcc scores: 0.67 ,roc-auc scores: 0.95 ,cohen scores: 0.64 
Threshold: 0.25 ,Senstivity: 0.95 ,Specificity: 0.68 ,Accuracy: 0.81 ,mcc scores: 0.64 ,roc-auc scores: 0.95 ,cohen scores: 0.61 
Threshold: 0.30 ,Senstivity: 0.95 ,Specificity: 0.88 ,Accuracy: 0.91 ,mcc scores: 0.82 ,roc-auc scores: 0.96 ,cohen scores: 0.82 
Threshold: 0.35 ,Senstivity: 0.92 ,Specificity: 0.85 ,Accuracy: 0.88 ,mcc scores: 0.77 ,roc-auc scores: 0.96 ,cohen scores: 0.77 
Threshold: 0.40 ,Senstivity: 0.89 ,Specificity: 0.90 ,Accuracy: 0.90 ,mcc scores: 0.79 ,roc-auc scores: 0.96 ,cohen scores: 0.79 
Threshold: 0.45 ,Senstivity: 0.81 ,Specificity: 0.95 ,Accuracy: 0.88 ,mcc scores: 0.77 ,roc-auc scores: 0.94 ,cohen scores: 0.76 
Threshold: 0.50 ,Senstivity: 0.73 ,Specificity: 0.93 ,Accuracy: 0.83 ,mcc scores: 0.67 ,roc-auc scores: 0.94 ,cohen scores: 0.66 
Threshold: 0.55 ,Senstivity: 0.78 ,Specificity: 0.97 ,Accuracy: 0.88 ,mcc scores: 0.78 ,roc-auc scores: 0.93 ,cohen scores: 0.76 
Threshold: 0.60 ,Senstivity: 0.76 ,Specificity: 1.00 ,Accuracy: 0.88 ,mcc scores: 0.79 ,roc-auc scores: 0.95 ,cohen scores: 0.76 
Threshold: 0.65 ,Senstivity: 0.65 ,Specificity: 0.97 ,Accuracy: 0.82 ,mcc scores: 0.67 ,roc-auc scores: 0.94 ,cohen scores: 0.63 
Threshold: 0.70 ,Senstivity: 0.65 ,Specificity: 1.00 ,Accuracy: 0.83 ,mcc scores: 0.70 ,roc-auc scores: 0.98 ,cohen scores: 0.66 
Threshold: 0.75 ,Senstivity: 0.62 ,Specificity: 1.00 ,Accuracy: 0.82 ,mcc scores: 0.68 ,roc-auc scores: 0.95 ,cohen scores: 0.63 
Threshold: 0.80 ,Senstivity: 0.59 ,Specificity: 1.00 ,Accuracy: 0.81 ,mcc scores: 0.66 ,roc-auc scores: 0.95 ,cohen scores: 0.60 
Threshold: 0.85 ,Senstivity: 0.49 ,Specificity: 1.00 ,Accuracy: 0.75 ,mcc scores: 0.57 ,roc-auc scores: 0.97 ,cohen scores: 0.50 
Threshold: 0.90 ,Senstivity: 0.51 ,Specificity: 1.00 ,Accuracy: 0.77 ,mcc scores: 0.60 ,roc-auc scores: 0.98 ,cohen scores: 0.52 
Threshold: 0.95 ,Senstivity: 0.35 ,Specificity: 1.00 ,Accuracy: 0.69 ,mcc scores: 0.47 ,roc-auc scores: 0.94 ,cohen scores: 0.36 
