Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 0.97 ,Specificity: 0.56 ,Accuracy: 0.76 ,mcc scores: 0.58 ,roc-auc scores: 0.95 ,cohen scores: 0.53 
Threshold: 0.10 ,Senstivity: 0.97 ,Specificity: 0.56 ,Accuracy: 0.76 ,mcc scores: 0.58 ,roc-auc scores: 0.95 ,cohen scores: 0.53 
Threshold: 0.15 ,Senstivity: 0.95 ,Specificity: 0.79 ,Accuracy: 0.87 ,mcc scores: 0.75 ,roc-auc scores: 0.95 ,cohen scores: 0.74 
Threshold: 0.20 ,Senstivity: 0.95 ,Specificity: 0.79 ,Accuracy: 0.87 ,mcc scores: 0.75 ,roc-auc scores: 0.95 ,cohen scores: 0.74 
Threshold: 0.25 ,Senstivity: 0.93 ,Specificity: 0.86 ,Accuracy: 0.89 ,mcc scores: 0.79 ,roc-auc scores: 0.95 ,cohen scores: 0.79 
Threshold: 0.30 ,Senstivity: 0.93 ,Specificity: 0.86 ,Accuracy: 0.89 ,mcc scores: 0.79 ,roc-auc scores: 0.95 ,cohen scores: 0.79 
Threshold: 0.35 ,Senstivity: 0.91 ,Specificity: 0.90 ,Accuracy: 0.91 ,mcc scores: 0.81 ,roc-auc scores: 0.95 ,cohen scores: 0.81 
Threshold: 0.40 ,Senstivity: 0.91 ,Specificity: 0.90 ,Accuracy: 0.91 ,mcc scores: 0.81 ,roc-auc scores: 0.95 ,cohen scores: 0.81 
Threshold: 0.45 ,Senstivity: 0.89 ,Specificity: 0.94 ,Accuracy: 0.91 ,mcc scores: 0.83 ,roc-auc scores: 0.95 ,cohen scores: 0.83 
Threshold: 0.50 ,Senstivity: 0.89 ,Specificity: 0.94 ,Accuracy: 0.91 ,mcc scores: 0.83 ,roc-auc scores: 0.95 ,cohen scores: 0.83 
Threshold: 0.55 ,Senstivity: 0.89 ,Specificity: 0.94 ,Accuracy: 0.91 ,mcc scores: 0.83 ,roc-auc scores: 0.95 ,cohen scores: 0.83 
Threshold: 0.60 ,Senstivity: 0.86 ,Specificity: 0.95 ,Accuracy: 0.91 ,mcc scores: 0.82 ,roc-auc scores: 0.95 ,cohen scores: 0.81 
Threshold: 0.65 ,Senstivity: 0.86 ,Specificity: 0.95 ,Accuracy: 0.91 ,mcc scores: 0.82 ,roc-auc scores: 0.95 ,cohen scores: 0.81 
Threshold: 0.70 ,Senstivity: 0.81 ,Specificity: 0.96 ,Accuracy: 0.88 ,mcc scores: 0.78 ,roc-auc scores: 0.95 ,cohen scores: 0.77 
Threshold: 0.75 ,Senstivity: 0.81 ,Specificity: 0.96 ,Accuracy: 0.88 ,mcc scores: 0.78 ,roc-auc scores: 0.95 ,cohen scores: 0.77 
Threshold: 0.80 ,Senstivity: 0.69 ,Specificity: 0.97 ,Accuracy: 0.83 ,mcc scores: 0.69 ,roc-auc scores: 0.95 ,cohen scores: 0.66 
Threshold: 0.85 ,Senstivity: 0.69 ,Specificity: 0.97 ,Accuracy: 0.83 ,mcc scores: 0.69 ,roc-auc scores: 0.95 ,cohen scores: 0.66 
Threshold: 0.90 ,Senstivity: 0.58 ,Specificity: 0.99 ,Accuracy: 0.78 ,mcc scores: 0.62 ,roc-auc scores: 0.95 ,cohen scores: 0.57 
Threshold: 0.95 ,Senstivity: 0.58 ,Specificity: 0.99 ,Accuracy: 0.78 ,mcc scores: 0.62 ,roc-auc scores: 0.95 ,cohen scores: 0.57 
