Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 0.97 ,Specificity: 0.57 ,Accuracy: 0.77 ,mcc scores: 0.59 ,roc-auc scores: 0.95 ,cohen scores: 0.54 
Threshold: 0.10 ,Senstivity: 0.97 ,Specificity: 0.57 ,Accuracy: 0.77 ,mcc scores: 0.59 ,roc-auc scores: 0.95 ,cohen scores: 0.54 
Threshold: 0.15 ,Senstivity: 0.97 ,Specificity: 0.78 ,Accuracy: 0.87 ,mcc scores: 0.76 ,roc-auc scores: 0.95 ,cohen scores: 0.74 
Threshold: 0.20 ,Senstivity: 0.97 ,Specificity: 0.78 ,Accuracy: 0.87 ,mcc scores: 0.76 ,roc-auc scores: 0.95 ,cohen scores: 0.74 
Threshold: 0.25 ,Senstivity: 0.95 ,Specificity: 0.88 ,Accuracy: 0.91 ,mcc scores: 0.82 ,roc-auc scores: 0.95 ,cohen scores: 0.82 
Threshold: 0.30 ,Senstivity: 0.95 ,Specificity: 0.88 ,Accuracy: 0.91 ,mcc scores: 0.82 ,roc-auc scores: 0.95 ,cohen scores: 0.82 
Threshold: 0.35 ,Senstivity: 0.86 ,Specificity: 0.88 ,Accuracy: 0.87 ,mcc scores: 0.74 ,roc-auc scores: 0.95 ,cohen scores: 0.74 
Threshold: 0.40 ,Senstivity: 0.86 ,Specificity: 0.88 ,Accuracy: 0.87 ,mcc scores: 0.74 ,roc-auc scores: 0.95 ,cohen scores: 0.74 
Threshold: 0.45 ,Senstivity: 0.84 ,Specificity: 0.93 ,Accuracy: 0.88 ,mcc scores: 0.77 ,roc-auc scores: 0.95 ,cohen scores: 0.77 
Threshold: 0.50 ,Senstivity: 0.84 ,Specificity: 0.93 ,Accuracy: 0.88 ,mcc scores: 0.77 ,roc-auc scores: 0.95 ,cohen scores: 0.77 
Threshold: 0.55 ,Senstivity: 0.84 ,Specificity: 0.93 ,Accuracy: 0.88 ,mcc scores: 0.77 ,roc-auc scores: 0.95 ,cohen scores: 0.77 
Threshold: 0.60 ,Senstivity: 0.81 ,Specificity: 0.93 ,Accuracy: 0.87 ,mcc scores: 0.74 ,roc-auc scores: 0.95 ,cohen scores: 0.74 
Threshold: 0.65 ,Senstivity: 0.81 ,Specificity: 0.93 ,Accuracy: 0.87 ,mcc scores: 0.74 ,roc-auc scores: 0.95 ,cohen scores: 0.74 
Threshold: 0.70 ,Senstivity: 0.73 ,Specificity: 0.95 ,Accuracy: 0.84 ,mcc scores: 0.70 ,roc-auc scores: 0.95 ,cohen scores: 0.69 
Threshold: 0.75 ,Senstivity: 0.73 ,Specificity: 0.95 ,Accuracy: 0.84 ,mcc scores: 0.70 ,roc-auc scores: 0.95 ,cohen scores: 0.69 
Threshold: 0.80 ,Senstivity: 0.59 ,Specificity: 0.97 ,Accuracy: 0.79 ,mcc scores: 0.62 ,roc-auc scores: 0.95 ,cohen scores: 0.58 
Threshold: 0.85 ,Senstivity: 0.59 ,Specificity: 0.97 ,Accuracy: 0.79 ,mcc scores: 0.62 ,roc-auc scores: 0.95 ,cohen scores: 0.58 
Threshold: 0.90 ,Senstivity: 0.38 ,Specificity: 1.00 ,Accuracy: 0.70 ,mcc scores: 0.49 ,roc-auc scores: 0.95 ,cohen scores: 0.39 
Threshold: 0.95 ,Senstivity: 0.38 ,Specificity: 1.00 ,Accuracy: 0.70 ,mcc scores: 0.49 ,roc-auc scores: 0.95 ,cohen scores: 0.39 
