Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 0.98 ,Specificity: 0.37 ,Accuracy: 0.67 ,mcc scores: 0.45 ,roc-auc scores: 0.93 ,cohen scores: 0.35 
Threshold: 0.10 ,Senstivity: 0.96 ,Specificity: 0.53 ,Accuracy: 0.74 ,mcc scores: 0.54 ,roc-auc scores: 0.93 ,cohen scores: 0.49 
Threshold: 0.15 ,Senstivity: 0.95 ,Specificity: 0.67 ,Accuracy: 0.81 ,mcc scores: 0.65 ,roc-auc scores: 0.93 ,cohen scores: 0.62 
Threshold: 0.20 ,Senstivity: 0.93 ,Specificity: 0.73 ,Accuracy: 0.83 ,mcc scores: 0.68 ,roc-auc scores: 0.93 ,cohen scores: 0.66 
Threshold: 0.25 ,Senstivity: 0.91 ,Specificity: 0.78 ,Accuracy: 0.85 ,mcc scores: 0.70 ,roc-auc scores: 0.93 ,cohen scores: 0.70 
Threshold: 0.30 ,Senstivity: 0.90 ,Specificity: 0.80 ,Accuracy: 0.85 ,mcc scores: 0.70 ,roc-auc scores: 0.93 ,cohen scores: 0.70 
Threshold: 0.35 ,Senstivity: 0.88 ,Specificity: 0.84 ,Accuracy: 0.86 ,mcc scores: 0.72 ,roc-auc scores: 0.93 ,cohen scores: 0.72 
Threshold: 0.40 ,Senstivity: 0.88 ,Specificity: 0.85 ,Accuracy: 0.86 ,mcc scores: 0.72 ,roc-auc scores: 0.93 ,cohen scores: 0.72 
Threshold: 0.45 ,Senstivity: 0.87 ,Specificity: 0.86 ,Accuracy: 0.86 ,mcc scores: 0.72 ,roc-auc scores: 0.93 ,cohen scores: 0.72 
Threshold: 0.50 ,Senstivity: 0.85 ,Specificity: 0.87 ,Accuracy: 0.86 ,mcc scores: 0.73 ,roc-auc scores: 0.93 ,cohen scores: 0.73 
Threshold: 0.55 ,Senstivity: 0.82 ,Specificity: 0.89 ,Accuracy: 0.86 ,mcc scores: 0.71 ,roc-auc scores: 0.93 ,cohen scores: 0.71 
Threshold: 0.60 ,Senstivity: 0.81 ,Specificity: 0.93 ,Accuracy: 0.87 ,mcc scores: 0.74 ,roc-auc scores: 0.93 ,cohen scores: 0.74 
Threshold: 0.65 ,Senstivity: 0.79 ,Specificity: 0.94 ,Accuracy: 0.87 ,mcc scores: 0.74 ,roc-auc scores: 0.93 ,cohen scores: 0.73 
Threshold: 0.70 ,Senstivity: 0.76 ,Specificity: 0.97 ,Accuracy: 0.86 ,mcc scores: 0.74 ,roc-auc scores: 0.93 ,cohen scores: 0.73 
Threshold: 0.75 ,Senstivity: 0.75 ,Specificity: 0.97 ,Accuracy: 0.86 ,mcc scores: 0.73 ,roc-auc scores: 0.93 ,cohen scores: 0.72 
Threshold: 0.80 ,Senstivity: 0.70 ,Specificity: 0.97 ,Accuracy: 0.84 ,mcc scores: 0.71 ,roc-auc scores: 0.93 ,cohen scores: 0.68 
Threshold: 0.85 ,Senstivity: 0.65 ,Specificity: 0.98 ,Accuracy: 0.81 ,mcc scores: 0.67 ,roc-auc scores: 0.93 ,cohen scores: 0.63 
Threshold: 0.90 ,Senstivity: 0.60 ,Specificity: 0.98 ,Accuracy: 0.79 ,mcc scores: 0.63 ,roc-auc scores: 0.93 ,cohen scores: 0.58 
Threshold: 0.95 ,Senstivity: 0.51 ,Specificity: 0.98 ,Accuracy: 0.75 ,mcc scores: 0.56 ,roc-auc scores: 0.93 ,cohen scores: 0.49 
