Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.17 ,Accuracy: 0.57 ,mcc scores: 0.30 ,roc-auc scores: 0.95 ,cohen scores: 0.17 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.15 ,Accuracy: 0.56 ,mcc scores: 0.28 ,roc-auc scores: 0.94 ,cohen scores: 0.15 
Threshold: 0.15 ,Senstivity: 0.97 ,Specificity: 0.45 ,Accuracy: 0.70 ,mcc scores: 0.49 ,roc-auc scores: 0.94 ,cohen scores: 0.41 
Threshold: 0.20 ,Senstivity: 0.97 ,Specificity: 0.62 ,Accuracy: 0.79 ,mcc scores: 0.63 ,roc-auc scores: 0.95 ,cohen scores: 0.59 
Threshold: 0.25 ,Senstivity: 0.95 ,Specificity: 0.68 ,Accuracy: 0.81 ,mcc scores: 0.64 ,roc-auc scores: 0.91 ,cohen scores: 0.61 
Threshold: 0.30 ,Senstivity: 0.92 ,Specificity: 0.90 ,Accuracy: 0.91 ,mcc scores: 0.82 ,roc-auc scores: 0.94 ,cohen scores: 0.82 
Threshold: 0.35 ,Senstivity: 0.92 ,Specificity: 0.88 ,Accuracy: 0.90 ,mcc scores: 0.79 ,roc-auc scores: 0.94 ,cohen scores: 0.79 
Threshold: 0.40 ,Senstivity: 0.84 ,Specificity: 0.93 ,Accuracy: 0.88 ,mcc scores: 0.77 ,roc-auc scores: 0.95 ,cohen scores: 0.77 
Threshold: 0.45 ,Senstivity: 0.76 ,Specificity: 0.90 ,Accuracy: 0.83 ,mcc scores: 0.67 ,roc-auc scores: 0.94 ,cohen scores: 0.66 
Threshold: 0.50 ,Senstivity: 0.76 ,Specificity: 0.93 ,Accuracy: 0.84 ,mcc scores: 0.69 ,roc-auc scores: 0.92 ,cohen scores: 0.69 
Threshold: 0.55 ,Senstivity: 0.76 ,Specificity: 0.93 ,Accuracy: 0.84 ,mcc scores: 0.69 ,roc-auc scores: 0.94 ,cohen scores: 0.69 
Threshold: 0.60 ,Senstivity: 0.59 ,Specificity: 0.97 ,Accuracy: 0.79 ,mcc scores: 0.62 ,roc-auc scores: 0.94 ,cohen scores: 0.58 
Threshold: 0.65 ,Senstivity: 0.62 ,Specificity: 0.95 ,Accuracy: 0.79 ,mcc scores: 0.61 ,roc-auc scores: 0.94 ,cohen scores: 0.58 
Threshold: 0.70 ,Senstivity: 0.54 ,Specificity: 1.00 ,Accuracy: 0.78 ,mcc scores: 0.62 ,roc-auc scores: 0.92 ,cohen scores: 0.55 
Threshold: 0.75 ,Senstivity: 0.59 ,Specificity: 1.00 ,Accuracy: 0.81 ,mcc scores: 0.66 ,roc-auc scores: 0.95 ,cohen scores: 0.60 
Threshold: 0.80 ,Senstivity: 0.54 ,Specificity: 1.00 ,Accuracy: 0.78 ,mcc scores: 0.62 ,roc-auc scores: 0.94 ,cohen scores: 0.55 
Threshold: 0.85 ,Senstivity: 0.46 ,Specificity: 1.00 ,Accuracy: 0.74 ,mcc scores: 0.55 ,roc-auc scores: 0.94 ,cohen scores: 0.47 
Threshold: 0.90 ,Senstivity: 0.46 ,Specificity: 1.00 ,Accuracy: 0.74 ,mcc scores: 0.55 ,roc-auc scores: 0.95 ,cohen scores: 0.47 
Threshold: 0.95 ,Senstivity: 0.32 ,Specificity: 1.00 ,Accuracy: 0.68 ,mcc scores: 0.45 ,roc-auc scores: 0.95 ,cohen scores: 0.33 
