Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.96 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.49 ,mcc scores: 0.06 ,roc-auc scores: 0.96 ,cohen scores: 0.01 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.49 ,mcc scores: 0.06 ,roc-auc scores: 0.96 ,cohen scores: 0.01 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.49 ,mcc scores: 0.08 ,roc-auc scores: 0.96 ,cohen scores: 0.01 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.02 ,Accuracy: 0.49 ,mcc scores: 0.10 ,roc-auc scores: 0.96 ,cohen scores: 0.02 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.50 ,mcc scores: 0.13 ,roc-auc scores: 0.96 ,cohen scores: 0.03 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.04 ,Accuracy: 0.51 ,mcc scores: 0.14 ,roc-auc scores: 0.96 ,cohen scores: 0.04 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.04 ,Accuracy: 0.51 ,mcc scores: 0.14 ,roc-auc scores: 0.96 ,cohen scores: 0.04 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.05 ,Accuracy: 0.51 ,mcc scores: 0.16 ,roc-auc scores: 0.96 ,cohen scores: 0.05 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.09 ,Accuracy: 0.53 ,mcc scores: 0.21 ,roc-auc scores: 0.96 ,cohen scores: 0.08 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.14 ,Accuracy: 0.56 ,mcc scores: 0.27 ,roc-auc scores: 0.96 ,cohen scores: 0.13 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.18 ,Accuracy: 0.58 ,mcc scores: 0.31 ,roc-auc scores: 0.96 ,cohen scores: 0.18 
Threshold: -1.80 ,Senstivity: 0.99 ,Specificity: 0.25 ,Accuracy: 0.61 ,mcc scores: 0.36 ,roc-auc scores: 0.96 ,cohen scores: 0.24 
Threshold: -1.70 ,Senstivity: 0.99 ,Specificity: 0.28 ,Accuracy: 0.63 ,mcc scores: 0.39 ,roc-auc scores: 0.96 ,cohen scores: 0.27 
Threshold: -1.60 ,Senstivity: 0.99 ,Specificity: 0.32 ,Accuracy: 0.65 ,mcc scores: 0.42 ,roc-auc scores: 0.96 ,cohen scores: 0.31 
Threshold: -1.50 ,Senstivity: 0.99 ,Specificity: 0.38 ,Accuracy: 0.68 ,mcc scores: 0.47 ,roc-auc scores: 0.96 ,cohen scores: 0.37 
Threshold: -1.40 ,Senstivity: 0.99 ,Specificity: 0.46 ,Accuracy: 0.72 ,mcc scores: 0.53 ,roc-auc scores: 0.96 ,cohen scores: 0.45 
Threshold: -1.30 ,Senstivity: 0.99 ,Specificity: 0.49 ,Accuracy: 0.73 ,mcc scores: 0.55 ,roc-auc scores: 0.96 ,cohen scores: 0.47 
Threshold: -1.20 ,Senstivity: 0.99 ,Specificity: 0.55 ,Accuracy: 0.77 ,mcc scores: 0.60 ,roc-auc scores: 0.96 ,cohen scores: 0.54 
Threshold: -1.10 ,Senstivity: 0.98 ,Specificity: 0.60 ,Accuracy: 0.78 ,mcc scores: 0.62 ,roc-auc scores: 0.96 ,cohen scores: 0.57 
