Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.02 ,Accuracy: 0.49 ,mcc scores: 0.10 ,roc-auc scores: 0.95 ,cohen scores: 0.02 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.02 ,Accuracy: 0.49 ,mcc scores: 0.10 ,roc-auc scores: 0.95 ,cohen scores: 0.02 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.50 ,mcc scores: 0.13 ,roc-auc scores: 0.95 ,cohen scores: 0.03 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.06 ,Accuracy: 0.52 ,mcc scores: 0.17 ,roc-auc scores: 0.95 ,cohen scores: 0.06 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.07 ,Accuracy: 0.52 ,mcc scores: 0.19 ,roc-auc scores: 0.95 ,cohen scores: 0.07 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.07 ,Accuracy: 0.52 ,mcc scores: 0.19 ,roc-auc scores: 0.95 ,cohen scores: 0.07 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.11 ,Accuracy: 0.54 ,mcc scores: 0.23 ,roc-auc scores: 0.95 ,cohen scores: 0.10 
Threshold: -2.30 ,Senstivity: 0.99 ,Specificity: 0.15 ,Accuracy: 0.56 ,mcc scores: 0.26 ,roc-auc scores: 0.95 ,cohen scores: 0.14 
Threshold: -2.20 ,Senstivity: 0.99 ,Specificity: 0.16 ,Accuracy: 0.57 ,mcc scores: 0.28 ,roc-auc scores: 0.95 ,cohen scores: 0.15 
Threshold: -2.10 ,Senstivity: 0.99 ,Specificity: 0.21 ,Accuracy: 0.59 ,mcc scores: 0.32 ,roc-auc scores: 0.95 ,cohen scores: 0.20 
Threshold: -2.00 ,Senstivity: 0.99 ,Specificity: 0.22 ,Accuracy: 0.60 ,mcc scores: 0.33 ,roc-auc scores: 0.95 ,cohen scores: 0.21 
Threshold: -1.90 ,Senstivity: 0.99 ,Specificity: 0.24 ,Accuracy: 0.60 ,mcc scores: 0.35 ,roc-auc scores: 0.95 ,cohen scores: 0.22 
Threshold: -1.80 ,Senstivity: 0.99 ,Specificity: 0.30 ,Accuracy: 0.64 ,mcc scores: 0.40 ,roc-auc scores: 0.95 ,cohen scores: 0.29 
Threshold: -1.70 ,Senstivity: 0.99 ,Specificity: 0.32 ,Accuracy: 0.64 ,mcc scores: 0.40 ,roc-auc scores: 0.95 ,cohen scores: 0.30 
Threshold: -1.60 ,Senstivity: 0.99 ,Specificity: 0.35 ,Accuracy: 0.66 ,mcc scores: 0.43 ,roc-auc scores: 0.95 ,cohen scores: 0.33 
Threshold: -1.50 ,Senstivity: 0.99 ,Specificity: 0.39 ,Accuracy: 0.68 ,mcc scores: 0.47 ,roc-auc scores: 0.95 ,cohen scores: 0.37 
Threshold: -1.40 ,Senstivity: 0.99 ,Specificity: 0.42 ,Accuracy: 0.69 ,mcc scores: 0.49 ,roc-auc scores: 0.95 ,cohen scores: 0.40 
Threshold: -1.30 ,Senstivity: 0.97 ,Specificity: 0.44 ,Accuracy: 0.70 ,mcc scores: 0.48 ,roc-auc scores: 0.95 ,cohen scores: 0.41 
Threshold: -1.20 ,Senstivity: 0.97 ,Specificity: 0.49 ,Accuracy: 0.72 ,mcc scores: 0.52 ,roc-auc scores: 0.95 ,cohen scores: 0.45 
Threshold: -1.10 ,Senstivity: 0.96 ,Specificity: 0.57 ,Accuracy: 0.76 ,mcc scores: 0.57 ,roc-auc scores: 0.95 ,cohen scores: 0.52 
Threshold: -1.00 ,Senstivity: 0.94 ,Specificity: 0.61 ,Accuracy: 0.77 ,mcc scores: 0.58 ,roc-auc scores: 0.95 ,cohen scores: 0.54 
Threshold: -0.90 ,Senstivity: 0.94 ,Specificity: 0.64 ,Accuracy: 0.79 ,mcc scores: 0.61 ,roc-auc scores: 0.95 ,cohen scores: 0.58 
Threshold: -0.80 ,Senstivity: 0.93 ,Specificity: 0.71 ,Accuracy: 0.82 ,mcc scores: 0.65 ,roc-auc scores: 0.95 ,cohen scores: 0.64 
Threshold: -0.70 ,Senstivity: 0.92 ,Specificity: 0.78 ,Accuracy: 0.85 ,mcc scores: 0.70 ,roc-auc scores: 0.95 ,cohen scores: 0.70 
Threshold: -0.60 ,Senstivity: 0.92 ,Specificity: 0.84 ,Accuracy: 0.88 ,mcc scores: 0.76 ,roc-auc scores: 0.95 ,cohen scores: 0.76 
Threshold: -0.50 ,Senstivity: 0.92 ,Specificity: 0.86 ,Accuracy: 0.89 ,mcc scores: 0.78 ,roc-auc scores: 0.95 ,cohen scores: 0.78 
Threshold: -0.40 ,Senstivity: 0.92 ,Specificity: 0.88 ,Accuracy: 0.90 ,mcc scores: 0.80 ,roc-auc scores: 0.95 ,cohen scores: 0.80 
Threshold: -0.30 ,Senstivity: 0.91 ,Specificity: 0.89 ,Accuracy: 0.90 ,mcc scores: 0.80 ,roc-auc scores: 0.95 ,cohen scores: 0.80 
Threshold: -0.20 ,Senstivity: 0.91 ,Specificity: 0.92 ,Accuracy: 0.92 ,mcc scores: 0.83 ,roc-auc scores: 0.95 ,cohen scores: 0.83 
Threshold: -0.10 ,Senstivity: 0.90 ,Specificity: 0.92 ,Accuracy: 0.91 ,mcc scores: 0.82 ,roc-auc scores: 0.95 ,cohen scores: 0.82 
Threshold: 0.00 ,Senstivity: 0.89 ,Specificity: 0.93 ,Accuracy: 0.91 ,mcc scores: 0.82 ,roc-auc scores: 0.95 ,cohen scores: 0.82 
Threshold: 0.10 ,Senstivity: 0.87 ,Specificity: 0.94 ,Accuracy: 0.91 ,mcc scores: 0.81 ,roc-auc scores: 0.95 ,cohen scores: 0.81 
Threshold: 0.20 ,Senstivity: 0.85 ,Specificity: 0.96 ,Accuracy: 0.91 ,mcc scores: 0.82 ,roc-auc scores: 0.95 ,cohen scores: 0.82 
Threshold: 0.30 ,Senstivity: 0.84 ,Specificity: 0.97 ,Accuracy: 0.91 ,mcc scores: 0.82 ,roc-auc scores: 0.95 ,cohen scores: 0.81 
