Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.50 ,mcc scores: 0.12 ,roc-auc scores: 0.90 ,cohen scores: 0.03 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.05 ,Accuracy: 0.51 ,mcc scores: 0.16 ,roc-auc scores: 0.90 ,cohen scores: 0.05 
Threshold: -1.80 ,Senstivity: 1.00 ,Specificity: 0.08 ,Accuracy: 0.53 ,mcc scores: 0.20 ,roc-auc scores: 0.90 ,cohen scores: 0.08 
Threshold: -1.70 ,Senstivity: 1.00 ,Specificity: 0.11 ,Accuracy: 0.54 ,mcc scores: 0.24 ,roc-auc scores: 0.90 ,cohen scores: 0.11 
Threshold: -1.60 ,Senstivity: 1.00 ,Specificity: 0.14 ,Accuracy: 0.56 ,mcc scores: 0.27 ,roc-auc scores: 0.90 ,cohen scores: 0.13 
Threshold: -1.50 ,Senstivity: 1.00 ,Specificity: 0.22 ,Accuracy: 0.60 ,mcc scores: 0.34 ,roc-auc scores: 0.90 ,cohen scores: 0.21 
Threshold: -1.40 ,Senstivity: 0.97 ,Specificity: 0.24 ,Accuracy: 0.60 ,mcc scores: 0.31 ,roc-auc scores: 0.90 ,cohen scores: 0.21 
Threshold: -1.30 ,Senstivity: 0.97 ,Specificity: 0.32 ,Accuracy: 0.64 ,mcc scores: 0.38 ,roc-auc scores: 0.90 ,cohen scores: 0.29 
Threshold: -1.20 ,Senstivity: 0.97 ,Specificity: 0.35 ,Accuracy: 0.65 ,mcc scores: 0.41 ,roc-auc scores: 0.90 ,cohen scores: 0.32 
Threshold: -1.10 ,Senstivity: 0.97 ,Specificity: 0.35 ,Accuracy: 0.65 ,mcc scores: 0.41 ,roc-auc scores: 0.90 ,cohen scores: 0.32 
Threshold: -1.00 ,Senstivity: 0.91 ,Specificity: 0.46 ,Accuracy: 0.68 ,mcc scores: 0.42 ,roc-auc scores: 0.90 ,cohen scores: 0.37 
Threshold: -0.90 ,Senstivity: 0.91 ,Specificity: 0.49 ,Accuracy: 0.69 ,mcc scores: 0.44 ,roc-auc scores: 0.90 ,cohen scores: 0.40 
Threshold: -0.80 ,Senstivity: 0.91 ,Specificity: 0.62 ,Accuracy: 0.76 ,mcc scores: 0.56 ,roc-auc scores: 0.90 ,cohen scores: 0.53 
Threshold: -0.70 ,Senstivity: 0.91 ,Specificity: 0.65 ,Accuracy: 0.78 ,mcc scores: 0.58 ,roc-auc scores: 0.90 ,cohen scores: 0.56 
Threshold: -0.60 ,Senstivity: 0.91 ,Specificity: 0.65 ,Accuracy: 0.78 ,mcc scores: 0.58 ,roc-auc scores: 0.90 ,cohen scores: 0.56 
Threshold: -0.50 ,Senstivity: 0.89 ,Specificity: 0.68 ,Accuracy: 0.78 ,mcc scores: 0.57 ,roc-auc scores: 0.90 ,cohen scores: 0.56 
Threshold: -0.40 ,Senstivity: 0.89 ,Specificity: 0.76 ,Accuracy: 0.82 ,mcc scores: 0.65 ,roc-auc scores: 0.90 ,cohen scores: 0.64 
Threshold: -0.30 ,Senstivity: 0.89 ,Specificity: 0.78 ,Accuracy: 0.83 ,mcc scores: 0.67 ,roc-auc scores: 0.90 ,cohen scores: 0.67 
Threshold: -0.20 ,Senstivity: 0.89 ,Specificity: 0.84 ,Accuracy: 0.86 ,mcc scores: 0.72 ,roc-auc scores: 0.90 ,cohen scores: 0.72 
Threshold: -0.10 ,Senstivity: 0.89 ,Specificity: 0.86 ,Accuracy: 0.88 ,mcc scores: 0.75 ,roc-auc scores: 0.90 ,cohen scores: 0.75 
Threshold: 0.00 ,Senstivity: 0.86 ,Specificity: 0.89 ,Accuracy: 0.88 ,mcc scores: 0.75 ,roc-auc scores: 0.90 ,cohen scores: 0.75 
Threshold: 0.10 ,Senstivity: 0.86 ,Specificity: 0.89 ,Accuracy: 0.88 ,mcc scores: 0.75 ,roc-auc scores: 0.90 ,cohen scores: 0.75 
Threshold: 0.20 ,Senstivity: 0.83 ,Specificity: 0.89 ,Accuracy: 0.86 ,mcc scores: 0.72 ,roc-auc scores: 0.90 ,cohen scores: 0.72 
Threshold: 0.30 ,Senstivity: 0.83 ,Specificity: 0.89 ,Accuracy: 0.86 ,mcc scores: 0.72 ,roc-auc scores: 0.90 ,cohen scores: 0.72 
Threshold: 0.40 ,Senstivity: 0.80 ,Specificity: 0.89 ,Accuracy: 0.85 ,mcc scores: 0.70 ,roc-auc scores: 0.90 ,cohen scores: 0.69 
Threshold: 0.50 ,Senstivity: 0.77 ,Specificity: 0.92 ,Accuracy: 0.85 ,mcc scores: 0.70 ,roc-auc scores: 0.90 ,cohen scores: 0.69 
Threshold: 0.60 ,Senstivity: 0.71 ,Specificity: 0.92 ,Accuracy: 0.82 ,mcc scores: 0.65 ,roc-auc scores: 0.90 ,cohen scores: 0.64 
Threshold: 0.70 ,Senstivity: 0.69 ,Specificity: 0.97 ,Accuracy: 0.83 ,mcc scores: 0.69 ,roc-auc scores: 0.90 ,cohen scores: 0.66 
Threshold: 0.80 ,Senstivity: 0.69 ,Specificity: 0.97 ,Accuracy: 0.83 ,mcc scores: 0.69 ,roc-auc scores: 0.90 ,cohen scores: 0.66 
Threshold: 0.90 ,Senstivity: 0.66 ,Specificity: 0.97 ,Accuracy: 0.82 ,mcc scores: 0.67 ,roc-auc scores: 0.90 ,cohen scores: 0.64 
Threshold: 1.00 ,Senstivity: 0.60 ,Specificity: 0.97 ,Accuracy: 0.79 ,mcc scores: 0.62 ,roc-auc scores: 0.90 ,cohen scores: 0.58 
Threshold: 1.10 ,Senstivity: 0.57 ,Specificity: 0.97 ,Accuracy: 0.78 ,mcc scores: 0.60 ,roc-auc scores: 0.90 ,cohen scores: 0.55 
Threshold: 1.20 ,Senstivity: 0.51 ,Specificity: 0.97 ,Accuracy: 0.75 ,mcc scores: 0.55 ,roc-auc scores: 0.90 ,cohen scores: 0.49 
Threshold: 1.30 ,Senstivity: 0.46 ,Specificity: 0.97 ,Accuracy: 0.72 ,mcc scores: 0.51 ,roc-auc scores: 0.90 ,cohen scores: 0.44 
Threshold: 1.40 ,Senstivity: 0.31 ,Specificity: 0.97 ,Accuracy: 0.65 ,mcc scores: 0.39 ,roc-auc scores: 0.90 ,cohen scores: 0.29 
Threshold: 1.50 ,Senstivity: 0.20 ,Specificity: 1.00 ,Accuracy: 0.61 ,mcc scores: 0.34 ,roc-auc scores: 0.90 ,cohen scores: 0.20 
Threshold: 1.60 ,Senstivity: 0.14 ,Specificity: 1.00 ,Accuracy: 0.58 ,mcc scores: 0.28 ,roc-auc scores: 0.90 ,cohen scores: 0.15 
Threshold: 1.70 ,Senstivity: 0.11 ,Specificity: 1.00 ,Accuracy: 0.57 ,mcc scores: 0.25 ,roc-auc scores: 0.90 ,cohen scores: 0.12 
Threshold: 1.80 ,Senstivity: 0.09 ,Specificity: 1.00 ,Accuracy: 0.56 ,mcc scores: 0.21 ,roc-auc scores: 0.90 ,cohen scores: 0.09 
Threshold: 1.90 ,Senstivity: 0.06 ,Specificity: 1.00 ,Accuracy: 0.54 ,mcc scores: 0.17 ,roc-auc scores: 0.90 ,cohen scores: 0.06 
Threshold: 2.00 ,Senstivity: 0.03 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.12 ,roc-auc scores: 0.90 ,cohen scores: 0.03 
Threshold: 2.10 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.20 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.30 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.40 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.50 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.60 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.70 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.80 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.90 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
