Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.53 ,mcc scores: 0.06 ,roc-auc scores: 0.90 ,cohen scores: 0.01 
Threshold: 0.20 ,Senstivity: 0.99 ,Specificity: 0.06 ,Accuracy: 0.55 ,mcc scores: 0.15 ,roc-auc scores: 0.90 ,cohen scores: 0.06 
Threshold: 0.25 ,Senstivity: 0.98 ,Specificity: 0.10 ,Accuracy: 0.56 ,mcc scores: 0.18 ,roc-auc scores: 0.90 ,cohen scores: 0.09 
Threshold: 0.30 ,Senstivity: 0.97 ,Specificity: 0.27 ,Accuracy: 0.64 ,mcc scores: 0.35 ,roc-auc scores: 0.90 ,cohen scores: 0.26 
Threshold: 0.35 ,Senstivity: 0.92 ,Specificity: 0.45 ,Accuracy: 0.70 ,mcc scores: 0.42 ,roc-auc scores: 0.90 ,cohen scores: 0.38 
Threshold: 0.40 ,Senstivity: 0.89 ,Specificity: 0.66 ,Accuracy: 0.78 ,mcc scores: 0.57 ,roc-auc scores: 0.90 ,cohen scores: 0.56 
Threshold: 0.45 ,Senstivity: 0.83 ,Specificity: 0.77 ,Accuracy: 0.80 ,mcc scores: 0.61 ,roc-auc scores: 0.90 ,cohen scores: 0.61 
Threshold: 0.50 ,Senstivity: 0.80 ,Specificity: 0.88 ,Accuracy: 0.84 ,mcc scores: 0.68 ,roc-auc scores: 0.90 ,cohen scores: 0.67 
Threshold: 0.55 ,Senstivity: 0.74 ,Specificity: 0.95 ,Accuracy: 0.84 ,mcc scores: 0.69 ,roc-auc scores: 0.90 ,cohen scores: 0.68 
Threshold: 0.60 ,Senstivity: 0.64 ,Specificity: 0.97 ,Accuracy: 0.80 ,mcc scores: 0.63 ,roc-auc scores: 0.90 ,cohen scores: 0.60 
Threshold: 0.65 ,Senstivity: 0.57 ,Specificity: 0.98 ,Accuracy: 0.77 ,mcc scores: 0.59 ,roc-auc scores: 0.90 ,cohen scores: 0.54 
Threshold: 0.70 ,Senstivity: 0.49 ,Specificity: 0.99 ,Accuracy: 0.73 ,mcc scores: 0.55 ,roc-auc scores: 0.90 ,cohen scores: 0.48 
Threshold: 0.75 ,Senstivity: 0.41 ,Specificity: 0.99 ,Accuracy: 0.69 ,mcc scores: 0.49 ,roc-auc scores: 0.90 ,cohen scores: 0.39 
Threshold: 0.80 ,Senstivity: 0.34 ,Specificity: 1.00 ,Accuracy: 0.65 ,mcc scores: 0.44 ,roc-auc scores: 0.90 ,cohen scores: 0.33 
Threshold: 0.85 ,Senstivity: 0.26 ,Specificity: 1.00 ,Accuracy: 0.61 ,mcc scores: 0.38 ,roc-auc scores: 0.90 ,cohen scores: 0.25 
Threshold: 0.90 ,Senstivity: 0.19 ,Specificity: 1.00 ,Accuracy: 0.58 ,mcc scores: 0.32 ,roc-auc scores: 0.90 ,cohen scores: 0.19 
Threshold: 0.95 ,Senstivity: 0.09 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.21 ,roc-auc scores: 0.90 ,cohen scores: 0.09 
