Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.84 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.85 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.84 ,cohen scores: 0.00 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.84 ,cohen scores: 0.00 
Threshold: 0.20 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.50 ,mcc scores: 0.12 ,roc-auc scores: 0.82 ,cohen scores: 0.03 
Threshold: 0.25 ,Senstivity: 1.00 ,Specificity: 0.08 ,Accuracy: 0.53 ,mcc scores: 0.20 ,roc-auc scores: 0.86 ,cohen scores: 0.08 
Threshold: 0.30 ,Senstivity: 1.00 ,Specificity: 0.14 ,Accuracy: 0.56 ,mcc scores: 0.27 ,roc-auc scores: 0.86 ,cohen scores: 0.13 
Threshold: 0.35 ,Senstivity: 1.00 ,Specificity: 0.19 ,Accuracy: 0.58 ,mcc scores: 0.32 ,roc-auc scores: 0.86 ,cohen scores: 0.18 
Threshold: 0.40 ,Senstivity: 0.97 ,Specificity: 0.35 ,Accuracy: 0.65 ,mcc scores: 0.41 ,roc-auc scores: 0.83 ,cohen scores: 0.32 
Threshold: 0.45 ,Senstivity: 0.89 ,Specificity: 0.49 ,Accuracy: 0.68 ,mcc scores: 0.40 ,roc-auc scores: 0.84 ,cohen scores: 0.37 
Threshold: 0.50 ,Senstivity: 0.83 ,Specificity: 0.59 ,Accuracy: 0.71 ,mcc scores: 0.43 ,roc-auc scores: 0.84 ,cohen scores: 0.42 
Threshold: 0.55 ,Senstivity: 0.77 ,Specificity: 0.62 ,Accuracy: 0.69 ,mcc scores: 0.40 ,roc-auc scores: 0.84 ,cohen scores: 0.39 
Threshold: 0.60 ,Senstivity: 0.74 ,Specificity: 0.70 ,Accuracy: 0.72 ,mcc scores: 0.45 ,roc-auc scores: 0.84 ,cohen scores: 0.44 
Threshold: 0.65 ,Senstivity: 0.66 ,Specificity: 0.86 ,Accuracy: 0.76 ,mcc scores: 0.54 ,roc-auc scores: 0.82 ,cohen scores: 0.52 
Threshold: 0.70 ,Senstivity: 0.54 ,Specificity: 0.92 ,Accuracy: 0.74 ,mcc scores: 0.50 ,roc-auc scores: 0.77 ,cohen scores: 0.47 
Threshold: 0.75 ,Senstivity: 0.49 ,Specificity: 0.95 ,Accuracy: 0.72 ,mcc scores: 0.49 ,roc-auc scores: 0.85 ,cohen scores: 0.44 
Threshold: 0.80 ,Senstivity: 0.37 ,Specificity: 1.00 ,Accuracy: 0.69 ,mcc scores: 0.48 ,roc-auc scores: 0.85 ,cohen scores: 0.38 
Threshold: 0.85 ,Senstivity: 0.31 ,Specificity: 0.97 ,Accuracy: 0.65 ,mcc scores: 0.39 ,roc-auc scores: 0.84 ,cohen scores: 0.29 
Threshold: 0.90 ,Senstivity: 0.14 ,Specificity: 1.00 ,Accuracy: 0.58 ,mcc scores: 0.28 ,roc-auc scores: 0.84 ,cohen scores: 0.15 
Threshold: 0.95 ,Senstivity: 0.06 ,Specificity: 1.00 ,Accuracy: 0.54 ,mcc scores: 0.17 ,roc-auc scores: 0.78 ,cohen scores: 0.06 
