Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 0.99 ,Specificity: 0.01 ,Accuracy: 0.49 ,mcc scores: 0.03 ,roc-auc scores: 0.90 ,cohen scores: 0.01 
Threshold: 0.15 ,Senstivity: 0.99 ,Specificity: 0.06 ,Accuracy: 0.51 ,mcc scores: 0.14 ,roc-auc scores: 0.90 ,cohen scores: 0.05 
Threshold: 0.20 ,Senstivity: 0.99 ,Specificity: 0.14 ,Accuracy: 0.55 ,mcc scores: 0.23 ,roc-auc scores: 0.90 ,cohen scores: 0.12 
Threshold: 0.25 ,Senstivity: 0.97 ,Specificity: 0.28 ,Accuracy: 0.62 ,mcc scores: 0.35 ,roc-auc scores: 0.90 ,cohen scores: 0.25 
Threshold: 0.30 ,Senstivity: 0.95 ,Specificity: 0.48 ,Accuracy: 0.71 ,mcc scores: 0.48 ,roc-auc scores: 0.90 ,cohen scores: 0.42 
Threshold: 0.35 ,Senstivity: 0.88 ,Specificity: 0.69 ,Accuracy: 0.78 ,mcc scores: 0.58 ,roc-auc scores: 0.90 ,cohen scores: 0.57 
Threshold: 0.40 ,Senstivity: 0.85 ,Specificity: 0.83 ,Accuracy: 0.84 ,mcc scores: 0.67 ,roc-auc scores: 0.90 ,cohen scores: 0.67 
Threshold: 0.45 ,Senstivity: 0.80 ,Specificity: 0.88 ,Accuracy: 0.84 ,mcc scores: 0.69 ,roc-auc scores: 0.90 ,cohen scores: 0.69 
Threshold: 0.50 ,Senstivity: 0.73 ,Specificity: 0.89 ,Accuracy: 0.81 ,mcc scores: 0.63 ,roc-auc scores: 0.90 ,cohen scores: 0.63 
Threshold: 0.55 ,Senstivity: 0.65 ,Specificity: 0.95 ,Accuracy: 0.80 ,mcc scores: 0.63 ,roc-auc scores: 0.90 ,cohen scores: 0.60 
Threshold: 0.60 ,Senstivity: 0.61 ,Specificity: 0.97 ,Accuracy: 0.79 ,mcc scores: 0.62 ,roc-auc scores: 0.90 ,cohen scores: 0.58 
Threshold: 0.65 ,Senstivity: 0.55 ,Specificity: 0.97 ,Accuracy: 0.77 ,mcc scores: 0.58 ,roc-auc scores: 0.90 ,cohen scores: 0.53 
Threshold: 0.70 ,Senstivity: 0.48 ,Specificity: 0.99 ,Accuracy: 0.74 ,mcc scores: 0.54 ,roc-auc scores: 0.90 ,cohen scores: 0.47 
Threshold: 0.75 ,Senstivity: 0.41 ,Specificity: 1.00 ,Accuracy: 0.72 ,mcc scores: 0.52 ,roc-auc scores: 0.90 ,cohen scores: 0.42 
Threshold: 0.80 ,Senstivity: 0.34 ,Specificity: 1.00 ,Accuracy: 0.68 ,mcc scores: 0.45 ,roc-auc scores: 0.90 ,cohen scores: 0.34 
Threshold: 0.85 ,Senstivity: 0.29 ,Specificity: 1.00 ,Accuracy: 0.66 ,mcc scores: 0.42 ,roc-auc scores: 0.90 ,cohen scores: 0.30 
Threshold: 0.90 ,Senstivity: 0.22 ,Specificity: 1.00 ,Accuracy: 0.62 ,mcc scores: 0.36 ,roc-auc scores: 0.90 ,cohen scores: 0.23 
Threshold: 0.95 ,Senstivity: 0.11 ,Specificity: 1.00 ,Accuracy: 0.57 ,mcc scores: 0.25 ,roc-auc scores: 0.90 ,cohen scores: 0.11 
