Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -1.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -1.70 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.49 ,mcc scores: 0.06 ,roc-auc scores: 0.91 ,cohen scores: 0.01 
Threshold: -1.60 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.49 ,mcc scores: 0.06 ,roc-auc scores: 0.91 ,cohen scores: 0.01 
Threshold: -1.50 ,Senstivity: 1.00 ,Specificity: 0.02 ,Accuracy: 0.49 ,mcc scores: 0.10 ,roc-auc scores: 0.91 ,cohen scores: 0.02 
Threshold: -1.40 ,Senstivity: 1.00 ,Specificity: 0.02 ,Accuracy: 0.49 ,mcc scores: 0.10 ,roc-auc scores: 0.91 ,cohen scores: 0.02 
Threshold: -1.30 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.50 ,mcc scores: 0.11 ,roc-auc scores: 0.91 ,cohen scores: 0.03 
Threshold: -1.20 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.50 ,mcc scores: 0.11 ,roc-auc scores: 0.91 ,cohen scores: 0.03 
Threshold: -1.10 ,Senstivity: 1.00 ,Specificity: 0.04 ,Accuracy: 0.51 ,mcc scores: 0.14 ,roc-auc scores: 0.91 ,cohen scores: 0.04 
Threshold: -1.00 ,Senstivity: 1.00 ,Specificity: 0.07 ,Accuracy: 0.52 ,mcc scores: 0.18 ,roc-auc scores: 0.91 ,cohen scores: 0.06 
Threshold: -0.90 ,Senstivity: 1.00 ,Specificity: 0.13 ,Accuracy: 0.55 ,mcc scores: 0.26 ,roc-auc scores: 0.91 ,cohen scores: 0.13 
Threshold: -0.80 ,Senstivity: 1.00 ,Specificity: 0.22 ,Accuracy: 0.60 ,mcc scores: 0.34 ,roc-auc scores: 0.91 ,cohen scores: 0.21 
Threshold: -0.70 ,Senstivity: 0.99 ,Specificity: 0.28 ,Accuracy: 0.62 ,mcc scores: 0.37 ,roc-auc scores: 0.91 ,cohen scores: 0.26 
Threshold: -0.60 ,Senstivity: 0.97 ,Specificity: 0.37 ,Accuracy: 0.66 ,mcc scores: 0.42 ,roc-auc scores: 0.91 ,cohen scores: 0.33 
Threshold: -0.50 ,Senstivity: 0.97 ,Specificity: 0.45 ,Accuracy: 0.70 ,mcc scores: 0.48 ,roc-auc scores: 0.91 ,cohen scores: 0.41 
Threshold: -0.40 ,Senstivity: 0.91 ,Specificity: 0.59 ,Accuracy: 0.75 ,mcc scores: 0.53 ,roc-auc scores: 0.91 ,cohen scores: 0.50 
Threshold: -0.30 ,Senstivity: 0.88 ,Specificity: 0.71 ,Accuracy: 0.79 ,mcc scores: 0.60 ,roc-auc scores: 0.91 ,cohen scores: 0.59 
Threshold: -0.20 ,Senstivity: 0.85 ,Specificity: 0.80 ,Accuracy: 0.83 ,mcc scores: 0.66 ,roc-auc scores: 0.91 ,cohen scores: 0.65 
Threshold: -0.10 ,Senstivity: 0.82 ,Specificity: 0.85 ,Accuracy: 0.83 ,mcc scores: 0.67 ,roc-auc scores: 0.91 ,cohen scores: 0.67 
Threshold: 0.00 ,Senstivity: 0.78 ,Specificity: 0.89 ,Accuracy: 0.84 ,mcc scores: 0.68 ,roc-auc scores: 0.91 ,cohen scores: 0.68 
Threshold: 0.10 ,Senstivity: 0.76 ,Specificity: 0.94 ,Accuracy: 0.85 ,mcc scores: 0.71 ,roc-auc scores: 0.91 ,cohen scores: 0.70 
Threshold: 0.20 ,Senstivity: 0.69 ,Specificity: 0.97 ,Accuracy: 0.83 ,mcc scores: 0.68 ,roc-auc scores: 0.91 ,cohen scores: 0.66 
