extra_trees_bin_c5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.50,0.00,0.89,0.00
0.05,1.00,0.00,0.50,0.00,0.89,0.00
0.10,1.00,0.01,0.50,0.07,0.89,0.01
0.15,1.00,0.03,0.51,0.11,0.89,0.03
0.20,1.00,0.07,0.53,0.19,0.89,0.07
0.25,0.98,0.18,0.58,0.26,0.89,0.15
0.30,0.96,0.33,0.64,0.37,0.89,0.29
0.35,0.91,0.52,0.71,0.46,0.89,0.43
0.40,0.85,0.70,0.78,0.56,0.89,0.55
0.45,0.80,0.84,0.82,0.63,0.89,0.63
0.50,0.74,0.90,0.82,0.65,0.89,0.64
0.55,0.68,0.94,0.81,0.65,0.89,0.63
0.60,0.60,0.98,0.79,0.62,0.89,0.58
0.65,0.55,0.99,0.77,0.61,0.89,0.54
0.70,0.51,0.99,0.75,0.58,0.89,0.51
0.75,0.39,0.99,0.70,0.49,0.89,0.39
0.80,0.32,0.99,0.66,0.43,0.89,0.32
0.85,0.19,1.00,0.60,0.33,0.89,0.19
0.90,0.12,1.00,0.56,0.26,0.89,0.12
0.95,0.06,1.00,0.53,0.18,0.89,0.06

extra_trees_kfold_bin_c5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.48,0.00,0.82,0.00
0.05,1.00,0.00,0.48,0.00,0.81,0.00
0.10,1.00,0.03,0.49,0.11,0.80,0.02
0.15,1.00,0.10,0.53,0.23,0.82,0.10
0.20,0.95,0.10,0.51,0.09,0.83,0.04
0.25,0.97,0.23,0.58,0.29,0.82,0.19
0.30,0.97,0.42,0.69,0.47,0.85,0.39
0.35,0.89,0.55,0.71,0.47,0.83,0.44
0.40,0.76,0.68,0.71,0.43,0.81,0.43
0.45,0.68,0.78,0.73,0.45,0.82,0.45
0.50,0.65,0.90,0.78,0.57,0.84,0.55
0.55,0.65,0.85,0.75,0.51,0.82,0.50
0.60,0.57,0.90,0.74,0.50,0.79,0.47
0.65,0.51,0.95,0.74,0.52,0.82,0.47
0.70,0.49,0.95,0.73,0.50,0.81,0.44
0.75,0.46,0.95,0.71,0.47,0.82,0.42
0.80,0.35,0.95,0.66,0.38,0.83,0.31
0.85,0.27,0.95,0.62,0.30,0.83,0.23
0.90,0.14,1.00,0.58,0.27,0.80,0.14
0.95,0.08,1.00,0.56,0.21,0.83,0.08

knn_bin_c5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.50,0.00,0.68,0.00
0.05,0.92,0.44,0.68,0.40,0.68,0.35
0.10,0.92,0.44,0.68,0.40,0.68,0.35
0.15,0.92,0.44,0.68,0.40,0.68,0.35
0.20,0.92,0.44,0.68,0.40,0.68,0.35
0.25,0.92,0.44,0.68,0.40,0.68,0.35
0.30,0.92,0.44,0.68,0.40,0.68,0.35
0.35,0.92,0.44,0.68,0.40,0.68,0.35
0.40,0.92,0.44,0.68,0.40,0.68,0.35
0.45,0.92,0.44,0.68,0.40,0.68,0.35
0.50,0.92,0.44,0.68,0.40,0.68,0.35
0.55,0.92,0.44,0.68,0.40,0.68,0.35
0.60,0.92,0.44,0.68,0.40,0.68,0.35
0.65,0.92,0.44,0.68,0.40,0.68,0.35
0.70,0.92,0.44,0.68,0.40,0.68,0.35
0.75,0.92,0.44,0.68,0.40,0.68,0.35
0.80,0.92,0.44,0.68,0.40,0.68,0.35
0.85,0.92,0.44,0.68,0.40,0.68,0.35
0.90,0.92,0.44,0.68,0.40,0.68,0.35
0.95,0.92,0.44,0.68,0.40,0.68,0.35

knn_kfold_bin_c5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.48,0.00,0.56,0.00
0.05,0.73,0.40,0.56,0.14,0.56,0.13
0.10,0.73,0.40,0.56,0.14,0.56,0.13
0.15,0.73,0.40,0.56,0.14,0.56,0.13
0.20,0.73,0.40,0.56,0.14,0.56,0.13
0.25,0.73,0.40,0.56,0.14,0.56,0.13
0.30,0.73,0.40,0.56,0.14,0.56,0.13
0.35,0.73,0.40,0.56,0.14,0.56,0.13
0.40,0.73,0.40,0.56,0.14,0.56,0.13
0.45,0.73,0.40,0.56,0.14,0.56,0.13
0.50,0.73,0.40,0.56,0.14,0.56,0.13
0.55,0.73,0.40,0.56,0.14,0.56,0.13
0.60,0.73,0.40,0.56,0.14,0.56,0.13
0.65,0.73,0.40,0.56,0.14,0.56,0.13
0.70,0.73,0.40,0.56,0.14,0.56,0.13
0.75,0.73,0.40,0.56,0.14,0.56,0.13
0.80,0.73,0.40,0.56,0.14,0.56,0.13
0.85,0.73,0.40,0.56,0.14,0.56,0.13
0.90,0.73,0.40,0.56,0.14,0.56,0.13
0.95,0.73,0.40,0.56,0.14,0.56,0.13

mlp_bin_c5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.50,0.00,0.87,0.00
0.05,0.98,0.22,0.60,0.31,0.87,0.20
0.10,0.94,0.34,0.64,0.35,0.87,0.28
0.15,0.92,0.47,0.70,0.44,0.87,0.39
0.20,0.89,0.58,0.73,0.49,0.87,0.46
0.25,0.87,0.62,0.74,0.50,0.87,0.49
0.30,0.83,0.68,0.76,0.52,0.87,0.51
0.35,0.81,0.73,0.77,0.54,0.87,0.53
0.40,0.79,0.76,0.78,0.55,0.87,0.55
0.45,0.78,0.80,0.79,0.58,0.87,0.58
0.50,0.75,0.84,0.79,0.59,0.87,0.59
0.55,0.73,0.86,0.79,0.59,0.87,0.58
0.60,0.72,0.87,0.79,0.59,0.87,0.59
0.65,0.70,0.88,0.79,0.60,0.87,0.59
0.70,0.67,0.90,0.79,0.59,0.87,0.58
0.75,0.64,0.92,0.78,0.58,0.87,0.56
0.80,0.59,0.95,0.77,0.58,0.87,0.54
0.85,0.54,0.96,0.75,0.56,0.87,0.50
0.90,0.49,0.98,0.73,0.54,0.87,0.47
0.95,0.39,0.99,0.69,0.47,0.87,0.38

mlp_kfold_bin_c5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.48,0.00,0.82,0.00
0.05,0.92,0.60,0.75,0.54,0.82,0.51
0.10,0.89,0.65,0.77,0.56,0.83,0.54
0.15,0.76,0.70,0.73,0.46,0.82,0.46
0.20,0.86,0.68,0.77,0.55,0.82,0.54
0.25,0.81,0.72,0.77,0.54,0.83,0.53
0.30,0.81,0.70,0.75,0.51,0.81,0.51
0.35,0.76,0.72,0.74,0.48,0.82,0.48
0.40,0.76,0.75,0.75,0.51,0.83,0.51
0.45,0.78,0.75,0.77,0.53,0.82,0.53
0.50,0.81,0.72,0.77,0.54,0.82,0.53
0.55,0.78,0.75,0.77,0.53,0.83,0.53
0.60,0.76,0.72,0.74,0.48,0.83,0.48
0.65,0.76,0.78,0.77,0.53,0.81,0.53
0.70,0.76,0.75,0.75,0.51,0.83,0.51
0.75,0.70,0.75,0.73,0.45,0.82,0.45
0.80,0.73,0.78,0.75,0.51,0.82,0.51
0.85,0.76,0.80,0.78,0.56,0.82,0.56
0.90,0.73,0.78,0.75,0.51,0.83,0.51
0.95,0.68,0.78,0.73,0.45,0.80,0.45

rf_bin_c5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.50,0.00,0.89,0.00
0.05,1.00,0.00,0.50,0.00,0.89,0.00
0.10,1.00,0.00,0.50,0.00,0.89,0.00
0.15,1.00,0.01,0.50,0.07,0.89,0.01
0.20,0.99,0.07,0.53,0.17,0.89,0.07
0.25,0.99,0.14,0.57,0.26,0.89,0.14
0.30,0.97,0.33,0.65,0.40,0.89,0.30
0.35,0.93,0.53,0.73,0.51,0.89,0.46
0.40,0.84,0.73,0.79,0.57,0.89,0.57
0.45,0.79,0.86,0.82,0.64,0.89,0.64
0.50,0.74,0.92,0.83,0.66,0.89,0.65
0.55,0.66,0.96,0.81,0.66,0.89,0.63
0.60,0.59,0.97,0.78,0.61,0.89,0.57
0.65,0.52,0.98,0.75,0.57,0.89,0.50
0.70,0.44,0.98,0.71,0.50,0.89,0.42
0.75,0.33,0.99,0.66,0.44,0.89,0.33
0.80,0.30,1.00,0.65,0.42,0.89,0.30
0.85,0.23,1.00,0.61,0.36,0.89,0.23
0.90,0.20,1.00,0.60,0.33,0.89,0.20
0.95,0.13,1.00,0.57,0.27,0.89,0.14

rf_kfold_bin_c5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.48,0.00,0.84,0.00
0.05,1.00,0.00,0.48,0.00,0.83,0.00
0.10,1.00,0.00,0.48,0.00,0.80,0.00
0.15,1.00,0.05,0.51,0.16,0.83,0.05
0.20,1.00,0.12,0.55,0.25,0.79,0.12
0.25,0.97,0.17,0.56,0.24,0.84,0.14
0.30,0.89,0.35,0.61,0.29,0.81,0.24
0.35,0.89,0.45,0.66,0.38,0.82,0.34
0.40,0.86,0.62,0.74,0.50,0.82,0.48
0.45,0.70,0.72,0.71,0.43,0.78,0.43
0.50,0.65,0.88,0.77,0.54,0.80,0.53
0.55,0.62,0.88,0.75,0.52,0.79,0.50
0.60,0.62,0.90,0.77,0.55,0.83,0.53
0.65,0.51,0.93,0.73,0.48,0.85,0.45
0.70,0.43,0.95,0.70,0.45,0.81,0.39
0.75,0.38,0.95,0.68,0.40,0.84,0.34
0.80,0.32,0.97,0.66,0.40,0.82,0.31
0.85,0.19,1.00,0.61,0.33,0.82,0.20
0.90,0.14,1.00,0.58,0.27,0.83,0.14
0.95,0.05,1.00,0.55,0.17,0.84,0.06

ridge_bin_c5.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
-3.00,1.00,0.00,0.50,0.00,0.86,0.00
-2.90,1.00,0.00,0.50,0.00,0.86,0.00
