Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.00 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.50 ,mcc scores: 0.07 ,roc-auc scores: 0.90 ,cohen scores: 0.01 
Threshold: -0.90 ,Senstivity: 1.00 ,Specificity: 0.04 ,Accuracy: 0.52 ,mcc scores: 0.14 ,roc-auc scores: 0.90 ,cohen scores: 0.04 
Threshold: -0.80 ,Senstivity: 0.99 ,Specificity: 0.12 ,Accuracy: 0.55 ,mcc scores: 0.22 ,roc-auc scores: 0.90 ,cohen scores: 0.11 
Threshold: -0.70 ,Senstivity: 0.96 ,Specificity: 0.25 ,Accuracy: 0.60 ,mcc scores: 0.30 ,roc-auc scores: 0.90 ,cohen scores: 0.21 
Threshold: -0.60 ,Senstivity: 0.95 ,Specificity: 0.37 ,Accuracy: 0.66 ,mcc scores: 0.39 ,roc-auc scores: 0.90 ,cohen scores: 0.31 
Threshold: -0.50 ,Senstivity: 0.91 ,Specificity: 0.55 ,Accuracy: 0.73 ,mcc scores: 0.50 ,roc-auc scores: 0.90 ,cohen scores: 0.46 
Threshold: -0.40 ,Senstivity: 0.85 ,Specificity: 0.74 ,Accuracy: 0.80 ,mcc scores: 0.60 ,roc-auc scores: 0.90 ,cohen scores: 0.59 
Threshold: -0.30 ,Senstivity: 0.82 ,Specificity: 0.86 ,Accuracy: 0.84 ,mcc scores: 0.68 ,roc-auc scores: 0.90 ,cohen scores: 0.68 
Threshold: -0.20 ,Senstivity: 0.79 ,Specificity: 0.91 ,Accuracy: 0.85 ,mcc scores: 0.71 ,roc-auc scores: 0.90 ,cohen scores: 0.70 
Threshold: -0.10 ,Senstivity: 0.76 ,Specificity: 0.94 ,Accuracy: 0.85 ,mcc scores: 0.71 ,roc-auc scores: 0.90 ,cohen scores: 0.70 
Threshold: 0.00 ,Senstivity: 0.75 ,Specificity: 0.97 ,Accuracy: 0.86 ,mcc scores: 0.74 ,roc-auc scores: 0.90 ,cohen scores: 0.72 
Threshold: 0.10 ,Senstivity: 0.72 ,Specificity: 0.97 ,Accuracy: 0.84 ,mcc scores: 0.71 ,roc-auc scores: 0.90 ,cohen scores: 0.69 
Threshold: 0.20 ,Senstivity: 0.68 ,Specificity: 0.98 ,Accuracy: 0.83 ,mcc scores: 0.69 ,roc-auc scores: 0.90 ,cohen scores: 0.66 
Threshold: 0.30 ,Senstivity: 0.65 ,Specificity: 0.99 ,Accuracy: 0.82 ,mcc scores: 0.68 ,roc-auc scores: 0.90 ,cohen scores: 0.64 
Threshold: 0.40 ,Senstivity: 0.61 ,Specificity: 0.99 ,Accuracy: 0.80 ,mcc scores: 0.65 ,roc-auc scores: 0.90 ,cohen scores: 0.60 
Threshold: 0.50 ,Senstivity: 0.57 ,Specificity: 0.99 ,Accuracy: 0.78 ,mcc scores: 0.62 ,roc-auc scores: 0.90 ,cohen scores: 0.56 
Threshold: 0.60 ,Senstivity: 0.53 ,Specificity: 1.00 ,Accuracy: 0.77 ,mcc scores: 0.60 ,roc-auc scores: 0.90 ,cohen scores: 0.53 
Threshold: 0.70 ,Senstivity: 0.49 ,Specificity: 1.00 ,Accuracy: 0.74 ,mcc scores: 0.57 ,roc-auc scores: 0.90 ,cohen scores: 0.49 
Threshold: 0.80 ,Senstivity: 0.47 ,Specificity: 1.00 ,Accuracy: 0.74 ,mcc scores: 0.56 ,roc-auc scores: 0.90 ,cohen scores: 0.47 
Threshold: 0.90 ,Senstivity: 0.46 ,Specificity: 1.00 ,Accuracy: 0.73 ,mcc scores: 0.55 ,roc-auc scores: 0.90 ,cohen scores: 0.46 
Threshold: 1.00 ,Senstivity: 0.29 ,Specificity: 1.00 ,Accuracy: 0.65 ,mcc scores: 0.41 ,roc-auc scores: 0.90 ,cohen scores: 0.29 
Threshold: 1.10 ,Senstivity: 0.14 ,Specificity: 1.00 ,Accuracy: 0.57 ,mcc scores: 0.27 ,roc-auc scores: 0.90 ,cohen scores: 0.14 
Threshold: 1.20 ,Senstivity: 0.06 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.18 ,roc-auc scores: 0.90 ,cohen scores: 0.06 
Threshold: 1.30 ,Senstivity: 0.04 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.14 ,roc-auc scores: 0.90 ,cohen scores: 0.04 
Threshold: 1.40 ,Senstivity: 0.02 ,Specificity: 1.00 ,Accuracy: 0.51 ,mcc scores: 0.09 ,roc-auc scores: 0.90 ,cohen scores: 0.02 
Threshold: 1.50 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 1.60 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 1.70 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 1.80 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 1.90 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.00 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.10 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.20 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.30 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.40 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.50 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.60 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.70 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.80 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.90 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
