extra_trees_bin_n10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.52,0.00,0.94,0.00
0.05,1.00,0.00,0.52,0.00,0.94,0.00
0.10,1.00,0.01,0.53,0.06,0.94,0.01
0.15,1.00,0.01,0.53,0.08,0.94,0.01
0.20,1.00,0.06,0.55,0.18,0.94,0.06
0.25,0.99,0.16,0.60,0.28,0.94,0.16
0.30,0.97,0.37,0.69,0.43,0.94,0.35
0.35,0.95,0.57,0.77,0.57,0.94,0.53
0.40,0.93,0.76,0.85,0.70,0.94,0.69
0.45,0.87,0.88,0.88,0.75,0.94,0.75
0.50,0.80,0.94,0.86,0.74,0.94,0.73
0.55,0.74,0.95,0.84,0.71,0.94,0.69
0.60,0.71,0.99,0.85,0.73,0.94,0.69
0.65,0.59,0.99,0.78,0.63,0.94,0.57
0.70,0.51,0.99,0.74,0.57,0.94,0.49
0.75,0.43,1.00,0.70,0.51,0.94,0.41
0.80,0.33,1.00,0.65,0.43,0.94,0.32
0.85,0.17,1.00,0.56,0.30,0.94,0.16
0.90,0.07,1.00,0.51,0.18,0.94,0.07
0.95,0.04,1.00,0.49,0.13,0.94,0.04

extra_trees_kfold_bin_n10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.49,0.00,0.92,0.00
0.05,1.00,0.00,0.49,0.00,0.94,0.00
0.10,1.00,0.00,0.49,0.00,0.94,0.00
0.15,1.00,0.00,0.49,0.00,0.91,0.00
0.20,1.00,0.05,0.51,0.16,0.93,0.05
0.25,1.00,0.24,0.61,0.37,0.91,0.24
0.30,1.00,0.30,0.64,0.41,0.93,0.29
0.35,0.97,0.41,0.68,0.45,0.91,0.37
0.40,0.97,0.68,0.82,0.67,0.92,0.64
0.45,0.94,0.70,0.82,0.66,0.94,0.64
0.50,0.94,0.89,0.92,0.83,0.93,0.83
0.55,0.83,0.84,0.83,0.67,0.93,0.67
0.60,0.74,0.89,0.82,0.64,0.92,0.64
0.65,0.69,0.97,0.83,0.69,0.93,0.66
0.70,0.60,1.00,0.81,0.66,0.94,0.61
0.75,0.51,1.00,0.76,0.59,0.92,0.52
0.80,0.46,1.00,0.74,0.55,0.93,0.46
0.85,0.29,1.00,0.65,0.41,0.94,0.29
0.90,0.20,1.00,0.61,0.34,0.94,0.20
0.95,0.11,1.00,0.57,0.25,0.93,0.12

knn_bin_n10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.52,0.00,0.70,0.00
0.05,0.92,0.48,0.71,0.45,0.70,0.41
0.10,0.92,0.48,0.71,0.45,0.70,0.41
0.15,0.92,0.48,0.71,0.45,0.70,0.41
0.20,0.92,0.48,0.71,0.45,0.70,0.41
0.25,0.92,0.48,0.71,0.45,0.70,0.41
0.30,0.92,0.48,0.71,0.45,0.70,0.41
0.35,0.92,0.48,0.71,0.45,0.70,0.41
0.40,0.92,0.48,0.71,0.45,0.70,0.41
0.45,0.92,0.48,0.71,0.45,0.70,0.41
0.50,0.92,0.48,0.71,0.45,0.70,0.41
0.55,0.92,0.48,0.71,0.45,0.70,0.41
0.60,0.92,0.48,0.71,0.45,0.70,0.41
0.65,0.92,0.48,0.71,0.45,0.70,0.41
0.70,0.92,0.48,0.71,0.45,0.70,0.41
0.75,0.92,0.48,0.71,0.45,0.70,0.41
0.80,0.92,0.48,0.71,0.45,0.70,0.41
0.85,0.92,0.48,0.71,0.45,0.70,0.41
0.90,0.92,0.48,0.71,0.45,0.70,0.41
0.95,0.92,0.48,0.71,0.45,0.70,0.41

knn_kfold_bin_n10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.49,0.00,0.79,0.00
0.05,0.91,0.68,0.79,0.60,0.79,0.59
0.10,0.91,0.68,0.79,0.60,0.79,0.59
0.15,0.91,0.68,0.79,0.60,0.79,0.59
0.20,0.91,0.68,0.79,0.60,0.79,0.59
0.25,0.91,0.68,0.79,0.60,0.79,0.59
0.30,0.91,0.68,0.79,0.60,0.79,0.59
0.35,0.91,0.68,0.79,0.60,0.79,0.59
0.40,0.91,0.68,0.79,0.60,0.79,0.59
0.45,0.91,0.68,0.79,0.60,0.79,0.59
0.50,0.91,0.68,0.79,0.60,0.79,0.59
0.55,0.91,0.68,0.79,0.60,0.79,0.59
0.60,0.91,0.68,0.79,0.60,0.79,0.59
0.65,0.91,0.68,0.79,0.60,0.79,0.59
0.70,0.91,0.68,0.79,0.60,0.79,0.59
0.75,0.91,0.68,0.79,0.60,0.79,0.59
0.80,0.91,0.68,0.79,0.60,0.79,0.59
0.85,0.91,0.68,0.79,0.60,0.79,0.59
0.90,0.91,0.68,0.79,0.60,0.79,0.59
0.95,0.91,0.68,0.79,0.60,0.79,0.59

mlp_bin_n10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.52,0.00,0.93,0.00
0.05,0.92,0.73,0.83,0.67,0.93,0.66
0.10,0.92,0.74,0.84,0.68,0.93,0.67
0.15,0.92,0.77,0.85,0.70,0.93,0.69
0.20,0.92,0.80,0.86,0.72,0.93,0.72
0.25,0.91,0.80,0.86,0.71,0.93,0.71
0.30,0.91,0.80,0.86,0.71,0.93,0.71
0.35,0.90,0.81,0.86,0.72,0.93,0.72
0.40,0.89,0.82,0.86,0.72,0.93,0.72
0.45,0.89,0.83,0.86,0.73,0.93,0.73
0.50,0.89,0.84,0.87,0.73,0.93,0.73
0.55,0.89,0.85,0.87,0.75,0.93,0.74
0.60,0.89,0.85,0.87,0.75,0.93,0.74
0.65,0.89,0.85,0.88,0.75,0.93,0.75
0.70,0.89,0.87,0.88,0.76,0.93,0.76
0.75,0.88,0.88,0.88,0.76,0.93,0.76
0.80,0.88,0.88,0.88,0.76,0.93,0.76
0.85,0.86,0.88,0.87,0.75,0.93,0.75
0.90,0.85,0.90,0.87,0.75,0.93,0.75
0.95,0.82,0.91,0.86,0.73,0.93,0.72

mlp_kfold_bin_n10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.49,0.00,0.90,0.00
0.05,0.97,0.57,0.76,0.58,0.93,0.53
0.10,0.94,0.59,0.76,0.57,0.92,0.53
0.15,0.97,0.59,0.78,0.61,0.91,0.56
0.20,0.91,0.59,0.75,0.53,0.90,0.50
0.25,0.89,0.65,0.76,0.55,0.90,0.53
0.30,0.89,0.65,0.76,0.55,0.91,0.53
0.35,0.89,0.62,0.75,0.52,0.91,0.50
0.40,0.91,0.70,0.81,0.63,0.90,0.61
0.45,0.91,0.81,0.86,0.73,0.92,0.72
0.50,0.89,0.78,0.83,0.67,0.91,0.67
0.55,0.86,0.76,0.81,0.62,0.92,0.61
0.60,0.91,0.76,0.83,0.68,0.90,0.67
0.65,0.89,0.78,0.83,0.67,0.92,0.67
0.70,0.86,0.84,0.85,0.69,0.91,0.69
0.75,0.86,0.84,0.85,0.69,0.91,0.69
0.80,0.83,0.81,0.82,0.64,0.90,0.64
0.85,0.86,0.84,0.85,0.69,0.92,0.69
0.90,0.77,0.89,0.83,0.67,0.90,0.67
0.95,0.80,0.89,0.85,0.70,0.90,0.69

rf_bin_n10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.52,0.00,0.95,0.00
0.05,1.00,0.00,0.52,0.00,0.95,0.00
0.10,1.00,0.01,0.53,0.06,0.95,0.01
0.15,0.99,0.07,0.56,0.17,0.95,0.07
0.20,0.99,0.12,0.58,0.24,0.95,0.12
0.25,0.99,0.30,0.66,0.41,0.95,0.30
0.30,0.97,0.51,0.75,0.55,0.95,0.49
0.35,0.95,0.67,0.82,0.66,0.95,0.64
0.40,0.90,0.85,0.88,0.76,0.95,0.76
0.45,0.87,0.90,0.88,0.77,0.95,0.77
0.50,0.82,0.95,0.88,0.78,0.95,0.77
0.55,0.78,0.97,0.87,0.76,0.95,0.74
0.60,0.74,0.98,0.85,0.73,0.95,0.70
