Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 0.97 ,Specificity: 0.57 ,Accuracy: 0.76 ,mcc scores: 0.58 ,roc-auc scores: 0.93 ,cohen scores: 0.53 
Threshold: 0.10 ,Senstivity: 0.94 ,Specificity: 0.59 ,Accuracy: 0.76 ,mcc scores: 0.57 ,roc-auc scores: 0.92 ,cohen scores: 0.53 
Threshold: 0.15 ,Senstivity: 0.97 ,Specificity: 0.59 ,Accuracy: 0.78 ,mcc scores: 0.61 ,roc-auc scores: 0.91 ,cohen scores: 0.56 
Threshold: 0.20 ,Senstivity: 0.91 ,Specificity: 0.59 ,Accuracy: 0.75 ,mcc scores: 0.53 ,roc-auc scores: 0.90 ,cohen scores: 0.50 
Threshold: 0.25 ,Senstivity: 0.89 ,Specificity: 0.65 ,Accuracy: 0.76 ,mcc scores: 0.55 ,roc-auc scores: 0.90 ,cohen scores: 0.53 
Threshold: 0.30 ,Senstivity: 0.89 ,Specificity: 0.65 ,Accuracy: 0.76 ,mcc scores: 0.55 ,roc-auc scores: 0.91 ,cohen scores: 0.53 
Threshold: 0.35 ,Senstivity: 0.89 ,Specificity: 0.62 ,Accuracy: 0.75 ,mcc scores: 0.52 ,roc-auc scores: 0.91 ,cohen scores: 0.50 
Threshold: 0.40 ,Senstivity: 0.91 ,Specificity: 0.70 ,Accuracy: 0.81 ,mcc scores: 0.63 ,roc-auc scores: 0.90 ,cohen scores: 0.61 
Threshold: 0.45 ,Senstivity: 0.91 ,Specificity: 0.81 ,Accuracy: 0.86 ,mcc scores: 0.73 ,roc-auc scores: 0.92 ,cohen scores: 0.72 
Threshold: 0.50 ,Senstivity: 0.89 ,Specificity: 0.78 ,Accuracy: 0.83 ,mcc scores: 0.67 ,roc-auc scores: 0.91 ,cohen scores: 0.67 
Threshold: 0.55 ,Senstivity: 0.86 ,Specificity: 0.76 ,Accuracy: 0.81 ,mcc scores: 0.62 ,roc-auc scores: 0.92 ,cohen scores: 0.61 
Threshold: 0.60 ,Senstivity: 0.91 ,Specificity: 0.76 ,Accuracy: 0.83 ,mcc scores: 0.68 ,roc-auc scores: 0.90 ,cohen scores: 0.67 
Threshold: 0.65 ,Senstivity: 0.89 ,Specificity: 0.78 ,Accuracy: 0.83 ,mcc scores: 0.67 ,roc-auc scores: 0.92 ,cohen scores: 0.67 
Threshold: 0.70 ,Senstivity: 0.86 ,Specificity: 0.84 ,Accuracy: 0.85 ,mcc scores: 0.69 ,roc-auc scores: 0.91 ,cohen scores: 0.69 
Threshold: 0.75 ,Senstivity: 0.86 ,Specificity: 0.84 ,Accuracy: 0.85 ,mcc scores: 0.69 ,roc-auc scores: 0.91 ,cohen scores: 0.69 
Threshold: 0.80 ,Senstivity: 0.83 ,Specificity: 0.81 ,Accuracy: 0.82 ,mcc scores: 0.64 ,roc-auc scores: 0.90 ,cohen scores: 0.64 
Threshold: 0.85 ,Senstivity: 0.86 ,Specificity: 0.84 ,Accuracy: 0.85 ,mcc scores: 0.69 ,roc-auc scores: 0.92 ,cohen scores: 0.69 
Threshold: 0.90 ,Senstivity: 0.77 ,Specificity: 0.89 ,Accuracy: 0.83 ,mcc scores: 0.67 ,roc-auc scores: 0.90 ,cohen scores: 0.67 
Threshold: 0.95 ,Senstivity: 0.80 ,Specificity: 0.89 ,Accuracy: 0.85 ,mcc scores: 0.70 ,roc-auc scores: 0.90 ,cohen scores: 0.69 
