Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.20 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.53 ,mcc scores: 0.13 ,roc-auc scores: 0.90 ,cohen scores: 0.04 
Threshold: -1.10 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.53 ,mcc scores: 0.13 ,roc-auc scores: 0.90 ,cohen scores: 0.04 
Threshold: -1.00 ,Senstivity: 1.00 ,Specificity: 0.10 ,Accuracy: 0.56 ,mcc scores: 0.24 ,roc-auc scores: 0.90 ,cohen scores: 0.11 
Threshold: -0.90 ,Senstivity: 1.00 ,Specificity: 0.17 ,Accuracy: 0.59 ,mcc scores: 0.31 ,roc-auc scores: 0.90 ,cohen scores: 0.17 
Threshold: -0.80 ,Senstivity: 1.00 ,Specificity: 0.21 ,Accuracy: 0.61 ,mcc scores: 0.34 ,roc-auc scores: 0.90 ,cohen scores: 0.21 
Threshold: -0.70 ,Senstivity: 1.00 ,Specificity: 0.24 ,Accuracy: 0.63 ,mcc scores: 0.37 ,roc-auc scores: 0.90 ,cohen scores: 0.24 
Threshold: -0.60 ,Senstivity: 1.00 ,Specificity: 0.28 ,Accuracy: 0.64 ,mcc scores: 0.40 ,roc-auc scores: 0.90 ,cohen scores: 0.28 
Threshold: -0.50 ,Senstivity: 1.00 ,Specificity: 0.41 ,Accuracy: 0.71 ,mcc scores: 0.51 ,roc-auc scores: 0.90 ,cohen scores: 0.42 
Threshold: -0.40 ,Senstivity: 0.97 ,Specificity: 0.55 ,Accuracy: 0.76 ,mcc scores: 0.57 ,roc-auc scores: 0.90 ,cohen scores: 0.52 
Threshold: -0.30 ,Senstivity: 0.90 ,Specificity: 0.59 ,Accuracy: 0.75 ,mcc scores: 0.51 ,roc-auc scores: 0.90 ,cohen scores: 0.49 
Threshold: -0.20 ,Senstivity: 0.90 ,Specificity: 0.62 ,Accuracy: 0.76 ,mcc scores: 0.54 ,roc-auc scores: 0.90 ,cohen scores: 0.52 
Threshold: -0.10 ,Senstivity: 0.80 ,Specificity: 0.79 ,Accuracy: 0.80 ,mcc scores: 0.59 ,roc-auc scores: 0.90 ,cohen scores: 0.59 
Threshold: 0.00 ,Senstivity: 0.77 ,Specificity: 0.93 ,Accuracy: 0.85 ,mcc scores: 0.71 ,roc-auc scores: 0.90 ,cohen scores: 0.70 
Threshold: 0.10 ,Senstivity: 0.67 ,Specificity: 0.93 ,Accuracy: 0.80 ,mcc scores: 0.62 ,roc-auc scores: 0.90 ,cohen scores: 0.59 
Threshold: 0.20 ,Senstivity: 0.63 ,Specificity: 0.97 ,Accuracy: 0.80 ,mcc scores: 0.63 ,roc-auc scores: 0.90 ,cohen scores: 0.60 
Threshold: 0.30 ,Senstivity: 0.57 ,Specificity: 1.00 ,Accuracy: 0.78 ,mcc scores: 0.63 ,roc-auc scores: 0.90 ,cohen scores: 0.56 
Threshold: 0.40 ,Senstivity: 0.40 ,Specificity: 1.00 ,Accuracy: 0.69 ,mcc scores: 0.50 ,roc-auc scores: 0.90 ,cohen scores: 0.40 
Threshold: 0.50 ,Senstivity: 0.23 ,Specificity: 1.00 ,Accuracy: 0.61 ,mcc scores: 0.36 ,roc-auc scores: 0.90 ,cohen scores: 0.23 
Threshold: 0.60 ,Senstivity: 0.10 ,Specificity: 1.00 ,Accuracy: 0.54 ,mcc scores: 0.23 ,roc-auc scores: 0.90 ,cohen scores: 0.10 
Threshold: 0.70 ,Senstivity: 0.07 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.18 ,roc-auc scores: 0.90 ,cohen scores: 0.07 
Threshold: 0.80 ,Senstivity: 0.03 ,Specificity: 1.00 ,Accuracy: 0.51 ,mcc scores: 0.13 ,roc-auc scores: 0.90 ,cohen scores: 0.03 
Threshold: 0.90 ,Senstivity: 0.03 ,Specificity: 1.00 ,Accuracy: 0.51 ,mcc scores: 0.13 ,roc-auc scores: 0.90 ,cohen scores: 0.03 
Threshold: 1.00 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 1.10 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 1.20 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 1.30 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 1.40 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 1.50 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 1.60 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 1.70 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 1.80 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 1.90 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.00 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.10 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.20 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.30 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.40 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.50 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.60 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.70 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.80 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 2.90 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
