Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -1.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -1.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -1.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -1.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -1.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -1.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -1.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -1.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -1.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -0.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -0.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: -0.70 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.53 ,mcc scores: 0.13 ,roc-auc scores: 0.91 ,cohen scores: 0.04 
Threshold: -0.60 ,Senstivity: 1.00 ,Specificity: 0.17 ,Accuracy: 0.59 ,mcc scores: 0.31 ,roc-auc scores: 0.91 ,cohen scores: 0.17 
Threshold: -0.50 ,Senstivity: 1.00 ,Specificity: 0.28 ,Accuracy: 0.64 ,mcc scores: 0.40 ,roc-auc scores: 0.91 ,cohen scores: 0.28 
Threshold: -0.40 ,Senstivity: 1.00 ,Specificity: 0.41 ,Accuracy: 0.71 ,mcc scores: 0.51 ,roc-auc scores: 0.91 ,cohen scores: 0.42 
Threshold: -0.30 ,Senstivity: 0.97 ,Specificity: 0.59 ,Accuracy: 0.78 ,mcc scores: 0.60 ,roc-auc scores: 0.91 ,cohen scores: 0.56 
Threshold: -0.20 ,Senstivity: 0.83 ,Specificity: 0.69 ,Accuracy: 0.76 ,mcc scores: 0.53 ,roc-auc scores: 0.91 ,cohen scores: 0.52 
Threshold: -0.10 ,Senstivity: 0.77 ,Specificity: 0.86 ,Accuracy: 0.81 ,mcc scores: 0.63 ,roc-auc scores: 0.91 ,cohen scores: 0.63 
Threshold: 0.00 ,Senstivity: 0.67 ,Specificity: 0.97 ,Accuracy: 0.81 ,mcc scores: 0.66 ,roc-auc scores: 0.91 ,cohen scores: 0.63 
Threshold: 0.10 ,Senstivity: 0.57 ,Specificity: 1.00 ,Accuracy: 0.78 ,mcc scores: 0.63 ,roc-auc scores: 0.91 ,cohen scores: 0.56 
Threshold: 0.20 ,Senstivity: 0.50 ,Specificity: 1.00 ,Accuracy: 0.75 ,mcc scores: 0.57 ,roc-auc scores: 0.91 ,cohen scores: 0.50 
Threshold: 0.30 ,Senstivity: 0.40 ,Specificity: 1.00 ,Accuracy: 0.69 ,mcc scores: 0.50 ,roc-auc scores: 0.91 ,cohen scores: 0.40 
Threshold: 0.40 ,Senstivity: 0.40 ,Specificity: 1.00 ,Accuracy: 0.69 ,mcc scores: 0.50 ,roc-auc scores: 0.91 ,cohen scores: 0.40 
Threshold: 0.50 ,Senstivity: 0.37 ,Specificity: 1.00 ,Accuracy: 0.68 ,mcc scores: 0.47 ,roc-auc scores: 0.91 ,cohen scores: 0.36 
