Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.50 ,mcc scores: 0.05 ,roc-auc scores: 0.92 ,cohen scores: 0.01 
Threshold: 0.10 ,Senstivity: 0.99 ,Specificity: 0.06 ,Accuracy: 0.52 ,mcc scores: 0.15 ,roc-auc scores: 0.92 ,cohen scores: 0.05 
Threshold: 0.15 ,Senstivity: 0.99 ,Specificity: 0.19 ,Accuracy: 0.59 ,mcc scores: 0.29 ,roc-auc scores: 0.92 ,cohen scores: 0.17 
Threshold: 0.20 ,Senstivity: 0.97 ,Specificity: 0.39 ,Accuracy: 0.68 ,mcc scores: 0.44 ,roc-auc scores: 0.92 ,cohen scores: 0.35 
Threshold: 0.25 ,Senstivity: 0.95 ,Specificity: 0.64 ,Accuracy: 0.79 ,mcc scores: 0.62 ,roc-auc scores: 0.92 ,cohen scores: 0.59 
Threshold: 0.30 ,Senstivity: 0.89 ,Specificity: 0.73 ,Accuracy: 0.81 ,mcc scores: 0.63 ,roc-auc scores: 0.92 ,cohen scores: 0.62 
Threshold: 0.35 ,Senstivity: 0.85 ,Specificity: 0.79 ,Accuracy: 0.82 ,mcc scores: 0.64 ,roc-auc scores: 0.92 ,cohen scores: 0.64 
Threshold: 0.40 ,Senstivity: 0.82 ,Specificity: 0.86 ,Accuracy: 0.84 ,mcc scores: 0.67 ,roc-auc scores: 0.92 ,cohen scores: 0.67 
Threshold: 0.45 ,Senstivity: 0.80 ,Specificity: 0.89 ,Accuracy: 0.84 ,mcc scores: 0.69 ,roc-auc scores: 0.92 ,cohen scores: 0.68 
Threshold: 0.50 ,Senstivity: 0.78 ,Specificity: 0.92 ,Accuracy: 0.85 ,mcc scores: 0.71 ,roc-auc scores: 0.92 ,cohen scores: 0.71 
Threshold: 0.55 ,Senstivity: 0.77 ,Specificity: 0.94 ,Accuracy: 0.86 ,mcc scores: 0.72 ,roc-auc scores: 0.92 ,cohen scores: 0.71 
Threshold: 0.60 ,Senstivity: 0.73 ,Specificity: 0.96 ,Accuracy: 0.84 ,mcc scores: 0.71 ,roc-auc scores: 0.92 ,cohen scores: 0.69 
Threshold: 0.65 ,Senstivity: 0.70 ,Specificity: 0.96 ,Accuracy: 0.83 ,mcc scores: 0.69 ,roc-auc scores: 0.92 ,cohen scores: 0.66 
Threshold: 0.70 ,Senstivity: 0.68 ,Specificity: 0.96 ,Accuracy: 0.82 ,mcc scores: 0.68 ,roc-auc scores: 0.92 ,cohen scores: 0.65 
Threshold: 0.75 ,Senstivity: 0.66 ,Specificity: 0.98 ,Accuracy: 0.82 ,mcc scores: 0.68 ,roc-auc scores: 0.92 ,cohen scores: 0.64 
Threshold: 0.80 ,Senstivity: 0.64 ,Specificity: 0.98 ,Accuracy: 0.81 ,mcc scores: 0.67 ,roc-auc scores: 0.92 ,cohen scores: 0.63 
Threshold: 0.85 ,Senstivity: 0.61 ,Specificity: 0.99 ,Accuracy: 0.80 ,mcc scores: 0.65 ,roc-auc scores: 0.92 ,cohen scores: 0.60 
Threshold: 0.90 ,Senstivity: 0.53 ,Specificity: 0.99 ,Accuracy: 0.76 ,mcc scores: 0.60 ,roc-auc scores: 0.92 ,cohen scores: 0.53 
Threshold: 0.95 ,Senstivity: 0.45 ,Specificity: 1.00 ,Accuracy: 0.72 ,mcc scores: 0.54 ,roc-auc scores: 0.92 ,cohen scores: 0.45 
