Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 0.95 ,Specificity: 0.40 ,Accuracy: 0.68 ,mcc scores: 0.43 ,roc-auc scores: 0.90 ,cohen scores: 0.35 
Threshold: 0.10 ,Senstivity: 0.94 ,Specificity: 0.55 ,Accuracy: 0.75 ,mcc scores: 0.54 ,roc-auc scores: 0.90 ,cohen scores: 0.49 
Threshold: 0.15 ,Senstivity: 0.93 ,Specificity: 0.63 ,Accuracy: 0.78 ,mcc scores: 0.59 ,roc-auc scores: 0.90 ,cohen scores: 0.56 
Threshold: 0.20 ,Senstivity: 0.90 ,Specificity: 0.67 ,Accuracy: 0.79 ,mcc scores: 0.59 ,roc-auc scores: 0.90 ,cohen scores: 0.57 
Threshold: 0.25 ,Senstivity: 0.89 ,Specificity: 0.72 ,Accuracy: 0.80 ,mcc scores: 0.62 ,roc-auc scores: 0.90 ,cohen scores: 0.61 
Threshold: 0.30 ,Senstivity: 0.88 ,Specificity: 0.76 ,Accuracy: 0.82 ,mcc scores: 0.64 ,roc-auc scores: 0.90 ,cohen scores: 0.63 
Threshold: 0.35 ,Senstivity: 0.85 ,Specificity: 0.77 ,Accuracy: 0.81 ,mcc scores: 0.63 ,roc-auc scores: 0.90 ,cohen scores: 0.63 
Threshold: 0.40 ,Senstivity: 0.84 ,Specificity: 0.80 ,Accuracy: 0.82 ,mcc scores: 0.64 ,roc-auc scores: 0.90 ,cohen scores: 0.64 
Threshold: 0.45 ,Senstivity: 0.83 ,Specificity: 0.82 ,Accuracy: 0.83 ,mcc scores: 0.65 ,roc-auc scores: 0.90 ,cohen scores: 0.65 
Threshold: 0.50 ,Senstivity: 0.81 ,Specificity: 0.84 ,Accuracy: 0.82 ,mcc scores: 0.65 ,roc-auc scores: 0.90 ,cohen scores: 0.65 
Threshold: 0.55 ,Senstivity: 0.80 ,Specificity: 0.86 ,Accuracy: 0.83 ,mcc scores: 0.66 ,roc-auc scores: 0.90 ,cohen scores: 0.66 
Threshold: 0.60 ,Senstivity: 0.78 ,Specificity: 0.88 ,Accuracy: 0.83 ,mcc scores: 0.66 ,roc-auc scores: 0.90 ,cohen scores: 0.66 
Threshold: 0.65 ,Senstivity: 0.75 ,Specificity: 0.89 ,Accuracy: 0.82 ,mcc scores: 0.64 ,roc-auc scores: 0.90 ,cohen scores: 0.64 
Threshold: 0.70 ,Senstivity: 0.73 ,Specificity: 0.90 ,Accuracy: 0.81 ,mcc scores: 0.64 ,roc-auc scores: 0.90 ,cohen scores: 0.63 
Threshold: 0.75 ,Senstivity: 0.72 ,Specificity: 0.90 ,Accuracy: 0.81 ,mcc scores: 0.63 ,roc-auc scores: 0.90 ,cohen scores: 0.62 
Threshold: 0.80 ,Senstivity: 0.70 ,Specificity: 0.91 ,Accuracy: 0.81 ,mcc scores: 0.63 ,roc-auc scores: 0.90 ,cohen scores: 0.61 
Threshold: 0.85 ,Senstivity: 0.66 ,Specificity: 0.93 ,Accuracy: 0.79 ,mcc scores: 0.61 ,roc-auc scores: 0.90 ,cohen scores: 0.59 
Threshold: 0.90 ,Senstivity: 0.63 ,Specificity: 0.95 ,Accuracy: 0.79 ,mcc scores: 0.62 ,roc-auc scores: 0.90 ,cohen scores: 0.59 
Threshold: 0.95 ,Senstivity: 0.52 ,Specificity: 0.97 ,Accuracy: 0.75 ,mcc scores: 0.56 ,roc-auc scores: 0.90 ,cohen scores: 0.50 
