Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.50 ,mcc scores: 0.05 ,roc-auc scores: 0.91 ,cohen scores: 0.01 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.05 ,Accuracy: 0.52 ,mcc scores: 0.16 ,roc-auc scores: 0.91 ,cohen scores: 0.05 
Threshold: 0.20 ,Senstivity: 0.99 ,Specificity: 0.11 ,Accuracy: 0.55 ,mcc scores: 0.22 ,roc-auc scores: 0.91 ,cohen scores: 0.10 
Threshold: 0.25 ,Senstivity: 0.98 ,Specificity: 0.24 ,Accuracy: 0.61 ,mcc scores: 0.32 ,roc-auc scores: 0.91 ,cohen scores: 0.22 
Threshold: 0.30 ,Senstivity: 0.96 ,Specificity: 0.40 ,Accuracy: 0.68 ,mcc scores: 0.44 ,roc-auc scores: 0.91 ,cohen scores: 0.36 
Threshold: 0.35 ,Senstivity: 0.94 ,Specificity: 0.58 ,Accuracy: 0.76 ,mcc scores: 0.55 ,roc-auc scores: 0.91 ,cohen scores: 0.51 
Threshold: 0.40 ,Senstivity: 0.88 ,Specificity: 0.73 ,Accuracy: 0.80 ,mcc scores: 0.61 ,roc-auc scores: 0.91 ,cohen scores: 0.60 
Threshold: 0.45 ,Senstivity: 0.84 ,Specificity: 0.85 ,Accuracy: 0.84 ,mcc scores: 0.69 ,roc-auc scores: 0.91 ,cohen scores: 0.69 
Threshold: 0.50 ,Senstivity: 0.79 ,Specificity: 0.90 ,Accuracy: 0.84 ,mcc scores: 0.69 ,roc-auc scores: 0.91 ,cohen scores: 0.69 
Threshold: 0.55 ,Senstivity: 0.73 ,Specificity: 0.94 ,Accuracy: 0.84 ,mcc scores: 0.69 ,roc-auc scores: 0.91 ,cohen scores: 0.67 
Threshold: 0.60 ,Senstivity: 0.65 ,Specificity: 0.97 ,Accuracy: 0.81 ,mcc scores: 0.66 ,roc-auc scores: 0.91 ,cohen scores: 0.62 
Threshold: 0.65 ,Senstivity: 0.63 ,Specificity: 0.98 ,Accuracy: 0.81 ,mcc scores: 0.66 ,roc-auc scores: 0.91 ,cohen scores: 0.61 
Threshold: 0.70 ,Senstivity: 0.56 ,Specificity: 1.00 ,Accuracy: 0.78 ,mcc scores: 0.62 ,roc-auc scores: 0.91 ,cohen scores: 0.56 
Threshold: 0.75 ,Senstivity: 0.50 ,Specificity: 1.00 ,Accuracy: 0.75 ,mcc scores: 0.58 ,roc-auc scores: 0.91 ,cohen scores: 0.50 
Threshold: 0.80 ,Senstivity: 0.46 ,Specificity: 1.00 ,Accuracy: 0.73 ,mcc scores: 0.54 ,roc-auc scores: 0.91 ,cohen scores: 0.46 
Threshold: 0.85 ,Senstivity: 0.34 ,Specificity: 1.00 ,Accuracy: 0.67 ,mcc scores: 0.45 ,roc-auc scores: 0.91 ,cohen scores: 0.34 
Threshold: 0.90 ,Senstivity: 0.23 ,Specificity: 1.00 ,Accuracy: 0.61 ,mcc scores: 0.36 ,roc-auc scores: 0.91 ,cohen scores: 0.23 
Threshold: 0.95 ,Senstivity: 0.01 ,Specificity: 1.00 ,Accuracy: 0.51 ,mcc scores: 0.07 ,roc-auc scores: 0.91 ,cohen scores: 0.01 
