extra_trees_bin_nc10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.52,0.00,0.96,0.00
0.05,1.00,0.00,0.52,0.00,0.96,0.00
0.10,1.00,0.00,0.52,0.00,0.96,0.00
0.15,1.00,0.01,0.53,0.08,0.96,0.01
0.20,0.99,0.05,0.55,0.14,0.96,0.05
0.25,0.99,0.22,0.62,0.34,0.96,0.22
0.30,0.99,0.45,0.73,0.53,0.96,0.45
0.35,0.95,0.72,0.84,0.69,0.96,0.67
0.40,0.89,0.84,0.87,0.73,0.96,0.73
0.45,0.85,0.93,0.89,0.78,0.96,0.77
0.50,0.80,0.97,0.88,0.78,0.96,0.76
0.55,0.74,0.99,0.86,0.75,0.96,0.72
0.60,0.69,0.99,0.83,0.71,0.96,0.67
0.65,0.61,0.99,0.79,0.64,0.96,0.59
0.70,0.55,1.00,0.76,0.60,0.96,0.53
0.75,0.51,1.00,0.74,0.58,0.96,0.50
0.80,0.41,1.00,0.69,0.50,0.96,0.40
0.85,0.31,1.00,0.64,0.42,0.96,0.29
0.90,0.19,1.00,0.58,0.32,0.96,0.19
0.95,0.07,1.00,0.51,0.19,0.96,0.07

extra_trees_kfold_bin_nc10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.49,0.00,0.92,0.00
0.05,1.00,0.00,0.49,0.00,0.95,0.00
0.10,1.00,0.00,0.49,0.00,0.92,0.00
0.15,1.00,0.00,0.49,0.00,0.92,0.00
0.20,1.00,0.03,0.50,0.12,0.91,0.03
0.25,1.00,0.19,0.58,0.32,0.90,0.18
0.30,1.00,0.30,0.64,0.41,0.94,0.29
0.35,0.97,0.35,0.65,0.41,0.94,0.32
0.40,0.97,0.62,0.79,0.63,0.91,0.59
0.45,0.97,0.68,0.82,0.67,0.93,0.64
0.50,0.91,0.70,0.81,0.63,0.91,0.61
0.55,0.89,0.81,0.85,0.70,0.92,0.69
0.60,0.80,0.92,0.86,0.73,0.93,0.72
0.65,0.83,0.92,0.88,0.75,0.95,0.75
0.70,0.63,0.95,0.79,0.61,0.92,0.58
0.75,0.54,1.00,0.78,0.62,0.92,0.55
0.80,0.46,1.00,0.74,0.55,0.94,0.46
0.85,0.37,1.00,0.69,0.48,0.93,0.38
0.90,0.29,1.00,0.65,0.41,0.93,0.29
0.95,0.11,1.00,0.57,0.25,0.94,0.12

knn_bin_nc10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.52,0.00,0.70,0.00
0.05,0.94,0.46,0.71,0.46,0.70,0.41
0.10,0.94,0.46,0.71,0.46,0.70,0.41
0.15,0.94,0.46,0.71,0.46,0.70,0.41
0.20,0.94,0.46,0.71,0.46,0.70,0.41
0.25,0.94,0.46,0.71,0.46,0.70,0.41
0.30,0.94,0.46,0.71,0.46,0.70,0.41
0.35,0.94,0.46,0.71,0.46,0.70,0.41
0.40,0.94,0.46,0.71,0.46,0.70,0.41
0.45,0.94,0.46,0.71,0.46,0.70,0.41
0.50,0.94,0.46,0.71,0.46,0.70,0.41
0.55,0.94,0.46,0.71,0.46,0.70,0.41
0.60,0.94,0.46,0.71,0.46,0.70,0.41
0.65,0.94,0.46,0.71,0.46,0.70,0.41
0.70,0.94,0.46,0.71,0.46,0.70,0.41
0.75,0.94,0.46,0.71,0.46,0.70,0.41
0.80,0.94,0.46,0.71,0.46,0.70,0.41
0.85,0.94,0.46,0.71,0.46,0.70,0.41
0.90,0.94,0.46,0.71,0.46,0.70,0.41
0.95,0.94,0.46,0.71,0.46,0.70,0.41

knn_kfold_bin_nc10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.49,0.00,0.82,0.00
0.05,0.94,0.70,0.82,0.66,0.82,0.64
0.10,0.94,0.70,0.82,0.66,0.82,0.64
0.15,0.94,0.70,0.82,0.66,0.82,0.64
0.20,0.94,0.70,0.82,0.66,0.82,0.64
0.25,0.94,0.70,0.82,0.66,0.82,0.64
0.30,0.94,0.70,0.82,0.66,0.82,0.64
0.35,0.94,0.70,0.82,0.66,0.82,0.64
0.40,0.94,0.70,0.82,0.66,0.82,0.64
0.45,0.94,0.70,0.82,0.66,0.82,0.64
0.50,0.94,0.70,0.82,0.66,0.82,0.64
0.55,0.94,0.70,0.82,0.66,0.82,0.64
0.60,0.94,0.70,0.82,0.66,0.82,0.64
0.65,0.94,0.70,0.82,0.66,0.82,0.64
0.70,0.94,0.70,0.82,0.66,0.82,0.64
0.75,0.94,0.70,0.82,0.66,0.82,0.64
0.80,0.94,0.70,0.82,0.66,0.82,0.64
0.85,0.94,0.70,0.82,0.66,0.82,0.64
0.90,0.94,0.70,0.82,0.66,0.82,0.64
0.95,0.94,0.70,0.82,0.66,0.82,0.64

mlp_bin_nc10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.52,0.00,0.94,0.00
0.05,0.97,0.40,0.70,0.46,0.94,0.39
0.10,0.96,0.62,0.80,0.62,0.94,0.59
0.15,0.92,0.72,0.83,0.66,0.94,0.65
0.20,0.90,0.77,0.84,0.68,0.94,0.68
0.25,0.89,0.81,0.85,0.70,0.94,0.70
0.30,0.87,0.83,0.85,0.70,0.94,0.70
0.35,0.87,0.86,0.86,0.73,0.94,0.73
0.40,0.86,0.88,0.87,0.74,0.94,0.74
0.45,0.84,0.89,0.86,0.73,0.94,0.73
0.50,0.84,0.91,0.87,0.75,0.94,0.75
0.55,0.83,0.92,0.88,0.76,0.94,0.75
0.60,0.83,0.94,0.88,0.77,0.94,0.76
0.65,0.81,0.94,0.87,0.75,0.94,0.75
0.70,0.80,0.95,0.87,0.75,0.94,0.74
0.75,0.79,0.97,0.87,0.76,0.94,0.75
0.80,0.78,0.98,0.87,0.76,0.94,0.75
0.85,0.73,0.98,0.85,0.72,0.94,0.69
0.90,0.66,0.99,0.82,0.68,0.94,0.64
0.95,0.53,1.00,0.75,0.59,0.94,0.51

mlp_kfold_bin_nc10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.49,0.00,0.84,0.00
0.05,1.00,0.00,0.49,0.00,0.68,0.00
0.10,1.00,0.00,0.49,0.00,0.84,0.00
0.15,1.00,0.00,0.49,0.00,0.81,0.00
0.20,1.00,0.03,0.50,0.12,0.79,0.03
0.25,1.00,0.00,0.49,0.00,0.81,0.00
0.30,1.00,0.00,0.49,0.00,0.84,0.00
0.35,0.94,0.51,0.72,0.50,0.88,0.45
0.40,1.00,0.00,0.49,0.00,0.61,0.00
0.45,0.91,0.68,0.79,0.60,0.89,0.59
0.50,0.80,0.57,0.68,0.38,0.79,0.37
0.55,0.91,0.65,0.78,0.58,0.86,0.56
0.60,0.69,0.92,0.81,0.62,0.84,0.61
0.65,0.63,0.86,0.75,0.51,0.83,0.50
0.70,0.37,1.00,0.69,0.48,0.89,0.38
0.75,0.00,1.00,0.51,0.00,0.84,0.00
0.80,0.26,1.00,0.64,0.39,0.83,0.26
0.85,0.23,1.00,0.62,0.36,0.86,0.23
0.90,0.14,1.00,0.58,0.28,0.86,0.15
0.95,0.00,1.00,0.51,0.00,0.69,0.00

rf_bin_nc10.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.52,0.00,0.95,0.00
0.05,1.00,0.00,0.52,0.00,0.95,0.00
0.10,1.00,0.00,0.52,0.00,0.95,0.00
0.15,1.00,0.02,0.53,0.10,0.95,0.02
0.20,1.00,0.03,0.54,0.12,0.95,0.03
0.25,1.00,0.10,0.57,0.24,0.95,0.11
0.30,0.98,0.32,0.67,0.41,0.95,0.31
0.35,0.96,0.64,0.81,0.64,0.95,0.61
0.40,0.92,0.80,0.86,0.73,0.95,0.72
0.45,0.90,0.87,0.89,0.77,0.95,0.77
0.50,0.82,0.95,0.88,0.78,0.95,0.77
0.55,0.77,0.98,0.87,0.76,0.95,0.74
