Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: 0.20 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.50 ,mcc scores: 0.12 ,roc-auc scores: 0.91 ,cohen scores: 0.03 
Threshold: 0.25 ,Senstivity: 1.00 ,Specificity: 0.19 ,Accuracy: 0.58 ,mcc scores: 0.32 ,roc-auc scores: 0.90 ,cohen scores: 0.18 
Threshold: 0.30 ,Senstivity: 1.00 ,Specificity: 0.30 ,Accuracy: 0.64 ,mcc scores: 0.41 ,roc-auc scores: 0.94 ,cohen scores: 0.29 
Threshold: 0.35 ,Senstivity: 0.97 ,Specificity: 0.35 ,Accuracy: 0.65 ,mcc scores: 0.41 ,roc-auc scores: 0.94 ,cohen scores: 0.32 
Threshold: 0.40 ,Senstivity: 0.97 ,Specificity: 0.62 ,Accuracy: 0.79 ,mcc scores: 0.63 ,roc-auc scores: 0.91 ,cohen scores: 0.59 
Threshold: 0.45 ,Senstivity: 0.97 ,Specificity: 0.68 ,Accuracy: 0.82 ,mcc scores: 0.67 ,roc-auc scores: 0.93 ,cohen scores: 0.64 
Threshold: 0.50 ,Senstivity: 0.91 ,Specificity: 0.70 ,Accuracy: 0.81 ,mcc scores: 0.63 ,roc-auc scores: 0.91 ,cohen scores: 0.61 
Threshold: 0.55 ,Senstivity: 0.89 ,Specificity: 0.81 ,Accuracy: 0.85 ,mcc scores: 0.70 ,roc-auc scores: 0.92 ,cohen scores: 0.69 
Threshold: 0.60 ,Senstivity: 0.80 ,Specificity: 0.92 ,Accuracy: 0.86 ,mcc scores: 0.73 ,roc-auc scores: 0.93 ,cohen scores: 0.72 
Threshold: 0.65 ,Senstivity: 0.83 ,Specificity: 0.92 ,Accuracy: 0.88 ,mcc scores: 0.75 ,roc-auc scores: 0.95 ,cohen scores: 0.75 
Threshold: 0.70 ,Senstivity: 0.63 ,Specificity: 0.95 ,Accuracy: 0.79 ,mcc scores: 0.61 ,roc-auc scores: 0.92 ,cohen scores: 0.58 
Threshold: 0.75 ,Senstivity: 0.54 ,Specificity: 1.00 ,Accuracy: 0.78 ,mcc scores: 0.62 ,roc-auc scores: 0.92 ,cohen scores: 0.55 
Threshold: 0.80 ,Senstivity: 0.46 ,Specificity: 1.00 ,Accuracy: 0.74 ,mcc scores: 0.55 ,roc-auc scores: 0.94 ,cohen scores: 0.46 
Threshold: 0.85 ,Senstivity: 0.37 ,Specificity: 1.00 ,Accuracy: 0.69 ,mcc scores: 0.48 ,roc-auc scores: 0.93 ,cohen scores: 0.38 
Threshold: 0.90 ,Senstivity: 0.29 ,Specificity: 1.00 ,Accuracy: 0.65 ,mcc scores: 0.41 ,roc-auc scores: 0.93 ,cohen scores: 0.29 
Threshold: 0.95 ,Senstivity: 0.11 ,Specificity: 1.00 ,Accuracy: 0.57 ,mcc scores: 0.25 ,roc-auc scores: 0.94 ,cohen scores: 0.12 
