Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.84 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.68 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.84 ,cohen scores: 0.00 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.81 ,cohen scores: 0.00 
Threshold: 0.20 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.50 ,mcc scores: 0.12 ,roc-auc scores: 0.79 ,cohen scores: 0.03 
Threshold: 0.25 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.81 ,cohen scores: 0.00 
Threshold: 0.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.84 ,cohen scores: 0.00 
Threshold: 0.35 ,Senstivity: 0.94 ,Specificity: 0.51 ,Accuracy: 0.72 ,mcc scores: 0.50 ,roc-auc scores: 0.88 ,cohen scores: 0.45 
Threshold: 0.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.61 ,cohen scores: 0.00 
Threshold: 0.45 ,Senstivity: 0.91 ,Specificity: 0.68 ,Accuracy: 0.79 ,mcc scores: 0.60 ,roc-auc scores: 0.89 ,cohen scores: 0.59 
Threshold: 0.50 ,Senstivity: 0.80 ,Specificity: 0.57 ,Accuracy: 0.68 ,mcc scores: 0.38 ,roc-auc scores: 0.79 ,cohen scores: 0.37 
Threshold: 0.55 ,Senstivity: 0.91 ,Specificity: 0.65 ,Accuracy: 0.78 ,mcc scores: 0.58 ,roc-auc scores: 0.86 ,cohen scores: 0.56 
Threshold: 0.60 ,Senstivity: 0.69 ,Specificity: 0.92 ,Accuracy: 0.81 ,mcc scores: 0.62 ,roc-auc scores: 0.84 ,cohen scores: 0.61 
Threshold: 0.65 ,Senstivity: 0.63 ,Specificity: 0.86 ,Accuracy: 0.75 ,mcc scores: 0.51 ,roc-auc scores: 0.83 ,cohen scores: 0.50 
Threshold: 0.70 ,Senstivity: 0.37 ,Specificity: 1.00 ,Accuracy: 0.69 ,mcc scores: 0.48 ,roc-auc scores: 0.89 ,cohen scores: 0.38 
Threshold: 0.75 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.84 ,cohen scores: 0.00 
Threshold: 0.80 ,Senstivity: 0.26 ,Specificity: 1.00 ,Accuracy: 0.64 ,mcc scores: 0.39 ,roc-auc scores: 0.83 ,cohen scores: 0.26 
Threshold: 0.85 ,Senstivity: 0.23 ,Specificity: 1.00 ,Accuracy: 0.62 ,mcc scores: 0.36 ,roc-auc scores: 0.86 ,cohen scores: 0.23 
Threshold: 0.90 ,Senstivity: 0.14 ,Specificity: 1.00 ,Accuracy: 0.58 ,mcc scores: 0.28 ,roc-auc scores: 0.86 ,cohen scores: 0.15 
Threshold: 0.95 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
