Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: 0.20 ,Senstivity: 1.00 ,Specificity: 0.05 ,Accuracy: 0.51 ,mcc scores: 0.16 ,roc-auc scores: 0.94 ,cohen scores: 0.05 
Threshold: 0.25 ,Senstivity: 1.00 ,Specificity: 0.14 ,Accuracy: 0.56 ,mcc scores: 0.27 ,roc-auc scores: 0.94 ,cohen scores: 0.13 
Threshold: 0.30 ,Senstivity: 1.00 ,Specificity: 0.16 ,Accuracy: 0.57 ,mcc scores: 0.29 ,roc-auc scores: 0.90 ,cohen scores: 0.16 
Threshold: 0.35 ,Senstivity: 0.97 ,Specificity: 0.32 ,Accuracy: 0.64 ,mcc scores: 0.38 ,roc-auc scores: 0.92 ,cohen scores: 0.29 
Threshold: 0.40 ,Senstivity: 1.00 ,Specificity: 0.54 ,Accuracy: 0.76 ,mcc scores: 0.60 ,roc-auc scores: 0.92 ,cohen scores: 0.53 
Threshold: 0.45 ,Senstivity: 0.89 ,Specificity: 0.57 ,Accuracy: 0.72 ,mcc scores: 0.48 ,roc-auc scores: 0.89 ,cohen scores: 0.45 
Threshold: 0.50 ,Senstivity: 0.91 ,Specificity: 0.78 ,Accuracy: 0.85 ,mcc scores: 0.70 ,roc-auc scores: 0.91 ,cohen scores: 0.70 
Threshold: 0.55 ,Senstivity: 0.86 ,Specificity: 0.76 ,Accuracy: 0.81 ,mcc scores: 0.62 ,roc-auc scores: 0.91 ,cohen scores: 0.61 
Threshold: 0.60 ,Senstivity: 0.77 ,Specificity: 0.89 ,Accuracy: 0.83 ,mcc scores: 0.67 ,roc-auc scores: 0.92 ,cohen scores: 0.67 
Threshold: 0.65 ,Senstivity: 0.63 ,Specificity: 0.97 ,Accuracy: 0.81 ,mcc scores: 0.64 ,roc-auc scores: 0.92 ,cohen scores: 0.61 
Threshold: 0.70 ,Senstivity: 0.57 ,Specificity: 0.97 ,Accuracy: 0.78 ,mcc scores: 0.60 ,roc-auc scores: 0.92 ,cohen scores: 0.55 
Threshold: 0.75 ,Senstivity: 0.49 ,Specificity: 1.00 ,Accuracy: 0.75 ,mcc scores: 0.57 ,roc-auc scores: 0.87 ,cohen scores: 0.49 
Threshold: 0.80 ,Senstivity: 0.34 ,Specificity: 1.00 ,Accuracy: 0.68 ,mcc scores: 0.46 ,roc-auc scores: 0.92 ,cohen scores: 0.35 
Threshold: 0.85 ,Senstivity: 0.23 ,Specificity: 1.00 ,Accuracy: 0.62 ,mcc scores: 0.36 ,roc-auc scores: 0.90 ,cohen scores: 0.23 
Threshold: 0.90 ,Senstivity: 0.11 ,Specificity: 1.00 ,Accuracy: 0.57 ,mcc scores: 0.25 ,roc-auc scores: 0.92 ,cohen scores: 0.12 
Threshold: 0.95 ,Senstivity: 0.06 ,Specificity: 1.00 ,Accuracy: 0.54 ,mcc scores: 0.17 ,roc-auc scores: 0.90 ,cohen scores: 0.06 
