Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.94 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.94 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.51 ,mcc scores: 0.13 ,roc-auc scores: 0.94 ,cohen scores: 0.03 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.11 ,Accuracy: 0.55 ,mcc scores: 0.24 ,roc-auc scores: 0.94 ,cohen scores: 0.11 
Threshold: 0.20 ,Senstivity: 0.99 ,Specificity: 0.22 ,Accuracy: 0.60 ,mcc scores: 0.33 ,roc-auc scores: 0.94 ,cohen scores: 0.21 
Threshold: 0.25 ,Senstivity: 0.96 ,Specificity: 0.48 ,Accuracy: 0.72 ,mcc scores: 0.50 ,roc-auc scores: 0.94 ,cohen scores: 0.44 
Threshold: 0.30 ,Senstivity: 0.92 ,Specificity: 0.72 ,Accuracy: 0.82 ,mcc scores: 0.65 ,roc-auc scores: 0.94 ,cohen scores: 0.64 
Threshold: 0.35 ,Senstivity: 0.89 ,Specificity: 0.78 ,Accuracy: 0.84 ,mcc scores: 0.68 ,roc-auc scores: 0.94 ,cohen scores: 0.67 
Threshold: 0.40 ,Senstivity: 0.88 ,Specificity: 0.85 ,Accuracy: 0.87 ,mcc scores: 0.73 ,roc-auc scores: 0.94 ,cohen scores: 0.73 
Threshold: 0.45 ,Senstivity: 0.85 ,Specificity: 0.90 ,Accuracy: 0.88 ,mcc scores: 0.75 ,roc-auc scores: 0.94 ,cohen scores: 0.75 
Threshold: 0.50 ,Senstivity: 0.82 ,Specificity: 0.92 ,Accuracy: 0.87 ,mcc scores: 0.75 ,roc-auc scores: 0.94 ,cohen scores: 0.74 
Threshold: 0.55 ,Senstivity: 0.78 ,Specificity: 0.95 ,Accuracy: 0.87 ,mcc scores: 0.74 ,roc-auc scores: 0.94 ,cohen scores: 0.73 
Threshold: 0.60 ,Senstivity: 0.74 ,Specificity: 0.98 ,Accuracy: 0.86 ,mcc scores: 0.74 ,roc-auc scores: 0.94 ,cohen scores: 0.72 
Threshold: 0.65 ,Senstivity: 0.70 ,Specificity: 0.99 ,Accuracy: 0.85 ,mcc scores: 0.73 ,roc-auc scores: 0.94 ,cohen scores: 0.70 
Threshold: 0.70 ,Senstivity: 0.68 ,Specificity: 0.99 ,Accuracy: 0.84 ,mcc scores: 0.71 ,roc-auc scores: 0.94 ,cohen scores: 0.68 
Threshold: 0.75 ,Senstivity: 0.61 ,Specificity: 0.99 ,Accuracy: 0.80 ,mcc scores: 0.66 ,roc-auc scores: 0.94 ,cohen scores: 0.61 
Threshold: 0.80 ,Senstivity: 0.56 ,Specificity: 0.99 ,Accuracy: 0.78 ,mcc scores: 0.62 ,roc-auc scores: 0.94 ,cohen scores: 0.56 
Threshold: 0.85 ,Senstivity: 0.50 ,Specificity: 1.00 ,Accuracy: 0.75 ,mcc scores: 0.58 ,roc-auc scores: 0.94 ,cohen scores: 0.50 
Threshold: 0.90 ,Senstivity: 0.42 ,Specificity: 1.00 ,Accuracy: 0.71 ,mcc scores: 0.52 ,roc-auc scores: 0.94 ,cohen scores: 0.42 
Threshold: 0.95 ,Senstivity: 0.22 ,Specificity: 1.00 ,Accuracy: 0.61 ,mcc scores: 0.35 ,roc-auc scores: 0.94 ,cohen scores: 0.22 
