Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: -1.00 ,Senstivity: 1.00 ,Specificity: 0.05 ,Accuracy: 0.51 ,mcc scores: 0.16 ,roc-auc scores: 0.90 ,cohen scores: 0.05 
Threshold: -0.90 ,Senstivity: 1.00 ,Specificity: 0.10 ,Accuracy: 0.53 ,mcc scores: 0.23 ,roc-auc scores: 0.90 ,cohen scores: 0.10 
Threshold: -0.80 ,Senstivity: 0.97 ,Specificity: 0.25 ,Accuracy: 0.60 ,mcc scores: 0.32 ,roc-auc scores: 0.90 ,cohen scores: 0.22 
Threshold: -0.70 ,Senstivity: 0.97 ,Specificity: 0.40 ,Accuracy: 0.68 ,mcc scores: 0.45 ,roc-auc scores: 0.90 ,cohen scores: 0.36 
Threshold: -0.60 ,Senstivity: 0.95 ,Specificity: 0.47 ,Accuracy: 0.70 ,mcc scores: 0.47 ,roc-auc scores: 0.90 ,cohen scores: 0.41 
Threshold: -0.50 ,Senstivity: 0.95 ,Specificity: 0.60 ,Accuracy: 0.77 ,mcc scores: 0.58 ,roc-auc scores: 0.90 ,cohen scores: 0.54 
Threshold: -0.40 ,Senstivity: 0.84 ,Specificity: 0.72 ,Accuracy: 0.78 ,mcc scores: 0.56 ,roc-auc scores: 0.90 ,cohen scores: 0.56 
Threshold: -0.30 ,Senstivity: 0.84 ,Specificity: 0.80 ,Accuracy: 0.82 ,mcc scores: 0.64 ,roc-auc scores: 0.90 ,cohen scores: 0.64 
Threshold: -0.20 ,Senstivity: 0.78 ,Specificity: 0.82 ,Accuracy: 0.81 ,mcc scores: 0.61 ,roc-auc scores: 0.90 ,cohen scores: 0.61 
Threshold: -0.10 ,Senstivity: 0.76 ,Specificity: 0.90 ,Accuracy: 0.83 ,mcc scores: 0.67 ,roc-auc scores: 0.90 ,cohen scores: 0.66 
Threshold: 0.00 ,Senstivity: 0.70 ,Specificity: 0.93 ,Accuracy: 0.82 ,mcc scores: 0.65 ,roc-auc scores: 0.90 ,cohen scores: 0.63 
Threshold: 0.10 ,Senstivity: 0.65 ,Specificity: 0.95 ,Accuracy: 0.81 ,mcc scores: 0.63 ,roc-auc scores: 0.90 ,cohen scores: 0.61 
Threshold: 0.20 ,Senstivity: 0.65 ,Specificity: 0.97 ,Accuracy: 0.82 ,mcc scores: 0.67 ,roc-auc scores: 0.90 ,cohen scores: 0.63 
Threshold: 0.30 ,Senstivity: 0.54 ,Specificity: 1.00 ,Accuracy: 0.78 ,mcc scores: 0.62 ,roc-auc scores: 0.90 ,cohen scores: 0.55 
