extra_trees_dpc.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.50,0.00,0.95,0.00
0.05,1.00,0.00,0.50,0.00,0.95,0.00
0.10,1.00,0.00,0.50,0.00,0.95,0.00
0.15,1.00,0.00,0.50,0.00,0.95,0.00
0.20,0.99,0.06,0.52,0.15,0.95,0.05
0.25,0.99,0.16,0.58,0.28,0.95,0.15
0.30,0.99,0.37,0.68,0.47,0.95,0.37
0.35,0.96,0.51,0.73,0.53,0.95,0.47
0.40,0.95,0.71,0.83,0.67,0.95,0.65
0.45,0.92,0.84,0.88,0.76,0.95,0.76
0.50,0.87,0.89,0.88,0.76,0.95,0.76
0.55,0.79,0.96,0.88,0.76,0.95,0.75
0.60,0.68,0.99,0.83,0.70,0.95,0.67
0.65,0.58,1.00,0.79,0.64,0.95,0.58
0.70,0.42,1.00,0.71,0.52,0.95,0.43
0.75,0.29,1.00,0.65,0.41,0.95,0.29
0.80,0.21,1.00,0.60,0.34,0.95,0.21
0.85,0.13,1.00,0.57,0.26,0.95,0.13
0.90,0.01,1.00,0.51,0.07,0.95,0.01
0.95,0.00,1.00,0.50,0.00,0.95,0.00

extra_trees_kfold_dpc.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.48,0.00,0.93,0.00
0.05,1.00,0.00,0.48,0.00,0.93,0.00
0.10,1.00,0.00,0.48,0.00,0.93,0.00
0.15,1.00,0.00,0.48,0.00,0.93,0.00
0.20,1.00,0.15,0.56,0.28,0.93,0.15
0.25,1.00,0.25,0.61,0.37,0.96,0.24
0.30,1.00,0.38,0.68,0.47,0.95,0.37
0.35,0.97,0.57,0.77,0.59,0.94,0.54
0.40,0.92,0.70,0.81,0.63,0.92,0.61
0.45,0.89,0.90,0.90,0.79,0.93,0.79
0.50,0.81,0.90,0.86,0.72,0.94,0.71
0.55,0.78,0.93,0.86,0.72,0.92,0.71
0.60,0.65,0.97,0.82,0.67,0.94,0.63
0.65,0.59,0.97,0.79,0.62,0.94,0.58
0.70,0.30,1.00,0.66,0.42,0.94,0.31
0.75,0.27,1.00,0.65,0.40,0.96,0.28
0.80,0.19,1.00,0.61,0.33,0.91,0.20
0.85,0.11,1.00,0.57,0.24,0.92,0.11
0.90,0.05,1.00,0.55,0.17,0.94,0.06
0.95,0.03,1.00,0.53,0.12,0.92,0.03

knn_dpc.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.50,0.00,0.87,0.00
0.05,0.84,0.91,0.87,0.75,0.87,0.75
0.10,0.84,0.91,0.87,0.75,0.87,0.75
0.15,0.84,0.91,0.87,0.75,0.87,0.75
0.20,0.84,0.91,0.87,0.75,0.87,0.75
0.25,0.84,0.91,0.87,0.75,0.87,0.75
0.30,0.84,0.91,0.87,0.75,0.87,0.75
0.35,0.84,0.91,0.87,0.75,0.87,0.75
0.40,0.84,0.91,0.87,0.75,0.87,0.75
0.45,0.84,0.91,0.87,0.75,0.87,0.75
0.50,0.84,0.91,0.87,0.75,0.87,0.75
0.55,0.84,0.91,0.87,0.75,0.87,0.75
0.60,0.84,0.91,0.87,0.75,0.87,0.75
0.65,0.84,0.91,0.87,0.75,0.87,0.75
0.70,0.84,0.91,0.87,0.75,0.87,0.75
0.75,0.84,0.91,0.87,0.75,0.87,0.75
0.80,0.84,0.91,0.87,0.75,0.87,0.75
0.85,0.84,0.91,0.87,0.75,0.87,0.75
0.90,0.84,0.91,0.87,0.75,0.87,0.75
0.95,0.84,0.91,0.87,0.75,0.87,0.75

knn_kfold_dpc.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.48,0.00,0.85,0.00
0.05,0.73,0.97,0.86,0.73,0.85,0.71
0.10,0.73,0.97,0.86,0.73,0.85,0.71
0.15,0.73,0.97,0.86,0.73,0.85,0.71
0.20,0.73,0.97,0.86,0.73,0.85,0.71
0.25,0.73,0.97,0.86,0.73,0.85,0.71
0.30,0.73,0.97,0.86,0.73,0.85,0.71
0.35,0.73,0.97,0.86,0.73,0.85,0.71
0.40,0.73,0.97,0.86,0.73,0.85,0.71
0.45,0.73,0.97,0.86,0.73,0.85,0.71
0.50,0.73,0.97,0.86,0.73,0.85,0.71
0.55,0.73,0.97,0.86,0.73,0.85,0.71
0.60,0.73,0.97,0.86,0.73,0.85,0.71
0.65,0.73,0.97,0.86,0.73,0.85,0.71
0.70,0.73,0.97,0.86,0.73,0.85,0.71
0.75,0.73,0.97,0.86,0.73,0.85,0.71
0.80,0.73,0.97,0.86,0.73,0.85,0.71
0.85,0.73,0.97,0.86,0.73,0.85,0.71
0.90,0.73,0.97,0.86,0.73,0.85,0.71
0.95,0.73,0.97,0.86,0.73,0.85,0.71

mlp_dpc.txt
Threshold,Senstivity,Specificity,Accuracy,MCC,ROC_AUC,Kappa
0.00,1.00,0.00,0.50,0.00,0.94,0.00
0.05,0.96,0.55,0.75,0.56,0.94,0.51
0.10,0.93,0.74,0.84,0.69,0.94,0.67
0.15,0.93,0.80,0.87,0.74,0.94,0.73
0.20,0.92,0.82,0.87,0.75,0.94,0.75
