Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.50 ,mcc scores: 0.05 ,roc-auc scores: 0.93 ,cohen scores: 0.01 
Threshold: 0.15 ,Senstivity: 0.99 ,Specificity: 0.05 ,Accuracy: 0.52 ,mcc scores: 0.14 ,roc-auc scores: 0.93 ,cohen scores: 0.05 
Threshold: 0.20 ,Senstivity: 0.99 ,Specificity: 0.15 ,Accuracy: 0.57 ,mcc scores: 0.26 ,roc-auc scores: 0.93 ,cohen scores: 0.14 
Threshold: 0.25 ,Senstivity: 0.98 ,Specificity: 0.26 ,Accuracy: 0.62 ,mcc scores: 0.35 ,roc-auc scores: 0.93 ,cohen scores: 0.24 
Threshold: 0.30 ,Senstivity: 0.97 ,Specificity: 0.42 ,Accuracy: 0.70 ,mcc scores: 0.47 ,roc-auc scores: 0.93 ,cohen scores: 0.39 
Threshold: 0.35 ,Senstivity: 0.97 ,Specificity: 0.51 ,Accuracy: 0.74 ,mcc scores: 0.53 ,roc-auc scores: 0.93 ,cohen scores: 0.47 
Threshold: 0.40 ,Senstivity: 0.94 ,Specificity: 0.64 ,Accuracy: 0.79 ,mcc scores: 0.62 ,roc-auc scores: 0.93 ,cohen scores: 0.59 
Threshold: 0.45 ,Senstivity: 0.90 ,Specificity: 0.79 ,Accuracy: 0.84 ,mcc scores: 0.69 ,roc-auc scores: 0.93 ,cohen scores: 0.69 
Threshold: 0.50 ,Senstivity: 0.84 ,Specificity: 0.88 ,Accuracy: 0.86 ,mcc scores: 0.72 ,roc-auc scores: 0.93 ,cohen scores: 0.72 
Threshold: 0.55 ,Senstivity: 0.77 ,Specificity: 0.93 ,Accuracy: 0.85 ,mcc scores: 0.71 ,roc-auc scores: 0.93 ,cohen scores: 0.70 
Threshold: 0.60 ,Senstivity: 0.70 ,Specificity: 0.96 ,Accuracy: 0.83 ,mcc scores: 0.69 ,roc-auc scores: 0.93 ,cohen scores: 0.66 
Threshold: 0.65 ,Senstivity: 0.65 ,Specificity: 0.99 ,Accuracy: 0.82 ,mcc scores: 0.69 ,roc-auc scores: 0.93 ,cohen scores: 0.65 
Threshold: 0.70 ,Senstivity: 0.54 ,Specificity: 0.99 ,Accuracy: 0.77 ,mcc scores: 0.60 ,roc-auc scores: 0.93 ,cohen scores: 0.54 
Threshold: 0.75 ,Senstivity: 0.44 ,Specificity: 0.99 ,Accuracy: 0.72 ,mcc scores: 0.52 ,roc-auc scores: 0.93 ,cohen scores: 0.44 
Threshold: 0.80 ,Senstivity: 0.27 ,Specificity: 1.00 ,Accuracy: 0.64 ,mcc scores: 0.40 ,roc-auc scores: 0.93 ,cohen scores: 0.27 
Threshold: 0.85 ,Senstivity: 0.16 ,Specificity: 1.00 ,Accuracy: 0.58 ,mcc scores: 0.29 ,roc-auc scores: 0.93 ,cohen scores: 0.16 
Threshold: 0.90 ,Senstivity: 0.05 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.16 ,roc-auc scores: 0.93 ,cohen scores: 0.05 
Threshold: 0.95 ,Senstivity: 0.03 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.13 ,roc-auc scores: 0.93 ,cohen scores: 0.03 
