Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.07 ,Accuracy: 0.52 ,mcc scores: 0.19 ,roc-auc scores: 0.90 ,cohen scores: 0.07 
Threshold: 0.20 ,Senstivity: 1.00 ,Specificity: 0.10 ,Accuracy: 0.53 ,mcc scores: 0.23 ,roc-auc scores: 0.85 ,cohen scores: 0.10 
Threshold: 0.25 ,Senstivity: 1.00 ,Specificity: 0.15 ,Accuracy: 0.56 ,mcc scores: 0.28 ,roc-auc scores: 0.91 ,cohen scores: 0.15 
Threshold: 0.30 ,Senstivity: 1.00 ,Specificity: 0.40 ,Accuracy: 0.69 ,mcc scores: 0.49 ,roc-auc scores: 0.92 ,cohen scores: 0.39 
Threshold: 0.35 ,Senstivity: 0.97 ,Specificity: 0.57 ,Accuracy: 0.77 ,mcc scores: 0.59 ,roc-auc scores: 0.90 ,cohen scores: 0.54 
Threshold: 0.40 ,Senstivity: 0.92 ,Specificity: 0.82 ,Accuracy: 0.87 ,mcc scores: 0.74 ,roc-auc scores: 0.93 ,cohen scores: 0.74 
Threshold: 0.45 ,Senstivity: 0.89 ,Specificity: 0.78 ,Accuracy: 0.83 ,mcc scores: 0.67 ,roc-auc scores: 0.92 ,cohen scores: 0.66 
Threshold: 0.50 ,Senstivity: 0.73 ,Specificity: 0.85 ,Accuracy: 0.79 ,mcc scores: 0.59 ,roc-auc scores: 0.88 ,cohen scores: 0.58 
Threshold: 0.55 ,Senstivity: 0.73 ,Specificity: 0.90 ,Accuracy: 0.82 ,mcc scores: 0.64 ,roc-auc scores: 0.93 ,cohen scores: 0.63 
Threshold: 0.60 ,Senstivity: 0.59 ,Specificity: 0.93 ,Accuracy: 0.77 ,mcc scores: 0.55 ,roc-auc scores: 0.89 ,cohen scores: 0.53 
Threshold: 0.65 ,Senstivity: 0.43 ,Specificity: 0.95 ,Accuracy: 0.70 ,mcc scores: 0.45 ,roc-auc scores: 0.89 ,cohen scores: 0.39 
Threshold: 0.70 ,Senstivity: 0.35 ,Specificity: 0.97 ,Accuracy: 0.68 ,mcc scores: 0.42 ,roc-auc scores: 0.88 ,cohen scores: 0.33 
Threshold: 0.75 ,Senstivity: 0.30 ,Specificity: 0.97 ,Accuracy: 0.65 ,mcc scores: 0.38 ,roc-auc scores: 0.90 ,cohen scores: 0.28 
Threshold: 0.80 ,Senstivity: 0.14 ,Specificity: 1.00 ,Accuracy: 0.58 ,mcc scores: 0.27 ,roc-auc scores: 0.93 ,cohen scores: 0.14 
Threshold: 0.85 ,Senstivity: 0.11 ,Specificity: 1.00 ,Accuracy: 0.57 ,mcc scores: 0.24 ,roc-auc scores: 0.91 ,cohen scores: 0.11 
Threshold: 0.90 ,Senstivity: 0.08 ,Specificity: 1.00 ,Accuracy: 0.56 ,mcc scores: 0.21 ,roc-auc scores: 0.88 ,cohen scores: 0.08 
Threshold: 0.95 ,Senstivity: 0.05 ,Specificity: 1.00 ,Accuracy: 0.55 ,mcc scores: 0.17 ,roc-auc scores: 0.91 ,cohen scores: 0.06 
