Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.50 ,mcc scores: 0.05 ,roc-auc scores: 0.92 ,cohen scores: 0.01 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.50 ,mcc scores: 0.05 ,roc-auc scores: 0.92 ,cohen scores: 0.01 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.50 ,mcc scores: 0.05 ,roc-auc scores: 0.92 ,cohen scores: 0.01 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.50 ,mcc scores: 0.07 ,roc-auc scores: 0.92 ,cohen scores: 0.01 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.02 ,Accuracy: 0.51 ,mcc scores: 0.09 ,roc-auc scores: 0.92 ,cohen scores: 0.02 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.02 ,Accuracy: 0.51 ,mcc scores: 0.09 ,roc-auc scores: 0.92 ,cohen scores: 0.02 
Threshold: -2.10 ,Senstivity: 0.99 ,Specificity: 0.02 ,Accuracy: 0.50 ,mcc scores: 0.05 ,roc-auc scores: 0.92 ,cohen scores: 0.01 
Threshold: -2.00 ,Senstivity: 0.99 ,Specificity: 0.02 ,Accuracy: 0.50 ,mcc scores: 0.05 ,roc-auc scores: 0.92 ,cohen scores: 0.01 
Threshold: -1.90 ,Senstivity: 0.99 ,Specificity: 0.03 ,Accuracy: 0.51 ,mcc scores: 0.08 ,roc-auc scores: 0.92 ,cohen scores: 0.02 
Threshold: -1.80 ,Senstivity: 0.99 ,Specificity: 0.03 ,Accuracy: 0.51 ,mcc scores: 0.10 ,roc-auc scores: 0.92 ,cohen scores: 0.03 
Threshold: -1.70 ,Senstivity: 0.99 ,Specificity: 0.04 ,Accuracy: 0.52 ,mcc scores: 0.12 ,roc-auc scores: 0.92 ,cohen scores: 0.04 
Threshold: -1.60 ,Senstivity: 0.99 ,Specificity: 0.08 ,Accuracy: 0.54 ,mcc scores: 0.19 ,roc-auc scores: 0.92 ,cohen scores: 0.08 
Threshold: -1.50 ,Senstivity: 0.99 ,Specificity: 0.10 ,Accuracy: 0.55 ,mcc scores: 0.21 ,roc-auc scores: 0.92 ,cohen scores: 0.09 
Threshold: -1.40 ,Senstivity: 0.99 ,Specificity: 0.11 ,Accuracy: 0.55 ,mcc scores: 0.21 ,roc-auc scores: 0.92 ,cohen scores: 0.10 
Threshold: -1.30 ,Senstivity: 0.99 ,Specificity: 0.15 ,Accuracy: 0.57 ,mcc scores: 0.26 ,roc-auc scores: 0.92 ,cohen scores: 0.14 
Threshold: -1.20 ,Senstivity: 0.99 ,Specificity: 0.17 ,Accuracy: 0.58 ,mcc scores: 0.28 ,roc-auc scores: 0.92 ,cohen scores: 0.16 
Threshold: -1.10 ,Senstivity: 0.98 ,Specificity: 0.19 ,Accuracy: 0.59 ,mcc scores: 0.29 ,roc-auc scores: 0.92 ,cohen scores: 0.17 
Threshold: -1.00 ,Senstivity: 0.98 ,Specificity: 0.23 ,Accuracy: 0.61 ,mcc scores: 0.33 ,roc-auc scores: 0.92 ,cohen scores: 0.22 
Threshold: -0.90 ,Senstivity: 0.97 ,Specificity: 0.26 ,Accuracy: 0.62 ,mcc scores: 0.34 ,roc-auc scores: 0.92 ,cohen scores: 0.24 
Threshold: -0.80 ,Senstivity: 0.97 ,Specificity: 0.37 ,Accuracy: 0.67 ,mcc scores: 0.42 ,roc-auc scores: 0.92 ,cohen scores: 0.33 
Threshold: -0.70 ,Senstivity: 0.96 ,Specificity: 0.44 ,Accuracy: 0.70 ,mcc scores: 0.47 ,roc-auc scores: 0.92 ,cohen scores: 0.40 
Threshold: -0.60 ,Senstivity: 0.95 ,Specificity: 0.51 ,Accuracy: 0.73 ,mcc scores: 0.52 ,roc-auc scores: 0.92 ,cohen scores: 0.46 
Threshold: -0.50 ,Senstivity: 0.93 ,Specificity: 0.60 ,Accuracy: 0.76 ,mcc scores: 0.56 ,roc-auc scores: 0.92 ,cohen scores: 0.53 
Threshold: -0.40 ,Senstivity: 0.93 ,Specificity: 0.67 ,Accuracy: 0.80 ,mcc scores: 0.62 ,roc-auc scores: 0.92 ,cohen scores: 0.60 
Threshold: -0.30 ,Senstivity: 0.93 ,Specificity: 0.74 ,Accuracy: 0.83 ,mcc scores: 0.68 ,roc-auc scores: 0.92 ,cohen scores: 0.66 
Threshold: -0.20 ,Senstivity: 0.91 ,Specificity: 0.77 ,Accuracy: 0.84 ,mcc scores: 0.69 ,roc-auc scores: 0.92 ,cohen scores: 0.68 
Threshold: -0.10 ,Senstivity: 0.90 ,Specificity: 0.81 ,Accuracy: 0.86 ,mcc scores: 0.71 ,roc-auc scores: 0.92 ,cohen scores: 0.71 
Threshold: 0.00 ,Senstivity: 0.85 ,Specificity: 0.84 ,Accuracy: 0.85 ,mcc scores: 0.70 ,roc-auc scores: 0.92 ,cohen scores: 0.70 
Threshold: 0.10 ,Senstivity: 0.82 ,Specificity: 0.89 ,Accuracy: 0.86 ,mcc scores: 0.71 ,roc-auc scores: 0.92 ,cohen scores: 0.71 
Threshold: 0.20 ,Senstivity: 0.79 ,Specificity: 0.92 ,Accuracy: 0.86 ,mcc scores: 0.72 ,roc-auc scores: 0.92 ,cohen scores: 0.71 
Threshold: 0.30 ,Senstivity: 0.75 ,Specificity: 0.94 ,Accuracy: 0.85 ,mcc scores: 0.71 ,roc-auc scores: 0.92 ,cohen scores: 0.69 
Threshold: 0.40 ,Senstivity: 0.70 ,Specificity: 0.96 ,Accuracy: 0.83 ,mcc scores: 0.69 ,roc-auc scores: 0.92 ,cohen scores: 0.66 
Threshold: 0.50 ,Senstivity: 0.67 ,Specificity: 0.97 ,Accuracy: 0.82 ,mcc scores: 0.67 ,roc-auc scores: 0.92 ,cohen scores: 0.64 
Threshold: 0.60 ,Senstivity: 0.61 ,Specificity: 0.97 ,Accuracy: 0.79 ,mcc scores: 0.63 ,roc-auc scores: 0.92 ,cohen scores: 0.59 
Threshold: 0.70 ,Senstivity: 0.56 ,Specificity: 0.98 ,Accuracy: 0.77 ,mcc scores: 0.60 ,roc-auc scores: 0.92 ,cohen scores: 0.54 
Threshold: 0.80 ,Senstivity: 0.49 ,Specificity: 0.98 ,Accuracy: 0.74 ,mcc scores: 0.54 ,roc-auc scores: 0.92 ,cohen scores: 0.47 
Threshold: 0.90 ,Senstivity: 0.41 ,Specificity: 0.99 ,Accuracy: 0.70 ,mcc scores: 0.49 ,roc-auc scores: 0.92 ,cohen scores: 0.40 
Threshold: 1.00 ,Senstivity: 0.34 ,Specificity: 0.99 ,Accuracy: 0.67 ,mcc scores: 0.44 ,roc-auc scores: 0.92 ,cohen scores: 0.33 
Threshold: 1.10 ,Senstivity: 0.24 ,Specificity: 0.99 ,Accuracy: 0.62 ,mcc scores: 0.35 ,roc-auc scores: 0.92 ,cohen scores: 0.23 
Threshold: 1.20 ,Senstivity: 0.14 ,Specificity: 0.99 ,Accuracy: 0.57 ,mcc scores: 0.26 ,roc-auc scores: 0.92 ,cohen scores: 0.14 
Threshold: 1.30 ,Senstivity: 0.08 ,Specificity: 0.99 ,Accuracy: 0.54 ,mcc scores: 0.18 ,roc-auc scores: 0.92 ,cohen scores: 0.07 
Threshold: 1.40 ,Senstivity: 0.04 ,Specificity: 0.99 ,Accuracy: 0.52 ,mcc scores: 0.12 ,roc-auc scores: 0.92 ,cohen scores: 0.04 
Threshold: 1.50 ,Senstivity: 0.03 ,Specificity: 0.99 ,Accuracy: 0.51 ,mcc scores: 0.08 ,roc-auc scores: 0.92 ,cohen scores: 0.02 
Threshold: 1.60 ,Senstivity: 0.02 ,Specificity: 1.00 ,Accuracy: 0.51 ,mcc scores: 0.09 ,roc-auc scores: 0.92 ,cohen scores: 0.02 
Threshold: 1.70 ,Senstivity: 0.02 ,Specificity: 1.00 ,Accuracy: 0.51 ,mcc scores: 0.09 ,roc-auc scores: 0.92 ,cohen scores: 0.02 
Threshold: 1.80 ,Senstivity: 0.01 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.05 ,roc-auc scores: 0.92 ,cohen scores: 0.01 
Threshold: 1.90 ,Senstivity: 0.01 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.05 ,roc-auc scores: 0.92 ,cohen scores: 0.01 
Threshold: 2.00 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: 2.10 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: 2.20 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: 2.30 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: 2.40 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: 2.50 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: 2.60 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: 2.70 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: 2.80 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: 2.90 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
