Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.86 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.86 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.86 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.86 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.86 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.86 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.86 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.86 ,cohen scores: 0.00 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.86 ,cohen scores: 0.00 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.86 ,cohen scores: 0.00 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.86 ,cohen scores: 0.00 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.86 ,cohen scores: 0.00 
Threshold: -1.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.86 ,cohen scores: 0.00 
Threshold: -1.70 ,Senstivity: 0.97 ,Specificity: 0.03 ,Accuracy: 0.48 ,mcc scores: -0.01 ,roc-auc scores: 0.86 ,cohen scores: -0.00 
Threshold: -1.60 ,Senstivity: 0.97 ,Specificity: 0.05 ,Accuracy: 0.49 ,mcc scores: 0.06 ,roc-auc scores: 0.86 ,cohen scores: 0.02 
Threshold: -1.50 ,Senstivity: 0.97 ,Specificity: 0.10 ,Accuracy: 0.52 ,mcc scores: 0.15 ,roc-auc scores: 0.86 ,cohen scores: 0.07 
Threshold: -1.40 ,Senstivity: 0.97 ,Specificity: 0.12 ,Accuracy: 0.53 ,mcc scores: 0.18 ,roc-auc scores: 0.86 ,cohen scores: 0.09 
Threshold: -1.30 ,Senstivity: 0.97 ,Specificity: 0.12 ,Accuracy: 0.53 ,mcc scores: 0.18 ,roc-auc scores: 0.86 ,cohen scores: 0.09 
Threshold: -1.20 ,Senstivity: 0.97 ,Specificity: 0.15 ,Accuracy: 0.55 ,mcc scores: 0.21 ,roc-auc scores: 0.86 ,cohen scores: 0.12 
Threshold: -1.10 ,Senstivity: 0.97 ,Specificity: 0.15 ,Accuracy: 0.55 ,mcc scores: 0.21 ,roc-auc scores: 0.86 ,cohen scores: 0.12 
Threshold: -1.00 ,Senstivity: 0.95 ,Specificity: 0.15 ,Accuracy: 0.53 ,mcc scores: 0.16 ,roc-auc scores: 0.86 ,cohen scores: 0.09 
Threshold: -0.90 ,Senstivity: 0.92 ,Specificity: 0.17 ,Accuracy: 0.53 ,mcc scores: 0.14 ,roc-auc scores: 0.86 ,cohen scores: 0.09 
Threshold: -0.80 ,Senstivity: 0.92 ,Specificity: 0.25 ,Accuracy: 0.57 ,mcc scores: 0.23 ,roc-auc scores: 0.86 ,cohen scores: 0.16 
