Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.50 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.50 ,mcc scores: 0.07 ,roc-auc scores: 0.95 ,cohen scores: 0.01 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.02 ,Accuracy: 0.51 ,mcc scores: 0.10 ,roc-auc scores: 0.95 ,cohen scores: 0.02 
Threshold: -2.10 ,Senstivity: 0.99 ,Specificity: 0.03 ,Accuracy: 0.51 ,mcc scores: 0.10 ,roc-auc scores: 0.95 ,cohen scores: 0.03 
Threshold: -2.00 ,Senstivity: 0.99 ,Specificity: 0.05 ,Accuracy: 0.52 ,mcc scores: 0.13 ,roc-auc scores: 0.95 ,cohen scores: 0.04 
Threshold: -1.90 ,Senstivity: 0.99 ,Specificity: 0.06 ,Accuracy: 0.52 ,mcc scores: 0.15 ,roc-auc scores: 0.95 ,cohen scores: 0.05 
Threshold: -1.80 ,Senstivity: 0.99 ,Specificity: 0.08 ,Accuracy: 0.53 ,mcc scores: 0.18 ,roc-auc scores: 0.95 ,cohen scores: 0.07 
Threshold: -1.70 ,Senstivity: 0.99 ,Specificity: 0.11 ,Accuracy: 0.55 ,mcc scores: 0.21 ,roc-auc scores: 0.95 ,cohen scores: 0.10 
Threshold: -1.60 ,Senstivity: 0.98 ,Specificity: 0.15 ,Accuracy: 0.57 ,mcc scores: 0.24 ,roc-auc scores: 0.95 ,cohen scores: 0.13 
Threshold: -1.50 ,Senstivity: 0.98 ,Specificity: 0.21 ,Accuracy: 0.59 ,mcc scores: 0.30 ,roc-auc scores: 0.95 ,cohen scores: 0.19 
Threshold: -1.40 ,Senstivity: 0.98 ,Specificity: 0.24 ,Accuracy: 0.61 ,mcc scores: 0.34 ,roc-auc scores: 0.95 ,cohen scores: 0.23 
Threshold: -1.30 ,Senstivity: 0.98 ,Specificity: 0.28 ,Accuracy: 0.63 ,mcc scores: 0.38 ,roc-auc scores: 0.95 ,cohen scores: 0.27 
Threshold: -1.20 ,Senstivity: 0.97 ,Specificity: 0.32 ,Accuracy: 0.65 ,mcc scores: 0.39 ,roc-auc scores: 0.95 ,cohen scores: 0.29 
Threshold: -1.10 ,Senstivity: 0.97 ,Specificity: 0.40 ,Accuracy: 0.68 ,mcc scores: 0.45 ,roc-auc scores: 0.95 ,cohen scores: 0.37 
Threshold: -1.00 ,Senstivity: 0.97 ,Specificity: 0.46 ,Accuracy: 0.72 ,mcc scores: 0.50 ,roc-auc scores: 0.95 ,cohen scores: 0.43 
Threshold: -0.90 ,Senstivity: 0.97 ,Specificity: 0.52 ,Accuracy: 0.74 ,mcc scores: 0.54 ,roc-auc scores: 0.95 ,cohen scores: 0.48 
Threshold: -0.80 ,Senstivity: 0.97 ,Specificity: 0.59 ,Accuracy: 0.78 ,mcc scores: 0.60 ,roc-auc scores: 0.95 ,cohen scores: 0.56 
Threshold: -0.70 ,Senstivity: 0.96 ,Specificity: 0.64 ,Accuracy: 0.80 ,mcc scores: 0.63 ,roc-auc scores: 0.95 ,cohen scores: 0.60 
Threshold: -0.60 ,Senstivity: 0.96 ,Specificity: 0.67 ,Accuracy: 0.81 ,mcc scores: 0.66 ,roc-auc scores: 0.95 ,cohen scores: 0.63 
Threshold: -0.50 ,Senstivity: 0.95 ,Specificity: 0.72 ,Accuracy: 0.83 ,mcc scores: 0.69 ,roc-auc scores: 0.95 ,cohen scores: 0.67 
Threshold: -0.40 ,Senstivity: 0.94 ,Specificity: 0.77 ,Accuracy: 0.86 ,mcc scores: 0.72 ,roc-auc scores: 0.95 ,cohen scores: 0.71 
Threshold: -0.30 ,Senstivity: 0.94 ,Specificity: 0.80 ,Accuracy: 0.87 ,mcc scores: 0.74 ,roc-auc scores: 0.95 ,cohen scores: 0.74 
Threshold: -0.20 ,Senstivity: 0.92 ,Specificity: 0.85 ,Accuracy: 0.88 ,mcc scores: 0.77 ,roc-auc scores: 0.95 ,cohen scores: 0.77 
Threshold: -0.10 ,Senstivity: 0.90 ,Specificity: 0.88 ,Accuracy: 0.89 ,mcc scores: 0.78 ,roc-auc scores: 0.95 ,cohen scores: 0.78 
Threshold: 0.00 ,Senstivity: 0.88 ,Specificity: 0.91 ,Accuracy: 0.89 ,mcc scores: 0.79 ,roc-auc scores: 0.95 ,cohen scores: 0.79 
Threshold: 0.10 ,Senstivity: 0.87 ,Specificity: 0.92 ,Accuracy: 0.89 ,mcc scores: 0.79 ,roc-auc scores: 0.95 ,cohen scores: 0.79 
Threshold: 0.20 ,Senstivity: 0.85 ,Specificity: 0.95 ,Accuracy: 0.90 ,mcc scores: 0.80 ,roc-auc scores: 0.95 ,cohen scores: 0.80 
Threshold: 0.30 ,Senstivity: 0.81 ,Specificity: 0.96 ,Accuracy: 0.89 ,mcc scores: 0.78 ,roc-auc scores: 0.95 ,cohen scores: 0.77 
