Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.95 ,cohen scores: 0.00 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.53 ,mcc scores: 0.06 ,roc-auc scores: 0.95 ,cohen scores: 0.01 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.01 ,Accuracy: 0.53 ,mcc scores: 0.06 ,roc-auc scores: 0.95 ,cohen scores: 0.01 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.54 ,mcc scores: 0.14 ,roc-auc scores: 0.95 ,cohen scores: 0.04 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.04 ,Accuracy: 0.54 ,mcc scores: 0.15 ,roc-auc scores: 0.95 ,cohen scores: 0.04 
Threshold: -1.80 ,Senstivity: 1.00 ,Specificity: 0.06 ,Accuracy: 0.55 ,mcc scores: 0.18 ,roc-auc scores: 0.95 ,cohen scores: 0.06 
Threshold: -1.70 ,Senstivity: 1.00 ,Specificity: 0.08 ,Accuracy: 0.56 ,mcc scores: 0.20 ,roc-auc scores: 0.95 ,cohen scores: 0.08 
