Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: -1.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.48 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: -1.70 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.49 ,mcc scores: 0.11 ,roc-auc scores: 0.92 ,cohen scores: 0.02 
Threshold: -1.60 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.49 ,mcc scores: 0.11 ,roc-auc scores: 0.92 ,cohen scores: 0.02 
Threshold: -1.50 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.49 ,mcc scores: 0.11 ,roc-auc scores: 0.92 ,cohen scores: 0.02 
Threshold: -1.40 ,Senstivity: 1.00 ,Specificity: 0.05 ,Accuracy: 0.51 ,mcc scores: 0.16 ,roc-auc scores: 0.92 ,cohen scores: 0.05 
Threshold: -1.30 ,Senstivity: 1.00 ,Specificity: 0.07 ,Accuracy: 0.52 ,mcc scores: 0.19 ,roc-auc scores: 0.92 ,cohen scores: 0.07 
Threshold: -1.20 ,Senstivity: 1.00 ,Specificity: 0.07 ,Accuracy: 0.52 ,mcc scores: 0.19 ,roc-auc scores: 0.92 ,cohen scores: 0.07 
Threshold: -1.10 ,Senstivity: 1.00 ,Specificity: 0.10 ,Accuracy: 0.53 ,mcc scores: 0.23 ,roc-auc scores: 0.92 ,cohen scores: 0.10 
Threshold: -1.00 ,Senstivity: 1.00 ,Specificity: 0.15 ,Accuracy: 0.56 ,mcc scores: 0.28 ,roc-auc scores: 0.92 ,cohen scores: 0.15 
Threshold: -0.90 ,Senstivity: 1.00 ,Specificity: 0.25 ,Accuracy: 0.61 ,mcc scores: 0.37 ,roc-auc scores: 0.92 ,cohen scores: 0.24 
Threshold: -0.80 ,Senstivity: 0.97 ,Specificity: 0.42 ,Accuracy: 0.69 ,mcc scores: 0.47 ,roc-auc scores: 0.92 ,cohen scores: 0.39 
Threshold: -0.70 ,Senstivity: 0.97 ,Specificity: 0.50 ,Accuracy: 0.73 ,mcc scores: 0.53 ,roc-auc scores: 0.92 ,cohen scores: 0.46 
Threshold: -0.60 ,Senstivity: 0.97 ,Specificity: 0.53 ,Accuracy: 0.74 ,mcc scores: 0.55 ,roc-auc scores: 0.92 ,cohen scores: 0.49 
Threshold: -0.50 ,Senstivity: 0.95 ,Specificity: 0.60 ,Accuracy: 0.77 ,mcc scores: 0.58 ,roc-auc scores: 0.92 ,cohen scores: 0.54 
Threshold: -0.40 ,Senstivity: 0.95 ,Specificity: 0.75 ,Accuracy: 0.84 ,mcc scores: 0.71 ,roc-auc scores: 0.92 ,cohen scores: 0.69 
Threshold: -0.30 ,Senstivity: 0.89 ,Specificity: 0.80 ,Accuracy: 0.84 ,mcc scores: 0.69 ,roc-auc scores: 0.92 ,cohen scores: 0.69 
Threshold: -0.20 ,Senstivity: 0.84 ,Specificity: 0.82 ,Accuracy: 0.83 ,mcc scores: 0.66 ,roc-auc scores: 0.92 ,cohen scores: 0.66 
Threshold: -0.10 ,Senstivity: 0.81 ,Specificity: 0.82 ,Accuracy: 0.82 ,mcc scores: 0.64 ,roc-auc scores: 0.92 ,cohen scores: 0.64 
Threshold: 0.00 ,Senstivity: 0.78 ,Specificity: 0.88 ,Accuracy: 0.83 ,mcc scores: 0.66 ,roc-auc scores: 0.92 ,cohen scores: 0.66 
Threshold: 0.10 ,Senstivity: 0.76 ,Specificity: 0.90 ,Accuracy: 0.83 ,mcc scores: 0.67 ,roc-auc scores: 0.92 ,cohen scores: 0.66 
Threshold: 0.20 ,Senstivity: 0.70 ,Specificity: 0.93 ,Accuracy: 0.82 ,mcc scores: 0.65 ,roc-auc scores: 0.92 ,cohen scores: 0.63 
Threshold: 0.30 ,Senstivity: 0.68 ,Specificity: 0.95 ,Accuracy: 0.82 ,mcc scores: 0.66 ,roc-auc scores: 0.92 ,cohen scores: 0.63 
Threshold: 0.40 ,Senstivity: 0.59 ,Specificity: 0.97 ,Accuracy: 0.79 ,mcc scores: 0.62 ,roc-auc scores: 0.92 ,cohen scores: 0.58 
Threshold: 0.50 ,Senstivity: 0.51 ,Specificity: 0.97 ,Accuracy: 0.75 ,mcc scores: 0.56 ,roc-auc scores: 0.92 ,cohen scores: 0.50 
Threshold: 0.60 ,Senstivity: 0.43 ,Specificity: 0.97 ,Accuracy: 0.71 ,mcc scores: 0.49 ,roc-auc scores: 0.92 ,cohen scores: 0.42 
Threshold: 0.70 ,Senstivity: 0.30 ,Specificity: 1.00 ,Accuracy: 0.66 ,mcc scores: 0.42 ,roc-auc scores: 0.92 ,cohen scores: 0.31 
Threshold: 0.80 ,Senstivity: 0.30 ,Specificity: 1.00 ,Accuracy: 0.66 ,mcc scores: 0.42 ,roc-auc scores: 0.92 ,cohen scores: 0.31 
Threshold: 0.90 ,Senstivity: 0.19 ,Specificity: 1.00 ,Accuracy: 0.61 ,mcc scores: 0.33 ,roc-auc scores: 0.92 ,cohen scores: 0.20 
Threshold: 1.00 ,Senstivity: 0.19 ,Specificity: 1.00 ,Accuracy: 0.61 ,mcc scores: 0.33 ,roc-auc scores: 0.92 ,cohen scores: 0.20 
Threshold: 1.10 ,Senstivity: 0.14 ,Specificity: 1.00 ,Accuracy: 0.58 ,mcc scores: 0.27 ,roc-auc scores: 0.92 ,cohen scores: 0.14 
Threshold: 1.20 ,Senstivity: 0.08 ,Specificity: 1.00 ,Accuracy: 0.56 ,mcc scores: 0.21 ,roc-auc scores: 0.92 ,cohen scores: 0.08 
Threshold: 1.30 ,Senstivity: 0.03 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.12 ,roc-auc scores: 0.92 ,cohen scores: 0.03 
Threshold: 1.40 ,Senstivity: 0.03 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.12 ,roc-auc scores: 0.92 ,cohen scores: 0.03 
Threshold: 1.50 ,Senstivity: 0.03 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.12 ,roc-auc scores: 0.92 ,cohen scores: 0.03 
Threshold: 1.60 ,Senstivity: 0.03 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.12 ,roc-auc scores: 0.92 ,cohen scores: 0.03 
Threshold: 1.70 ,Senstivity: 0.03 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.12 ,roc-auc scores: 0.92 ,cohen scores: 0.03 
Threshold: 1.80 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: 1.90 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: 2.00 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: 2.10 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: 2.20 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: 2.30 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: 2.40 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: 2.50 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: 2.60 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: 2.70 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: 2.80 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
Threshold: 2.90 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.52 ,mcc scores: 0.00 ,roc-auc scores: 0.92 ,cohen scores: 0.00 
